miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	271721	17071.325926	N
hsa-let-7a-2	262063	16464.545936	N
hsa-let-7a-3	263499	16554.765035	N
hsa-let-7b	72532	4556.944116	N
hsa-let-7c	25236	1585.493874	N
hsa-let-7d	75716	4756.984237	N
hsa-let-7e	24105	1514.436909	N
hsa-let-7f-1	370645	23286.391548	N
hsa-let-7f-2	402469	25285.787533	N
hsa-let-7g	342182	21498.156006	N
hsa-let-7i	133075	8360.659270	N
hsa-mir-1-1	842	52.900057	N
hsa-mir-1-2	893	56.104217	N
hsa-mir-100	30777	1933.616460	Y
hsa-mir-101-1	17761	1115.864507	N
hsa-mir-101-2	18861	1184.973846	N
hsa-mir-103a-1	172567	10841.810170	Y
hsa-mir-103a-2	178470	11212.676010	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	685	43.036270	Y
hsa-mir-106b	24336	1528.949870	N
hsa-mir-107	14422	906.086252	Y
hsa-mir-10a	419205	26337.254702	N
hsa-mir-10b	61786	3881.808707	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	1.130880	N
hsa-mir-1180	943	59.245551	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	95	5.968534	N
hsa-mir-1185-2	45	2.827200	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	96	6.031360	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.376960	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	48	3.015680	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	27	1.696320	N
hsa-mir-1229	12	0.753920	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	12	0.753920	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.125653	N
hsa-mir-124-2	3	0.188480	N
hsa-mir-124-3	7	0.439787	N
hsa-mir-1243	2	0.125653	N
hsa-mir-1244-1	2	0.125653	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.439787	N
hsa-mir-1245b	9	0.565440	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	103	6.471147	N
hsa-mir-1248	19	1.193707	N
