miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	297470	34523.378456	N
hsa-let-7a-2	287268	33339.368280	Y
hsa-let-7a-3	286799	33284.937701	N
hsa-let-7b	94142	10925.807290	N
hsa-let-7c	39500	4584.238575	Y
hsa-let-7d	55562	6448.340854	N
hsa-let-7e	18453	2141.593783	N
hsa-let-7f-1	220164	25551.501309	N
hsa-let-7f-2	235573	27339.818580	N
hsa-let-7g	248038	28786.465007	N
hsa-let-7i	58250	6760.301190	N
hsa-mir-1-1	9151	1062.034613	N
hsa-mir-1-2	9635	1118.206042	N
hsa-mir-100	56582	6566.718660	Y
hsa-mir-101-1	17954	2083.681503	N
hsa-mir-101-2	19682	2284.227434	N
hsa-mir-103a-1	79868	9269.214343	Y
hsa-mir-103a-2	83261	9662.994634	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	314	36.441795	Y
hsa-mir-106b	8583	996.114423	N
hsa-mir-107	8414	976.500845	Y
hsa-mir-10a	92076	10686.034204	N
hsa-mir-10b	10322	1197.936977	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	21	2.437190	N
hsa-mir-1180	1830	212.383711	N
hsa-mir-1181	11	1.276623	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.116057	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.348170	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.348170	N
hsa-mir-1226	20	2.321133	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.928453	N
hsa-mir-1229	9	1.044510	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.348170	N
hsa-mir-1245b	7	0.812397	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	614	71.258797	N
hsa-mir-1248	21	2.437190	N
hsa-mir-1249	86	9.980874	N
hsa-mir-1250	17	1.972963	N
hsa-mir-1251	1	0.116057	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.348170	N
hsa-mir-1254-2	4	0.464227	N
hsa-mir-1255a	12	1.392680	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	14	1.624793	N
hsa-mir-125a	215469	25006.615230	N
hsa-mir-125b-1	64674	7505.849256	N
hsa-mir-125b-2	64146	7444.571333	N
hsa-mir-126	199400	23141.700555	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	1.044510	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	2.089020	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	1.044510	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	620	71.955137	N
hsa-mir-1270	20	2.321133	N
hsa-mir-1271	290	33.656435	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	1	0.116057	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2747	318.807680	N
hsa-mir-128-2	1804	209.366238	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	15	1.740850	N
hsa-mir-1283-2	14	1.624793	N
hsa-mir-1284	10	1.160567	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	95	11.025384	N
hsa-mir-1288	1	0.116057	N
