miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	98165	8820.087643	N
hsa-let-7a-2	95453	8576.415482	Y
hsa-let-7a-3	95724	8600.764728	N
hsa-let-7b	28917	2598.181372	N
hsa-let-7c	7103	638.201829	Y
hsa-let-7d	19883	1786.479933	N
hsa-let-7e	10110	908.379627	N
hsa-let-7f-1	138417	12436.714422	N
hsa-let-7f-2	145306	13055.688433	N
hsa-let-7g	246533	22150.895603	N
hsa-let-7i	187280	16827.036253	N
hsa-mir-1-1	818	73.496987	N
hsa-mir-1-2	905	81.313903	N
hsa-mir-100	98806	8877.681247	Y
hsa-mir-101-1	22692	2038.867507	N
hsa-mir-101-2	23618	2122.068252	N
hsa-mir-103a-1	64703	5813.539762	Y
hsa-mir-103a-2	68652	6168.355899	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	387	34.771802	N
hsa-mir-105-2	416	37.377441	N
hsa-mir-106a	675	60.648491	Y
hsa-mir-106b	19536	1755.302116	N
hsa-mir-107	8372	752.220993	Y
hsa-mir-10a	79744	7164.967850	N
hsa-mir-10b	33468	3007.086978	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.359398	N
hsa-mir-1180	807	72.508641	N
hsa-mir-1181	4	0.359398	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	53	4.762030	N
hsa-mir-1185-2	26	2.336090	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	37	3.324436	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	0.628947	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	47	4.222932	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	21	1.886842	N
hsa-mir-1229	7	0.628947	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	1	0.089850	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.449248	N
hsa-mir-1236	1	0.089850	N
hsa-mir-1237	1	0.089850	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.179699	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	3	0.269549	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	27	2.425940	N
hsa-mir-1245b	2	0.179699	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	769	69.094355	N
hsa-mir-1248	54	4.851879	N
hsa-mir-1249	130	11.680450	N
hsa-mir-1250	38	3.414285	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.089850	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	22	1.976692	N
hsa-mir-1254-2	16	1.437594	N
hsa-mir-1255a	43	3.863534	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.179699	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.089850	N
hsa-mir-125a	64093	5758.731496	N
hsa-mir-125b-1	33179	2981.120439	N
hsa-mir-125b-2	32922	2958.029088	N
hsa-mir-126	69985	6288.125439	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	39	3.504135	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.628947	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.539098	N
hsa-mir-1267	1	0.089850	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	655	58.851499	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5151	462.815377	N
hsa-mir-1270	20	1.796992	N
hsa-mir-1271	547	49.147740	N
hsa-mir-1272	1	0.089850	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.179699	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.359398	N
hsa-mir-1276	8	0.718797	N
hsa-mir-1277	3	0.269549	N
hsa-mir-1278	21	1.886842	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4031	362.183806	N
hsa-mir-128-2	3102	278.713512	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.179699	N
hsa-mir-1283-2	1	0.089850	N
hsa-mir-1284	9	0.808647	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.179699	N
hsa-mir-1287	87	7.816917	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.089850	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	23	2.066541	N
hsa-mir-129-2	40	3.593985	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	47	4.222932	N
hsa-mir-1292	68	6.109774	N
hsa-mir-1293	36	3.234586	N
hsa-mir-1294	23	2.066541	N
hsa-mir-1295a	34	3.054887	N
hsa-mir-1295b	2	0.179699	N
hsa-mir-1296	196	17.610525	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.359398	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1681	151.037206	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	19	1.707143	N
hsa-mir-1304	56	5.031579	N
hsa-mir-1305	24	2.156391	N
hsa-mir-1306	62	5.570676	N
hsa-mir-1307	2490	223.725546	N
hsa-mir-130a	1031	92.634955	N
hsa-mir-130b	2159	193.985323	N
hsa-mir-132	4101	368.473279	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	40	3.593985	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	97	8.715413	Y
hsa-mir-133a-2	88	7.906766	N
hsa-mir-133b	1	0.089850	Y
hsa-mir-134	338	30.369171	N
hsa-mir-1343	28	2.515789	N
hsa-mir-135a-1	31	2.785338	N
hsa-mir-135a-2	36	3.234586	N
hsa-mir-135b	2634	236.663891	N
hsa-mir-136	589	52.921424	N
hsa-mir-137	88	7.906766	N
hsa-mir-138-1	1073	96.408639	N
hsa-mir-138-2	373	33.513907	N
hsa-mir-139	921	82.751497	N
hsa-mir-140	30297	2722.173843	N
hsa-mir-141	754	67.746611	N
hsa-mir-142	26382	2370.412593	N
hsa-mir-143	291119	26156.930622	N
hsa-mir-144	645	57.953003	N
hsa-mir-145	23276	2091.339683	N
hsa-mir-1468	24	2.156391	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	38851	3490.747466	N
hsa-mir-146b	202959	18235.788396	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	78	7.008270	N
hsa-mir-148a	252307	22669.687291	N
hsa-mir-148b	6149	552.485294	N
hsa-mir-149	2177	195.602616	N
hsa-mir-150	17289	1553.410027	N
hsa-mir-151a	25994	2335.550942	N
hsa-mir-151b	95	8.535714	N
hsa-mir-152	3311	297.492082	N
hsa-mir-153-1	5	0.449248	N
hsa-mir-153-2	3	0.269549	N
hsa-mir-1537	4	0.359398	N
hsa-mir-1538	5	0.449248	N
hsa-mir-1539	1	0.089850	N
hsa-mir-154	1341	120.488336	N
hsa-mir-155	34349	3086.244491	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2446	219.772163	N
hsa-mir-15b	16265	1461.404019	N
hsa-mir-16-1	26249	2358.462594	N
hsa-mir-16-2	29638	2662.962946	N
hsa-mir-17	6847	615.200327	Y
hsa-mir-181a-1	35980	3232.789216	N
hsa-mir-181a-2	36929	3318.056502	N
hsa-mir-181b-1	12764	1146.840510	N
hsa-mir-181b-2	15512	1393.747257	N
hsa-mir-181c	518	46.542102	N
hsa-mir-181d	317	28.482329	N
hsa-mir-182	28746	2582.817087	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	16222	1457.540485	N
hsa-mir-184	7	0.628947	N
hsa-mir-185	4971	446.642446	N
hsa-mir-186	16772	1506.957775	N
hsa-mir-187	81	7.277819	N
hsa-mir-188	36	3.234586	N
hsa-mir-18a	1496	134.415027	Y
hsa-mir-18b	7	0.628947	Y
hsa-mir-1908	3	0.269549	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	216	19.407517	N
hsa-mir-190b	184	16.532330	N
hsa-mir-191	63522	5707.427365	N
hsa-mir-1910	32	2.875188	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	5	0.449248	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	2	0.179699	N
hsa-mir-192	1682	151.127056	Y
hsa-mir-193a	2086	187.426301	N
hsa-mir-193b	5084	456.795452	N
hsa-mir-194-1	255	22.911652	N
hsa-mir-194-2	1227	110.245480	N
hsa-mir-195	4508	405.042073	N
hsa-mir-196a-1	451	40.522177	N
hsa-mir-196a-2	633	56.874807	N
hsa-mir-196b	615	55.257514	N
hsa-mir-197	3363	302.164262	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	25	2.246240	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	40627	3650.320386	Y
hsa-mir-199a-2	73424	6597.118271	Y
hsa-mir-199b	118883	10681.592006	Y
hsa-mir-19a	1460	131.180441	N
hsa-mir-19b-1	4792	430.559364	N
hsa-mir-19b-2	4980	447.451092	N
hsa-mir-200a	9593	861.927375	N
hsa-mir-200b	30639	2752.902412	N
hsa-mir-200c	63663	5720.096161	N
hsa-mir-202	14	1.257895	N
hsa-mir-203a	2648	237.921786	N
