miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	142894	18556.038082	N
hsa-let-7a-2	138382	17970.115343	Y
hsa-let-7a-3	137771	17890.771639	N
hsa-let-7b	53028	6886.150485	N
hsa-let-7c	46960	6098.167511	Y
hsa-let-7d	35775	4645.697247	N
hsa-let-7e	15917	2066.961931	N
hsa-let-7f-1	167764	21785.625518	N
hsa-let-7f-2	176061	22863.063675	N
hsa-let-7g	227152	29497.677736	N
hsa-let-7i	85696	11128.376555	N
hsa-mir-1-1	601	78.045117	N
hsa-mir-1-2	612	79.473563	N
hsa-mir-100	53364	6929.783029	Y
hsa-mir-101-1	15800	2051.768456	N
hsa-mir-101-2	16769	2177.601597	N
hsa-mir-103a-1	79588	10335.199231	Y
hsa-mir-103a-2	83846	10888.137844	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	207	26.880764	N
hsa-mir-105-2	191	24.803024	N
hsa-mir-106a	477	61.942630	Y
hsa-mir-106b	18838	2446.279378	N
hsa-mir-107	8352	1084.580389	Y
hsa-mir-10a	38743	5031.118055	N
hsa-mir-10b	3325	431.780387	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.168729	N
hsa-mir-1180	349	45.320708	N
hsa-mir-1181	4	0.519435	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.038870	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	2	0.259718	N
hsa-mir-1197	2	0.259718	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	18	2.337458	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	30	3.895763	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	53	6.882514	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.649294	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.259718	N
hsa-mir-1238	1	0.129859	N
hsa-mir-124-1	5	0.649294	N
hsa-mir-124-2	5	0.649294	N
hsa-mir-124-3	4	0.519435	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	1.947881	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.129859	N
hsa-mir-1247	36	4.674915	N
hsa-mir-1248	163	21.166978	N
hsa-mir-1249	215	27.919634	N
hsa-mir-1250	26	3.376328	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	5	0.649294	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.298588	N
hsa-mir-1254-2	22	2.856893	N
hsa-mir-1255a	36	4.674915	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.519435	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	84138	10926.056602	N
hsa-mir-125b-1	56290	7309.749770	N
hsa-mir-125b-2	60571	7865.675134	N
hsa-mir-126	26797	3479.825272	N
hsa-mir-1260a	2	0.259718	N
hsa-mir-1260b	3	0.389576	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.168729	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.909011	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	877	113.886135	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1288	167.258087	N
hsa-mir-1270	19	2.467316	N
hsa-mir-1271	467	60.644042	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.129859	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.389576	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	12	1.558305	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	11	1.428446	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3981	516.967736	N
hsa-mir-128-2	2879	373.863379	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.129859	N
hsa-mir-1283-2	1	0.129859	N
hsa-mir-1284	33	4.285339	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	18	2.337458	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.389576	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	18	2.337458	N
hsa-mir-129-2	9	1.168729	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	54	7.012373	N
hsa-mir-1292	71	9.219972	N
hsa-mir-1293	2	0.259718	N
hsa-mir-1294	7	0.909011	N
hsa-mir-1295a	46	5.973503	N
hsa-mir-1295b	34	4.415198	N
hsa-mir-1296	186	24.153730	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1697	220.370321	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.389576	N
hsa-mir-1304	48	6.233221	N
hsa-mir-1305	9	1.168729	N
hsa-mir-1306	83	10.778277	N
hsa-mir-1307	2093	271.794391	N
hsa-mir-130a	212	27.530058	N
hsa-mir-130b	1380	179.205093	N
hsa-mir-132	2365	307.115975	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.129859	N
hsa-mir-1323	2	0.259718	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	151	19.608673	Y
hsa-mir-133a-2	158	20.517685	Y
hsa-mir-133b	7	0.909011	Y
hsa-mir-134	69	8.960255	N
hsa-mir-1343	26	3.376328	N
hsa-mir-135a-1	128	16.621922	N
hsa-mir-135a-2	113	14.674040	N
hsa-mir-135b	8780	1140.159939	N
hsa-mir-136	92	11.947006	N
hsa-mir-137	9	1.168729	N
hsa-mir-138-1	89	11.557430	N
hsa-mir-138-2	43	5.583927	N
hsa-mir-139	607	78.824269	N
hsa-mir-140	20592	2674.051648	N
hsa-mir-141	657	85.317207	N
hsa-mir-142	11789	1530.904957	N
hsa-mir-143	67469	8761.440882	N
hsa-mir-144	162	21.037120	N
hsa-mir-145	13652	1772.831833	N
hsa-mir-1468	37	4.804774	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	17670	2294.604342	N
hsa-mir-146b	93495	12141.145048	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	54	7.012373	N
hsa-mir-148a	43344	5628.598224	N
hsa-mir-148b	3722	483.334316	N
hsa-mir-149	4555	591.506666	N
hsa-mir-150	11976	1555.188546	N
hsa-mir-151a	28227	3665.523304	N
hsa-mir-151b	37	4.804774	N
hsa-mir-152	1204	156.349951	N
hsa-mir-153-1	5	0.649294	N
hsa-mir-153-2	1	0.129859	N
hsa-mir-1537	12	1.558305	N
hsa-mir-1538	8	1.038870	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	97	12.596300	N
hsa-mir-155	20083	2607.953538	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2252	292.441934	N
hsa-mir-15b	19682	2555.880174	N
hsa-mir-16-1	27103	3519.562054	N
hsa-mir-16-2	30589	3972.249702	N
hsa-mir-17	4605	597.999604	Y
hsa-mir-181a-1	19159	2487.964041	N
hsa-mir-181a-2	19060	2475.108023	N
hsa-mir-181b-1	6227	808.630517	N
hsa-mir-181b-2	7946	1031.857731	N
hsa-mir-181c	375	48.697036	N
hsa-mir-181d	266	34.542431	N
hsa-mir-182	101766	13215.206877	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	46972	6099.725816	N
hsa-mir-184	47217	6131.541213	N
hsa-mir-185	5849	759.543905	N
hsa-mir-186	8791	1141.588386	N
hsa-mir-187	80	10.388701	N
hsa-mir-188	26	3.376328	N
hsa-mir-18a	850	110.379949	Y
hsa-mir-18b	5	0.649294	Y
hsa-mir-1908	19	2.467316	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	66	8.570678	N
hsa-mir-190b	54	7.012373	N
hsa-mir-191	121217	15741.089676	N
