miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	98847	15944.666698	N
hsa-let-7a-2	96207	15518.817455	Y
hsa-let-7a-3	96985	15644.313937	N
hsa-let-7b	31970	5156.969805	N
hsa-let-7c	6065	978.324112	Y
hsa-let-7d	16215	2615.585405	N
hsa-let-7e	3730	601.673362	N
hsa-let-7f-1	120784	19483.248075	N
hsa-let-7f-2	127737	20604.812387	N
hsa-let-7g	154899	24986.220390	N
hsa-let-7i	70980	11449.537591	N
hsa-mir-1-1	661	106.623617	N
hsa-mir-1-2	678	109.365828	N
hsa-mir-100	56629	9134.627560	Y
hsa-mir-101-1	21564	3478.414041	N
hsa-mir-101-2	22956	3702.952732	N
hsa-mir-103a-1	34853	5622.016535	Y
hsa-mir-103a-2	36426	5875.751709	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.322613	N
hsa-mir-105-2	3	0.483920	N
hsa-mir-106a	346	55.812060	Y
hsa-mir-106b	12135	1957.454757	N
hsa-mir-107	4329	698.295974	Y
hsa-mir-10a	53279	8594.250680	N
hsa-mir-10b	11341	1829.377371	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.161307	N
hsa-mir-1180	267	43.068844	N
hsa-mir-1181	3	0.483920	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	1	0.161307	N
hsa-mir-1184-2	1	0.161307	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.645226	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.483920	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.483920	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.161307	N
hsa-mir-1226	18	2.903518	N
hsa-mir-1227	2	0.322613	N
hsa-mir-1228	7	1.129146	N
hsa-mir-1229	5	0.806533	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.161307	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.451759	N
hsa-mir-1245b	6	0.967839	N
hsa-mir-1246	11	1.774372	N
hsa-mir-1247	118	19.034171	N
hsa-mir-1248	51	8.226633	N
hsa-mir-1249	122	19.679397	N
hsa-mir-1250	10	1.613065	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.161307	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.806533	N
hsa-mir-1254-2	6	0.967839	N
hsa-mir-1255a	16	2.580905	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.161307	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	41679	6723.094917	N
hsa-mir-125b-1	26177	4222.521069	N
hsa-mir-125b-2	25654	4138.157754	N
hsa-mir-126	20729	3343.723087	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	1.451759	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.645226	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.483920	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	15	2.419598	N
hsa-mir-1269b	227	36.616583	N
hsa-mir-127	825	133.077888	N
hsa-mir-1270	8	1.290452	N
hsa-mir-1271	280	45.165829	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.161307	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.967839	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	8	1.290452	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3963	639.257783	N
hsa-mir-128-2	2663	429.559293	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.161307	N
hsa-mir-1283-2	1	0.161307	N
hsa-mir-1284	6	0.967839	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	7	1.129146	N
hsa-mir-1287	48	7.742714	N
hsa-mir-1288	1	0.161307	N
hsa-mir-1289-1	13	2.096985	N
hsa-mir-1289-2	1	0.161307	N
hsa-mir-129-1	17	2.742211	N
hsa-mir-129-2	12	1.935678	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	26	4.193970	N
hsa-mir-1292	22	3.548744	N
hsa-mir-1293	25	4.032663	N
hsa-mir-1294	7	1.129146	N
hsa-mir-1295a	21	3.387437	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	519	83.718090	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.322613	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	754	121.625125	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.483920	N
hsa-mir-1304	42	6.774874	N
hsa-mir-1305	6	0.967839	N
hsa-mir-1306	47	7.581407	N
hsa-mir-1307	1284	207.117586	N
hsa-mir-130a	277	44.681909	N
hsa-mir-130b	2391	385.683916	N
hsa-mir-132	1233	198.890953	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.161307	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	84	13.549749	Y
hsa-mir-133a-2	70	11.291457	Y
hsa-mir-133b	2	0.322613	Y
hsa-mir-134	63	10.162311	N
hsa-mir-1343	15	2.419598	N
hsa-mir-135a-1	14	2.258291	N
hsa-mir-135a-2	21	3.387437	N
hsa-mir-135b	729	117.592461	N
hsa-mir-136	124	20.002010	N
hsa-mir-137	1	0.161307	N
hsa-mir-138-1	226	36.455276	N
hsa-mir-138-2	87	14.033668	N
hsa-mir-139	349	56.295979	N
hsa-mir-140	16018	2583.808018	N
hsa-mir-141	454	73.233165	N
hsa-mir-142	9780	1577.577876	N
hsa-mir-143	85036	13716.862194	N
hsa-mir-144	432	69.684422	N
hsa-mir-145	9964	1607.258278	N
hsa-mir-1468	35	5.645729	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	11732	1892.448225	N
hsa-mir-146b	56464	9108.011982	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	14	2.258291	N
hsa-mir-148a	144942	23380.091258	N
hsa-mir-148b	3444	555.539694	N
hsa-mir-149	1677	270.511053	N
hsa-mir-150	13405	2162.314052	N
hsa-mir-151a	22038	3554.873336	N
hsa-mir-151b	57	9.194472	N
hsa-mir-152	3286	530.053262	N
hsa-mir-153-1	3	0.483920	N
hsa-mir-153-2	2	0.322613	N
hsa-mir-1537	1	0.161307	N
hsa-mir-1538	3	0.483920	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	97	15.646734	N
hsa-mir-155	13014	2099.243198	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	827	133.400501	N
hsa-mir-15b	12109	1953.260787	N
hsa-mir-16-1	14344	2313.780885	N
hsa-mir-16-2	16839	2716.240680	N
hsa-mir-17	3137	506.018589	Y
hsa-mir-181a-1	12842	2071.498475	N
hsa-mir-181a-2	13049	2104.888927	N
hsa-mir-181b-1	2767	446.335172	N
hsa-mir-181b-2	3469	559.572357	N
hsa-mir-181c	348	56.134673	N
