miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	166042	15879.687662	N
hsa-let-7a-2	158230	15132.574763	N
hsa-let-7a-3	157507	15063.429522	N
hsa-let-7b	41820	3999.521435	N
hsa-let-7c	23535	2250.806718	N
hsa-let-7d	36336	3475.050475	N
hsa-let-7e	9581	916.293995	N
hsa-let-7f-1	234061	22384.791643	N
hsa-let-7f-2	256519	24532.597773	N
hsa-let-7g	186051	17793.279828	N
hsa-let-7i	53515	5117.991142	N
hsa-mir-1-1	1310	125.283909	N
hsa-mir-1-2	1494	142.881038	N
hsa-mir-100	34833	3331.308707	Y
hsa-mir-101-1	24285	2322.534147	N
hsa-mir-101-2	26025	2488.941782	N
hsa-mir-103a-1	81789	7822.019575	Y
hsa-mir-103a-2	84493	8080.620865	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	28	2.677824	N
hsa-mir-105-2	20	1.912731	N
hsa-mir-106a	612	58.529582	Y
hsa-mir-106b	12843	1228.260492	N
hsa-mir-107	5615	536.999351	Y
hsa-mir-10a	89881	8595.910714	N
hsa-mir-10b	25831	2470.388287	N
hsa-mir-1178	2	0.191273	N
hsa-mir-1179	3	0.286910	N
hsa-mir-1180	722	69.049605	N
hsa-mir-1181	2	0.191273	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.382546	N
hsa-mir-1185-2	2	0.191273	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	50	4.781829	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	49	4.686192	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	1.434549	N
hsa-mir-1229	31	2.964734	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.478183	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.191273	N
hsa-mir-124-2	1	0.095637	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.765093	N
hsa-mir-1245b	1	0.095637	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	98	9.372384	N
hsa-mir-1248	21	2.008368	N
hsa-mir-1249	101	9.659294	N
hsa-mir-1250	17	1.625822	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.765093	N
hsa-mir-1254-2	5	0.478183	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.095637	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.382546	N
hsa-mir-125a	106230	10159.473027	N
hsa-mir-125b-1	48300	4619.246420	N
hsa-mir-125b-2	48223	4611.882404	N
hsa-mir-126	24734	2365.474968	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	48	4.590555	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	32	3.060370	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	28	2.677824	N
hsa-mir-1267	1	0.095637	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	126	12.050208	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1328	127.005367	N
hsa-mir-1270	84	8.033472	N
hsa-mir-1271	502	48.009559	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.573819	N
hsa-mir-1277	1	0.095637	N
hsa-mir-1278	8	0.765093	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2498	238.900156	N
hsa-mir-128-2	1608	153.783608	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	1.147639	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.095637	N
hsa-mir-1287	81	7.746562	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	3	0.286910	N
hsa-mir-129-1	11	1.052002	N
hsa-mir-129-2	1	0.095637	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	15	1.434549	N
hsa-mir-1292	37	3.538553	N
hsa-mir-1293	3	0.286910	N
hsa-mir-1294	14	1.338912	N
hsa-mir-1295a	27	2.582187	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	148	14.154213	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	9	0.860729	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1151	110.077694	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
