miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	242089	21224.442059	N
hsa-let-7a-2	231163	20266.537099	Y
hsa-let-7a-3	231770	20319.754041	N
hsa-let-7b	63171	5538.331892	N
hsa-let-7c	21287	1866.275205	Y
hsa-let-7d	49961	4380.183939	N
hsa-let-7e	18687	1638.327841	N
hsa-let-7f-1	311222	27285.474791	N
hsa-let-7f-2	338128	29644.379318	N
hsa-let-7g	255649	22413.275234	N
hsa-let-7i	60728	5324.149042	N
hsa-mir-1-1	2464	216.023963	N
hsa-mir-1-2	2660	233.207688	N
hsa-mir-100	65967	5783.462980	Y
hsa-mir-101-1	30497	2673.734905	N
hsa-mir-101-2	32955	2889.232836	N
hsa-mir-103a-1	110199	9661.373670	Y
hsa-mir-103a-2	113586	9958.318948	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.087672	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	392	34.367449	Y
hsa-mir-106b	12867	1128.076435	N
hsa-mir-107	9498	832.709254	Y
hsa-mir-10a	138525	12144.772527	N
hsa-mir-10b	14373	1260.110561	N
hsa-mir-1178	3	0.263016	N
hsa-mir-1179	5	0.438360	N
hsa-mir-1180	596	52.252550	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	22	1.928785	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	39	3.419210	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	17	1.490425	N
hsa-mir-1229	32	2.805506	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.263016	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.175344	N
hsa-mir-124-1	3	0.263016	N
hsa-mir-124-2	5	0.438360	N
hsa-mir-124-3	3	0.263016	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.175344	N
hsa-mir-1245b	1	0.087672	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	251	22.005688	N
hsa-mir-1248	11	0.964393	N
hsa-mir-1249	91	7.978158	N
hsa-mir-1250	15	1.315081	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	6	0.526032	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	23	2.016457	N
hsa-mir-1254-2	16	1.402753	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	0.876721	N
hsa-mir-125a	228197	20006.501760	N
hsa-mir-125b-1	62564	5485.114949	N
hsa-mir-125b-2	62823	5507.822014	N
hsa-mir-126	33995	2980.411782	N
hsa-mir-1260a	1	0.087672	N
hsa-mir-1260b	31	2.717834	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	26	2.279474	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.701377	N
hsa-mir-1267	1	0.087672	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10	0.876721	N
hsa-mir-1269b	47	4.120587	N
hsa-mir-127	369	32.350991	N
hsa-mir-1270	48	4.208259	N
