miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	102992	16040.935910	N
hsa-let-7a-2	99492	15495.813224	N
hsa-let-7a-3	99919	15562.318192	N
hsa-let-7b	41357	6441.325408	N
hsa-let-7c	8084	1259.077656	N
hsa-let-7d	17799	2772.182483	N
hsa-let-7e	2339	364.297704	N
hsa-let-7f-1	120599	18783.214520	N
hsa-let-7f-2	133023	20718.244306	N
hsa-let-7g	116484	18142.305990	N
hsa-let-7i	60287	9389.660393	N
hsa-mir-1-1	467	72.734941	N
hsa-mir-1-2	484	75.382680	N
hsa-mir-100	11876	1849.679149	Y
hsa-mir-101-1	17344	2701.316534	N
hsa-mir-101-2	18082	2816.259546	N
hsa-mir-103a-1	31332	4879.938286	Y
hsa-mir-103a-2	32643	5084.125669	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	53	8.254715	N
hsa-mir-105-2	55	8.566214	N
hsa-mir-106a	318	49.528290	Y
hsa-mir-106b	13423	2090.623376	N
hsa-mir-107	4316	672.214147	Y
hsa-mir-10a	29605	4610.959178	N
hsa-mir-10b	24597	3830.966489	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.311499	N
hsa-mir-1180	502	78.186168	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.245995	N
hsa-mir-1185-2	1	0.155749	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.155749	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.311499	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.311499	N
hsa-mir-1227	1	0.155749	N
hsa-mir-1228	8	1.245995	N
hsa-mir-1229	2	0.311499	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	3	0.467248	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.155749	N
hsa-mir-124-1	10	1.557493	N
hsa-mir-124-2	12	1.868992	N
hsa-mir-124-3	8	1.245995	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.713243	N
hsa-mir-1245b	10	1.557493	N
hsa-mir-1246	1	0.155749	N
hsa-mir-1247	77	11.992699	N
hsa-mir-1248	115	17.911174	N
hsa-mir-1249	276	42.986818	N
hsa-mir-1250	19	2.959237	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.778747	N
hsa-mir-1254-2	6	0.934496	N
hsa-mir-1255a	5	0.778747	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	23270	3624.287116	N
hsa-mir-125b-1	19332	3010.946219	N
hsa-mir-125b-2	19800	3083.836910	N
hsa-mir-126	18793	2926.997326	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	5	0.778747	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.622997	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.467248	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	386	60.119245	N
hsa-mir-1269b	45	7.008720	N
hsa-mir-127	881	137.215168	N
hsa-mir-1270	10	1.557493	N
hsa-mir-1271	438	68.218210	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.155749	N
hsa-mir-1276	6	0.934496	N
hsa-mir-1277	2	0.311499	N
hsa-mir-1278	4	0.622997	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2887	449.648341	N
hsa-mir-128-2	1769	275.520580	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.311499	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	25	3.893733	N
hsa-mir-1288	1	0.155749	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	60	9.344960	N
hsa-mir-129-2	40	6.229974	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	29	4.516731	N
hsa-mir-1292	40	6.229974	N
hsa-mir-1293	46	7.164470	N
hsa-mir-1294	3	0.467248	N
hsa-mir-1295a	15	2.336240	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	289	45.011559	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	400	62.299736	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.934496	N
hsa-mir-1304	10	1.557493	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	45	7.008720	N
hsa-mir-1307	986	153.568848	N
hsa-mir-130a	153	23.829649	N
hsa-mir-130b	961	149.675115	N
hsa-mir-132	1721	268.044612	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.155749	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	52	8.098966	N
hsa-mir-133a-2	35	5.451227	Y
hsa-mir-133b	2	0.311499	Y
hsa-mir-134	38	5.918475	N
hsa-mir-1343	28	4.360981	N
hsa-mir-135a-1	37	5.762726	N
hsa-mir-135a-2	52	8.098966	N
hsa-mir-135b	1860	289.693770	N
hsa-mir-136	171	26.633137	N
hsa-mir-137	6	0.934496	N
hsa-mir-138-1	63	9.812208	N
hsa-mir-138-2	8	1.245995	N
hsa-mir-139	575	89.555870	N
hsa-mir-140	17404	2710.661494	N
hsa-mir-141	1342	209.015613	N
hsa-mir-142	6276	977.482851	N
hsa-mir-143	72774	11334.502388	N
hsa-mir-144	299	46.569052	N
hsa-mir-145	6735	1048.971797	N
hsa-mir-1468	12	1.868992	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	11316	1762.459519	N
hsa-mir-146b	52307	8146.780669	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	29	4.516731	N
hsa-mir-148a	90524	14099.053153	N
hsa-mir-148b	2952	459.772048	N
hsa-mir-149	1290	200.916647	N
hsa-mir-150	4625	720.340692	N
hsa-mir-151a	13559	2111.805286	N
hsa-mir-151b	34	5.295478	N
hsa-mir-152	2883	449.025344	N
hsa-mir-153-1	1	0.155749	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.155749	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	71	11.058203	N
hsa-mir-155	10462	1629.449583	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1393	216.958829	N
hsa-mir-15b	19417	3024.184913	N
hsa-mir-16-1	20609	3209.838125	N
hsa-mir-16-2	25069	3904.480176	N
hsa-mir-17	2751	428.466431	Y
hsa-mir-181a-1	7504	1168.743039	N
hsa-mir-181a-2	7395	1151.766361	N
hsa-mir-181b-1	1466	228.328531	N
hsa-mir-181b-2	1928	300.284725	N
hsa-mir-181c	440	68.529709	N
hsa-mir-181d	222	34.576353	N
hsa-mir-182	42937	6687.409364	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	22601	3520.090808	N
hsa-mir-184	8	1.245995	N
hsa-mir-185	3480	542.007699	N
hsa-mir-186	5891	917.519355	N
hsa-mir-187	24	3.737984	N
hsa-mir-188	26	4.049483	N
hsa-mir-18a	360	56.069762	N
hsa-mir-18b	8	1.245995	N
hsa-mir-1908	4	0.622997	N
hsa-mir-1909	2	0.311499	N
hsa-mir-190a	164	25.542892	N
hsa-mir-190b	25	3.893733	N
hsa-mir-191	29115	4534.642002	N
hsa-mir-1910	12	1.868992	N
hsa-mir-1911	1	0.155749	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.155749	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1885	293.587504	Y
hsa-mir-193a	362	56.381261	N
hsa-mir-193b	1281	199.514903	N
hsa-mir-194-1	214	33.330359	N
hsa-mir-194-2	806	125.533967	N
hsa-mir-195	2385	371.462173	N
hsa-mir-196a-1	142	22.116406	N
hsa-mir-196a-2	288	44.855810	N
hsa-mir-196b	1050	163.536806	N
hsa-mir-197	1949	303.555461	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	13	2.024741	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	18031	2808.316329	Y
hsa-mir-199a-2	32454	5054.689044	Y
hsa-mir-199b	52904	8239.763024	Y
hsa-mir-19a	635	98.900830	N
hsa-mir-19b-1	2043	318.195899	N
hsa-mir-19b-2	2224	346.386530	N
hsa-mir-200a	21463	3342.848060	N
