miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	602689	21314.317800	N
hsa-let-7a-2	580388	20525.634746	Y
hsa-let-7a-3	580618	20533.768780	N
hsa-let-7b	295559	10452.552568	N
hsa-let-7c	56046	1982.087371	Y
hsa-let-7d	99830	3530.524609	N
hsa-let-7e	64329	2275.018707	N
hsa-let-7f-1	424937	15028.053047	N
hsa-let-7f-2	451932	15982.741135	N
hsa-let-7g	379809	13432.084756	Y
hsa-let-7i	332418	11756.084638	Y
hsa-mir-1-1	2612	92.374339	N
hsa-mir-1-2	2813	99.482778	N
hsa-mir-100	108045	3821.051100	Y
hsa-mir-101-1	19472	688.634430	N
hsa-mir-101-2	20202	714.451148	N
hsa-mir-103a-1	227588	8048.733193	Y
hsa-mir-103a-2	239145	8457.450742	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.035365	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1249	44.171344	Y
hsa-mir-106b	28462	1006.569082	N
hsa-mir-107	31417	1111.073742	Y
hsa-mir-10a	312308	11044.887103	N
hsa-mir-10b	110026	3891.109893	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	0.636577	N
hsa-mir-1180	1350	47.743246	N
hsa-mir-1181	12	0.424384	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	89	3.147518	N
hsa-mir-1185-2	49	1.732903	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	14	0.495115	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.282923	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	87	3.076787	N
hsa-mir-1227	6	0.212192	N
hsa-mir-1228	180	6.365766	N
hsa-mir-1229	28	0.990230	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.141461	N
