miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	254088	31907.214812	N
hsa-let-7a-2	246504	30954.850603	Y
hsa-let-7a-3	245889	30877.621701	N
hsa-let-7b	83112	10436.826759	N
hsa-let-7c	31719	3983.127683	Y
hsa-let-7d	46122	5791.790882	N
hsa-let-7e	11493	1443.238641	N
hsa-let-7f-1	197677	24823.378130	N
hsa-let-7f-2	208894	26231.957947	N
hsa-let-7g	203730	25583.486326	N
hsa-let-7i	51959	6524.774780	N
hsa-mir-1-1	4800	602.762158	N
hsa-mir-1-2	5056	634.909473	N
hsa-mir-100	88549	11119.580478	Y
hsa-mir-101-1	11832	1485.808718	N
hsa-mir-101-2	13074	1641.773427	N
hsa-mir-103a-1	61630	7739.214953	Y
hsa-mir-103a-2	65515	8227.075574	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	437	54.876471	Y
hsa-mir-106b	9092	1141.731987	N
hsa-mir-107	10510	1319.797974	Y
hsa-mir-10a	114742	14408.778226	N
hsa-mir-10b	8850	1111.342728	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.381330	N
hsa-mir-1180	980	123.063941	N
hsa-mir-1181	1	0.125575	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.627877	N
hsa-mir-1224	1	0.125575	N
hsa-mir-1225	5	0.627877	N
hsa-mir-1226	24	3.013811	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.004604	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	17	2.134783	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.125575	N
hsa-mir-124-2	1	0.125575	N
hsa-mir-124-3	1	0.125575	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.125575	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.627877	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	350	43.951407	N
hsa-mir-1248	22	2.762660	N
hsa-mir-1249	52	6.529923	N
hsa-mir-1250	3	0.376726	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	19	2.385934	N
hsa-mir-1254-2	15	1.883632	N
hsa-mir-1255a	19	2.385934	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	13	1.632481	N
hsa-mir-125a	179295	22515.050218	N
hsa-mir-125b-1	54773	6878.144095	N
hsa-mir-125b-2	54804	6882.036934	N
hsa-mir-126	110233	13842.558524	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	7	0.879028	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	1.004604	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.251151	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.627877	N
hsa-mir-1267	2	0.251151	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	506	63.541177	N
hsa-mir-1270	24	3.013811	N
hsa-mir-1271	519	65.173658	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.251151	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	10	1.255754	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2327	292.214071	N
hsa-mir-128-2	1721	216.115349	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	4	0.502302	N
hsa-mir-1283-2	1	0.125575	N
hsa-mir-1284	7	0.879028	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	61	7.660102	N
hsa-mir-1288	2	0.251151	N
hsa-mir-1289-1	2	0.251151	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	1.255754	N
hsa-mir-129-2	19	2.385934	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	47	5.902046	N
hsa-mir-1292	22	2.762660	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	10	1.255754	N
hsa-mir-1295a	43	5.399744	N
hsa-mir-1295b	11	1.381330	N
