miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	58823	2189.159568	N
hsa-let-7a-2	58674	2183.614377	N
hsa-let-7a-3	58935	2193.327766	N
hsa-let-7b	44093	1640.967187	N
hsa-let-7c	12209	454.370725	N
hsa-let-7d	8811	327.910595	N
hsa-let-7e	62107	2311.377069	N
hsa-let-7f-1	109837	4087.699021	N
hsa-let-7f-2	110421	4109.433193	N
hsa-let-7g	11020	410.120845	N
hsa-let-7i	8787	327.017410	N
hsa-mir-1-1	64	2.381827	N
hsa-mir-1-2	74	2.753988	N
hsa-mir-100	41073	1528.574723	Y
hsa-mir-101-1	107775	4010.959531	N
hsa-mir-101-2	110675	4118.886069	N
hsa-mir-103a-1	295685	11004.227036	Y
hsa-mir-103a-2	294749	10969.392815	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2236	83.215082	N
hsa-mir-105-2	2176	80.982120	N
hsa-mir-106a	58	2.158531	Y
hsa-mir-106b	7356	273.761246	N
hsa-mir-107	1056	39.300146	Y
hsa-mir-10a	417372	15532.936221	N
hsa-mir-10b	2067044	76927.207904	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	230	8.559691	N
hsa-mir-1180	1080	40.193331	N
hsa-mir-1181	7	0.260512	N
hsa-mir-1182	2	0.074432	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	822	30.591591	N
hsa-mir-1185-2	166	6.177864	N
hsa-mir-1193	6	0.223296	N
hsa-mir-1197	504	18.756888	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	1	0.037216	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	9	0.334944	N
hsa-mir-1224	2690	100.111168	N
hsa-mir-1225	77	2.865636	N
hsa-mir-1226	214	7.964234	N
hsa-mir-1227	9	0.334944	N
hsa-mir-1228	102	3.796037	N
hsa-mir-1229	401	14.923635	N
hsa-mir-1231	3	0.111648	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	8	0.297728	N
hsa-mir-1237	1	0.037216	N
hsa-mir-1238	2	0.074432	N
hsa-mir-124-1	288	10.718222	N
hsa-mir-124-2	323	12.020783	N
hsa-mir-124-3	288	10.718222	N
hsa-mir-1243	15	0.558241	N
hsa-mir-1244-1	1	0.037216	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	0.669889	N
hsa-mir-1245b	5	0.186080	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	0.409377	N
hsa-mir-1248	1738	64.681491	N
hsa-mir-1249	9	0.334944	N
hsa-mir-1250	17	0.632673	N
hsa-mir-1251	89	3.312228	N
hsa-mir-1252	4	0.148864	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.037216	N
hsa-mir-1254-2	3	0.111648	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	32	1.190914	N
hsa-mir-125a	22035	820.055609	N
hsa-mir-125b-1	5559	206.884009	N
hsa-mir-125b-2	6693	249.087007	N
hsa-mir-126	45915	1708.774826	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.037216	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.186080	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	63	2.344611	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	44	1.637506	N
hsa-mir-1269b	15	0.558241	N
hsa-mir-127	1368203	50919.107980	N
hsa-mir-1270	9	0.334944	N
hsa-mir-1271	28	1.042049	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.037216	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	9	0.334944	N
hsa-mir-1277	7	0.260512	N
hsa-mir-1278	2	0.074432	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4222	157.126153	N
hsa-mir-128-2	3425	127.464963	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.148864	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	66	2.456259	N
hsa-mir-1288	13	0.483809	N
hsa-mir-1289-1	2	0.074432	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2289	85.187533	N
hsa-mir-129-2	3398	126.460130	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	78	2.902852	N
hsa-mir-1292	25	0.930401	N
hsa-mir-1293	80	2.977284	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	3	0.111648	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	84	3.126148	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	13	0.483809	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	512	19.054616	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.037216	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.037216	N
hsa-mir-1305	2	0.074432	N
hsa-mir-1306	49	1.823586	N
hsa-mir-1307	12032	447.783485	N
hsa-mir-130a	1636	60.885454	N
hsa-mir-130b	650	24.190431	N
hsa-mir-132	3637	135.354765	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	32	1.190914	Y
hsa-mir-133a-2	19	0.707105	Y
hsa-mir-133b	10	0.372160	Y
hsa-mir-134	101932	3793.506164	N
hsa-mir-1343	25	0.930401	N
hsa-mir-135a-1	148	5.507975	N
hsa-mir-135a-2	172	6.401160	N
hsa-mir-135b	11	0.409377	N
hsa-mir-136	16985	632.114569	N
hsa-mir-137	599	22.292413	N
hsa-mir-138-1	47	1.749154	N
hsa-mir-138-2	62	2.307395	N
hsa-mir-139	5513	205.172070	N
hsa-mir-140	31965	1189.610962	N
hsa-mir-141	153	5.694055	N
hsa-mir-142	3171	118.012087	N
hsa-mir-143	5524476	205599.161805	N
hsa-mir-144	4074	151.618178	N
hsa-mir-145	22015	819.311288	N
hsa-mir-1468	529	19.687289	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2946	109.638476	N
hsa-mir-146b	12045	448.267293	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	0.260512	N
hsa-mir-148a	49923	1857.936745	N
hsa-mir-148b	4063	151.208801	N
hsa-mir-149	974	36.248430	N
hsa-mir-150	1021	37.997585	N
hsa-mir-151a	50921	1895.078360	N
hsa-mir-151b	36	1.339778	N
hsa-mir-152	14201	528.505092	N
hsa-mir-153-1	369	13.732722	N
hsa-mir-153-2	1414	52.623491	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.037216	N
hsa-mir-1539	1	0.037216	N
hsa-mir-154	5509	205.023206	N
hsa-mir-155	1756	65.351380	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1674	62.299664	N
hsa-mir-15b	2800	104.204933	N
hsa-mir-16-1	4688	174.468831	N
hsa-mir-16-2	4591	170.858875	N
hsa-mir-17	4752	176.850658	Y
hsa-mir-181a-1	16256	604.984070	N
hsa-mir-181a-2	19877	739.743378	N
hsa-mir-181b-1	4645	172.868541	N
hsa-mir-181b-2	4555	169.519097	N
hsa-mir-181c	475	17.677623	N
hsa-mir-181d	182	6.773321	N
hsa-mir-182	1958269	72879.032326	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1249635	46506.475648	N
hsa-mir-184	12	0.446593	N
hsa-mir-185	783	29.140165	N
hsa-mir-186	2775	103.274532	N
hsa-mir-187	169	6.289512	N
hsa-mir-188	97	3.609957	N
hsa-mir-18a	189	7.033833	Y
hsa-mir-18b	7	0.260512	Y
hsa-mir-1908	2	0.074432	N
hsa-mir-1909	2	0.074432	N
hsa-mir-190a	52	1.935234	N
hsa-mir-190b	59	2.195747	N
hsa-mir-191	12038	448.006781	N
hsa-mir-1910	21	0.781537	N
hsa-mir-1911	2	0.074432	N
hsa-mir-1912	0	0.000000	N
