miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	183031	18010.756603	N
hsa-let-7a-2	177863	17502.211110	Y
hsa-let-7a-3	178672	17581.818948	N
hsa-let-7b	50471	4966.485986	N
hsa-let-7c	20945	2061.045927	Y
hsa-let-7d	36811	3622.304207	N
hsa-let-7e	10784	1061.175425	N
hsa-let-7f-1	242386	23851.452759	N
hsa-let-7f-2	254725	25065.644485	N
hsa-let-7g	286694	28211.482501	N
hsa-let-7i	143260	14097.180210	N
hsa-mir-1-1	921	90.628947	N
hsa-mir-1-2	876	86.200823	N
hsa-mir-100	128613	12655.874901	Y
hsa-mir-101-1	14817	1458.033779	N
hsa-mir-101-2	15484	1523.668424	N
hsa-mir-103a-1	77444	7620.703784	Y
hsa-mir-103a-2	82628	8130.823722	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	568	55.892771	Y
hsa-mir-106b	16933	1666.254031	N
hsa-mir-107	16035	1577.888347	Y
hsa-mir-10a	32899	3237.352588	N
hsa-mir-10b	4435	436.416266	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.393611	N
hsa-mir-1180	873	85.905614	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.196806	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.196806	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	36	3.542500	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	40	3.936111	N
hsa-mir-1229	9	0.885625	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.590417	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.098403	N
hsa-mir-124-2	1	0.098403	N
hsa-mir-124-3	1	0.098403	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.492014	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	59	5.805763	N
hsa-mir-1248	25	2.460069	N
hsa-mir-1249	110	10.824304	N
hsa-mir-1250	3	0.295208	N
hsa-mir-1251	9	0.885625	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	36	3.542500	N
hsa-mir-1254-2	42	4.132916	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	2	0.196806	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	86328	8494.913955	N
hsa-mir-125b-1	41809	4114.121230	N
hsa-mir-125b-2	42398	4172.080459	N
hsa-mir-126	55987	5509.275641	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	29	2.853680	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.393611	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	13	1.279236	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.492014	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	700	68.881936	N
hsa-mir-1270	59	5.805763	N
hsa-mir-1271	294	28.930413	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.295208	N
hsa-mir-1275	1	0.098403	N
hsa-mir-1276	8	0.787222	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	2	0.196806	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3613	355.529192	N
hsa-mir-128-2	2745	270.115592	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.196806	N
hsa-mir-1283-2	3	0.295208	N
hsa-mir-1284	19	1.869653	N
hsa-mir-1285-1	2	0.196806	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	181	17.810901	N
hsa-mir-1288	1	0.098403	N
hsa-mir-1289-1	1	0.098403	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	428	42.116384	N
hsa-mir-129-2	946	93.089016	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	64	6.297777	N
hsa-mir-1292	74	7.281805	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	11	1.082430	N
hsa-mir-1295a	34	3.345694	N
hsa-mir-1295b	2	0.196806	N
hsa-mir-1296	103	10.135485	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	128	12.595554	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1656	162.954980	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.688819	N
hsa-mir-1304	36	3.542500	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	80	7.872221	N
hsa-mir-1307	2269	223.275875	N
hsa-mir-130a	404	39.754717	N
hsa-mir-130b	962	94.663461	N
hsa-mir-132	2471	243.153234	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.196806	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	221	21.747011	Y
hsa-mir-133a-2	175	17.220484	Y
hsa-mir-133b	6	0.590417	Y
hsa-mir-134	46	4.526527	N
hsa-mir-1343	21	2.066458	N
hsa-mir-135a-1	3906	384.361203	N
hsa-mir-135a-2	4265	419.687796	N
hsa-mir-135b	8328	819.498232	N
hsa-mir-136	71	6.986596	N
hsa-mir-137	2	0.196806	N
hsa-mir-138-1	494	48.610966	N
hsa-mir-138-2	115	11.316318	N
hsa-mir-139	980	96.434710	N
hsa-mir-140	25069	2466.858933	N
hsa-mir-141	2136	210.188307	N
hsa-mir-142	9308	915.932943	N
hsa-mir-143	155066	15258.923261	N
hsa-mir-144	5971	587.562914	N
hsa-mir-145	22425	2206.682020	N
hsa-mir-1468	38	3.739305	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	29445	2897.469435	N
hsa-mir-146b	189480	18645.356039	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	28	2.755277	N
hsa-mir-148a	132276	13016.324232	N
hsa-mir-148b	9506	935.416690	N
hsa-mir-149	517	50.874230	N
hsa-mir-150	19543	1923.085249	N
hsa-mir-151a	34648	3409.459025	N
hsa-mir-151b	89	8.757846	N
hsa-mir-152	3497	344.114472	N
hsa-mir-153-1	3	0.295208	N
hsa-mir-153-2	5	0.492014	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	8	0.787222	N
hsa-mir-1539	3	0.295208	N
hsa-mir-154	62	6.100971	N
hsa-mir-155	28587	2813.039862	N
hsa-mir-1587	3	0.295208	N
hsa-mir-15a	1604	157.838036	N
hsa-mir-15b	28789	2832.917221	N
hsa-mir-16-1	39549	3891.730979	N
hsa-mir-16-2	44013	4331.000925	N
hsa-mir-17	4744	466.822720	Y
hsa-mir-181a-1	34930	3437.208605	N
hsa-mir-181a-2	35341	3477.652142	N
hsa-mir-181b-1	12518	1231.805821	N
hsa-mir-181b-2	14794	1455.770515	N
hsa-mir-181c	765	75.278116	N
hsa-mir-181d	621	61.108117	N
hsa-mir-182	38038	3743.044401	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	20598	2026.900167	N
hsa-mir-184	49	4.821736	N
hsa-mir-185	6974	686.260888	N
hsa-mir-186	14610	1437.664406	N
hsa-mir-187	65	6.396180	N
hsa-mir-188	16	1.574444	N
hsa-mir-18a	370	36.409023	N
hsa-mir-18b	7	0.688819	N
hsa-mir-1908	8	0.787222	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	168	16.531665	N
hsa-mir-190b	394	38.770690	N
hsa-mir-191	129365	12729.873781	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	6	0.590417	N
hsa-mir-1912	13	1.279236	N
hsa-mir-1913	7	0.688819	N
hsa-mir-1914	10	0.984028	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1444	142.093594	N
hsa-mir-193a	1331	130.974081	N
hsa-mir-193b	9140	899.401278	N
hsa-mir-194-1	200	19.680553	N
hsa-mir-194-2	691	67.996311	N
hsa-mir-195	10163	1000.067307	N
hsa-mir-196a-1	14	1.377639	N
hsa-mir-196a-2	18	1.771250	N
hsa-mir-196b	85	8.364235	N
hsa-mir-197	2695	265.195453	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	38	3.739305	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	19468	1915.705042	Y
hsa-mir-199a-2	34534	3398.241110	Y
hsa-mir-199b	54793	5391.782739	Y
hsa-mir-19a	503	49.496591	N
hsa-mir-19b-1	2645	260.275315	N
hsa-mir-19b-2	2629	258.700871	N
hsa-mir-200a	11856	1166.663190	N
hsa-mir-200b	67293	6621.817310	N
hsa-mir-200c	215788	21234.135998	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	14238	1401.058578	N
hsa-mir-203b	111	10.922707	N
hsa-mir-204	964	94.860266	N
hsa-mir-205	8393	825.894412	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	11969	1177.782702	N
hsa-mir-20b	210	20.664581	N
hsa-mir-21	2973380	292588.815384	N
hsa-mir-210	671	66.028256	N
hsa-mir-211	14	1.377639	N
hsa-mir-2110	459	45.166869	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	8	0.787222	N
hsa-mir-2117	2	0.196806	N
hsa-mir-212	229	22.534233	N
hsa-mir-214	4137	407.092242	N
hsa-mir-215	6	0.590417	N
hsa-mir-216a	8	0.787222	N
hsa-mir-216b	10	0.984028	N
hsa-mir-217	18	1.771250	N
hsa-mir-218-1	2776	273.166077	N
hsa-mir-218-2	2477	243.743651	N
hsa-mir-219a-1	5	0.492014	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	10	0.984028	N
hsa-mir-22	13080	1287.108175	N
hsa-mir-221	36164	3558.637618	N
hsa-mir-222	13206	1299.506923	N
hsa-mir-223	18947	1864.437201	N
hsa-mir-224	3250	319.808988	N
hsa-mir-2276	23	2.263264	N
hsa-mir-2277	26	2.558472	N
hsa-mir-2278	2	0.196806	N
hsa-mir-2355	298	29.324024	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	197361	19420.868235	Y
hsa-mir-23b	108184	10645.604801	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	28046	2759.803966	N
hsa-mir-24-2	28307	2785.487088	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	33519	3298.362302	N
hsa-mir-2681	4	0.393611	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	433233	42631.325379	N
hsa-mir-26a-2	442652	43558.181029	N
hsa-mir-26b	213075	20967.169295	N
hsa-mir-27a	31469	3096.636633	Y
hsa-mir-27b	153637	15118.305709	Y
hsa-mir-28	9565	941.222454	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
