miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	119672	11415.965276	N
hsa-let-7a-2	116552	11118.336661	N
hsa-let-7a-3	117057	11166.510523	N
hsa-let-7b	34851	3324.568870	N
hsa-let-7c	2621	250.027116	N
hsa-let-7d	36079	3441.712441	N
hsa-let-7e	22424	2139.110279	N
hsa-let-7f-1	116014	11067.014803	N
hsa-let-7f-2	121877	11626.308576	N
hsa-let-7g	141638	13511.385201	N
hsa-let-7i	76404	7288.466901	N
hsa-mir-1-1	360	34.341763	N
hsa-mir-1-2	374	35.677276	N
hsa-mir-100	24036	2292.885064	Y
hsa-mir-101-1	13170	1256.336175	N
hsa-mir-101-2	13526	1290.296363	N
hsa-mir-103a-1	80797	7707.531807	Y
hsa-mir-103a-2	86607	8261.769709	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.095394	N
hsa-mir-105-2	1	0.095394	N
hsa-mir-106a	4769	454.932970	Y
hsa-mir-106b	44602	4254.753687	N
hsa-mir-107	18997	1812.195771	Y
hsa-mir-10a	359640	34307.421551	N
hsa-mir-10b	7887	752.370798	N
hsa-mir-1178	15	1.430907	N
hsa-mir-1179	1	0.095394	N
hsa-mir-1180	1873	178.672563	N
hsa-mir-1181	4	0.381575	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	17	1.621694	N
hsa-mir-1185-2	8	0.763150	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.095394	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	42	4.006539	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.286181	N
hsa-mir-1226	186	17.743244	N
hsa-mir-1227	2	0.190788	N
hsa-mir-1228	36	3.434176	N
hsa-mir-1229	77	7.345322	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.381575	N
hsa-mir-1236	1	0.095394	N
hsa-mir-1237	2	0.190788	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	944	90.051735	N
hsa-mir-124-2	880	83.946533	N
hsa-mir-124-3	949	90.528704	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.095394	N
hsa-mir-1245b	2	0.190788	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	40	3.815751	N
hsa-mir-1248	13	1.240119	N
hsa-mir-1249	68	6.486778	N
hsa-mir-1250	148	14.118280	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.190788	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	68	6.486778	N
hsa-mir-1254-2	70	6.677565	N
hsa-mir-1255a	12	1.144725	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.476969	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	124096	11837.987390	N
hsa-mir-125b-1	16075	1533.455126	N
hsa-mir-125b-2	15511	1479.653030	N
hsa-mir-126	14338	1367.756118	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.572363	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.095394	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	33	3.147995	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	420	40.065391	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1188	113.327819	N
hsa-mir-1270	60	5.723627	N
hsa-mir-1271	151	14.404462	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.286181	N
hsa-mir-1276	44	4.197327	N
hsa-mir-1277	19	1.812482	N
hsa-mir-1278	21	2.003270	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3073	293.145107	N
hsa-mir-128-2	2540	242.300219	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	31	2.957207	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	284	27.091836	N
hsa-mir-1288	1	0.095394	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	2	0.190788	N
hsa-mir-129-1	3	0.286181	N
hsa-mir-129-2	5	0.476969	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.286181	N
hsa-mir-1292	90	8.585441	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	11	1.049332	N
hsa-mir-1295a	22	2.098663	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	103	9.825560	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	4060	387.298775	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.667757	N
hsa-mir-1304	61	5.819021	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	178	16.980094	N
hsa-mir-1307	5797	552.997783	N
hsa-mir-130a	500	47.696893	N
hsa-mir-130b	7686	733.196647	N
hsa-mir-132	1884	179.721895	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
