miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	192996	13373.006021	N
hsa-let-7a-2	185133	12828.165991	Y
hsa-let-7a-3	186160	12899.328488	N
hsa-let-7b	97234	6737.501645	N
hsa-let-7c	21602	1496.837634	Y
hsa-let-7d	39052	2705.976451	N
hsa-let-7e	26250	1818.905097	N
hsa-let-7f-1	219359	15199.741071	N
hsa-let-7f-2	235288	16303.487330	N
hsa-let-7g	215698	14946.064440	N
hsa-let-7i	116225	8053.418852	N
hsa-mir-1-1	1858	128.743835	N
hsa-mir-1-2	1934	134.009998	N
hsa-mir-100	32072	2222.320924	Y
hsa-mir-101-1	21899	1517.417246	N
hsa-mir-101-2	22749	1576.315126	N
hsa-mir-103a-1	133342	9239.483558	Y
hsa-mir-103a-2	139758	9684.058610	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	32	2.217332	N
hsa-mir-105-2	24	1.662999	N
hsa-mir-106a	3024	209.537867	Y
hsa-mir-106b	31065	2152.544260	N
hsa-mir-107	17559	1216.691604	Y
hsa-mir-10a	176441	12225.883207	N
hsa-mir-10b	10365	718.207670	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.277166	N
hsa-mir-1180	1317	91.257067	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.277166	N
hsa-mir-1185-2	4	0.277166	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.138583	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	9	0.623625	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	41	2.840957	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	1.108666	N
hsa-mir-1229	22	1.524416	N
hsa-mir-1231	2	0.138583	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.207875	N
hsa-mir-1236	4	0.277166	N
hsa-mir-1237	6	0.415750	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.069292	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	23	1.593707	N
hsa-mir-1245b	6	0.415750	N
hsa-mir-1246	6	0.415750	N
hsa-mir-1247	68	4.711830	N
hsa-mir-1248	31	2.148040	N
hsa-mir-1249	189	13.096117	N
hsa-mir-1250	14	0.970083	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.069292	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	27	1.870874	N
hsa-mir-1254-2	17	1.177958	N
hsa-mir-1255a	21	1.455124	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.138583	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.069292	N
hsa-mir-125a	147480	10219.128521	N
hsa-mir-125b-1	33371	2312.330742	N
hsa-mir-125b-2	34041	2358.756129	N
hsa-mir-126	18705	1296.099803	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	114	7.899245	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	28	1.940165	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	27	1.870874	N
hsa-mir-1267	3	0.207875	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	18	1.247249	N
hsa-mir-1269b	171	11.848867	N
hsa-mir-127	1105	76.567243	N
hsa-mir-1270	12	0.831499	N
hsa-mir-1271	331	22.935527	N
hsa-mir-1272	1	0.069292	N
