miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	100131	11629.537033	N
hsa-let-7a-2	96667	11227.216910	Y
hsa-let-7a-3	97663	11342.895560	N
hsa-let-7b	25470	2958.167882	N
hsa-let-7c	1927	223.807990	Y
hsa-let-7d	72580	8429.675104	N
hsa-let-7e	10638	1235.531603	N
hsa-let-7f-1	152213	17678.508359	N
hsa-let-7f-2	161097	18710.324749	N
hsa-let-7g	128142	14882.824845	N
hsa-let-7i	84265	9786.808662	N
hsa-mir-1-1	59	6.852450	N
hsa-mir-1-2	51	5.923304	N
hsa-mir-100	1947	226.130855	N
hsa-mir-101-1	7639	887.218078	N
hsa-mir-101-2	7985	927.403633	N
hsa-mir-103a-1	83613	9711.083281	Y
hsa-mir-103a-2	86324	10025.947557	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	875	101.625320	N
hsa-mir-105-2	815	94.656727	N
hsa-mir-106a	412	47.851008	Y
hsa-mir-106b	34308	3984.641685	N
hsa-mir-107	6757	784.779756	Y
hsa-mir-10a	36795	4273.489880	N
hsa-mir-10b	21198	2462.004035	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.161432	N
hsa-mir-1180	1430	166.084808	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.161432	N
hsa-mir-1185-2	3	0.348430	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	13	1.509862	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	0.813003	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	20	2.322864	N
hsa-mir-1226	472	54.819601	N
hsa-mir-1227	12	1.393719	N
hsa-mir-1228	60	6.968593	N
hsa-mir-1229	134	15.563192	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.464573	N
hsa-mir-1236	29	3.368153	N
hsa-mir-1237	6	0.696859	N
hsa-mir-1238	5	0.580716	N
hsa-mir-124-1	1	0.116143	N
hsa-mir-124-2	2	0.232286	N
hsa-mir-124-3	1	0.116143	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	2	0.232286	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	1.742148	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	2.903581	N
hsa-mir-1248	114	13.240327	N
hsa-mir-1249	513	59.581473	N
hsa-mir-1250	7	0.813003	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	23	2.671294	N
hsa-mir-1254-2	39	4.529586	N
hsa-mir-1255a	60	6.968593	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.232286	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	37147	4314.372294	N
hsa-mir-125b-1	6939	805.917822	N
hsa-mir-125b-2	6910	802.549669	N
hsa-mir-126	8878	1031.119531	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	49	5.691018	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	27	3.135867	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	36	4.181156	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	126	14.634046	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	685	79.558108	N
hsa-mir-1270	16	1.858292	N
hsa-mir-1271	167	19.395918	N
hsa-mir-1272	2	0.232286	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	217	25.203079	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	5	0.580716	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5306	616.255940	N
hsa-mir-128-2	4051	470.496195	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	20	2.322864	N
hsa-mir-1285-1	4	0.464573	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	29	3.368153	N
hsa-mir-1287	113	13.124184	N
hsa-mir-1288	4	0.464573	N
hsa-mir-1289-1	5	0.580716	N
hsa-mir-1289-2	2	0.232286	N
hsa-mir-129-1	20	2.322864	N
hsa-mir-129-2	4	0.464573	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	20	2.322864	N
hsa-mir-1292	119	13.821044	N
hsa-mir-1293	53	6.155591	N
hsa-mir-1294	2	0.232286	N
hsa-mir-1295a	14	1.626005	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	523	60.742905	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	3208	372.587458	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.580716	N
hsa-mir-1304	69	8.013882	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	660	76.654527	N
hsa-mir-1307	5514	640.413730	N
hsa-mir-130a	547	63.530343	N
hsa-mir-130b	4418	513.120758	N
hsa-mir-132	2215	257.257238	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	11	1.277575	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	18	2.090578	N
hsa-mir-133a-2	16	1.858292	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	77	8.943028	N
hsa-mir-1343	173	20.092778	N
hsa-mir-135a-1	9	1.045289	N
hsa-mir-135a-2	10	1.161432	N
hsa-mir-135b	2361	274.214149	N
hsa-mir-136	77	8.943028	N
hsa-mir-137	6	0.696859	N
hsa-mir-138-1	48	5.574875	N
hsa-mir-138-2	25	2.903581	N
hsa-mir-139	160	18.582916	N
hsa-mir-140	16091	1868.860597	N
hsa-mir-141	588	68.292215	N
hsa-mir-142	2622	304.527530	N
hsa-mir-143	42909	4983.589543	N
hsa-mir-144	1269	147.385750	N
hsa-mir-145	5038	585.129556	N
hsa-mir-1468	20	2.322864	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	8288	962.595030	N
hsa-mir-146b	36846	4279.413184	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	836	97.095734	N
hsa-mir-148a	8480	984.894529	N
hsa-mir-148b	4685	544.130998	N
hsa-mir-149	6915	803.130385	N
hsa-mir-150	2927	339.951213	N
hsa-mir-151a	144202	16748.085002	N
hsa-mir-151b	68	7.897739	N
hsa-mir-152	1482	172.124256	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	1	0.116143	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	19	2.206721	N
hsa-mir-1539	2	0.232286	N
hsa-mir-154	100	11.614322	N
hsa-mir-155	5967	693.026610	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1447	168.059243	N
hsa-mir-15b	22393	2600.795186	N
hsa-mir-16-1	17976	2087.790571	N
hsa-mir-16-2	20741	2408.926582	N
hsa-mir-17	5634	654.350917	Y
hsa-mir-181a-1	19873	2308.114265	Y
hsa-mir-181a-2	20592	2391.621242	N
hsa-mir-181b-1	5693	661.203367	N
hsa-mir-181b-2	7352	853.884973	N
hsa-mir-181c	644	74.796235	Y
hsa-mir-181d	307	35.655969	N
hsa-mir-182	100113	11627.446455	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	91709	10651.378812	N
hsa-mir-184	14	1.626005	N
hsa-mir-185	14468	1680.360146	N
hsa-mir-186	8713	1011.955899	N
hsa-mir-187	114	13.240327	N
hsa-mir-188	72	8.362312	N
hsa-mir-18a	2638	306.385822	Y
hsa-mir-18b	9	1.045289	Y
hsa-mir-1908	5	0.580716	N
hsa-mir-1909	6	0.696859	N
hsa-mir-190a	20	2.322864	N
hsa-mir-190b	70	8.130026	N
hsa-mir-191	54912	6377.656646	N
hsa-mir-1910	193	22.415642	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	1	0.116143	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	36	4.181156	N
hsa-mir-1915	2	0.232286	N
hsa-mir-192	1519	176.421555	Y
hsa-mir-193a	1995	231.705729	N
hsa-mir-193b	1488	172.821115	N
hsa-mir-194-1	161	18.699059	N
hsa-mir-194-2	830	96.398875	N
hsa-mir-195	1599	185.713013	N
hsa-mir-196a-1	283	32.868532	N
hsa-mir-196a-2	474	55.051888	N
hsa-mir-196b	937	108.826200	N
hsa-mir-197	5931	688.845454	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	53	6.155591	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	14276	1658.060647	Y
hsa-mir-199a-2	26755	3107.411924	Y
hsa-mir-199b	47079	5467.906782	Y
hsa-mir-19a	739	85.829842	N
hsa-mir-19b-1	2200	255.515090	N
hsa-mir-19b-2	2166	251.566220	N
hsa-mir-200a	52771	6128.994006	N
hsa-mir-200b	138036	16031.945890	N
hsa-mir-200c	79854	9274.500906	N
hsa-mir-202	6	0.696859	N
hsa-mir-203a	82108	9536.287730	N
hsa-mir-203b	276	32.055529	N
hsa-mir-204	7	0.813003	N
hsa-mir-205	642270	74595.307651	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	15955	1853.065118	N
hsa-mir-20b	41	4.761872	N
hsa-mir-21	3038800	352936.025177	N
hsa-mir-210	867	100.696174	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	467	54.238885	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	10	1.161432	N
hsa-mir-2116	97	11.265893	N
hsa-mir-2117	4	0.464573	N
hsa-mir-212	491	57.026322	N
hsa-mir-214	2097	243.552338	N
hsa-mir-215	7	0.813003	Y
hsa-mir-216a	11	1.277575	N
hsa-mir-216b	50	5.807161	N
hsa-mir-217	33	3.832726	N
hsa-mir-218-1	330	38.327263	N
hsa-mir-218-2	286	33.216962	N
hsa-mir-219a-1	9	1.045289	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	33	3.832726	N
hsa-mir-22	7849	911.608155	N
hsa-mir-221	56242	6532.127132	N
hsa-mir-222	27418	3184.414880	N
hsa-mir-223	28121	3266.063566	N
hsa-mir-224	103788	12054.272799	N
hsa-mir-2276	15	1.742148	N
hsa-mir-2277	22	2.555151	N
hsa-mir-2278	8	0.929146	N
hsa-mir-2355	808	93.843724	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	313176	36373.269916	Y
hsa-mir-23b	50138	5823.188900	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	88906	10325.829358	N
hsa-mir-24-2	90354	10494.004745	N
hsa-mir-2467	4	0.464573	N
hsa-mir-25	26259	3049.804885	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	124775	14491.770614	N
hsa-mir-26a-2	128025	14869.236088	N
hsa-mir-26b	66442	7716.788003	N
hsa-mir-27a	77806	9036.639586	Y
hsa-mir-27b	74473	8649.534225	Y
hsa-mir-28	8003	929.494211	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
