miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	298673	37316.026727	N
hsa-let-7a-2	290745	36325.507129	Y
hsa-let-7a-3	291524	36422.834925	N
hsa-let-7b	80996	10119.591998	N
hsa-let-7c	25014	3125.234261	Y
hsa-let-7d	56453	7053.204196	N
hsa-let-7e	14442	1804.374878	N
hsa-let-7f-1	290511	36296.271308	N
hsa-let-7f-2	309205	38631.888534	N
hsa-let-7g	235003	29361.134850	N
hsa-let-7i	51210	6398.146899	N
hsa-mir-1-1	4286	535.490287	N
hsa-mir-1-2	4499	562.102380	N
hsa-mir-100	72413	9047.237090	Y
hsa-mir-101-1	18389	2297.510707	N
hsa-mir-101-2	20050	2505.035058	N
hsa-mir-103a-1	74408	9296.491202	Y
hsa-mir-103a-2	77369	9666.436778	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	256	31.984488	Y
hsa-mir-106b	6739	841.966646	N
hsa-mir-107	6829	853.211193	Y
hsa-mir-10a	136815	17093.584611	N
hsa-mir-10b	8335	1041.369936	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.249394	N
hsa-mir-1180	588	73.464370	N
hsa-mir-1181	1	0.124939	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.124939	N
hsa-mir-1185-2	3	0.374818	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.999515	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.874091	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	62	7.746243	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	11	1.374333	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.124939	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.124939	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.374818	N
hsa-mir-1245b	3	0.374818	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	257	32.109427	N
hsa-mir-1248	18	2.248909	N
hsa-mir-1249	115	14.368032	N
hsa-mir-1250	8	0.999515	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.124455	N
hsa-mir-1254-2	6	0.749636	N
hsa-mir-1255a	48	5.997091	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.499758	N
hsa-mir-125a	182954	22858.163791	N
hsa-mir-125b-1	43428	5425.868454	N
hsa-mir-125b-2	43777	5469.472306	N
hsa-mir-126	132410	16543.226535	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.374818	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.874091	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.374818	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	272	33.983518	N
hsa-mir-1270	59	7.371425	N
hsa-mir-1271	589	73.589309	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.374818	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.124939	N
hsa-mir-1276	1	0.124939	N
hsa-mir-1277	2	0.249879	N
hsa-mir-1278	2	0.249879	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2209	275.991144	N
hsa-mir-128-2	1409	176.039621	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.374818	N
hsa-mir-1283-2	5	0.624697	N
hsa-mir-1284	11	1.374333	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	51	6.371910	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	24	2.998546	N
hsa-mir-129-2	49	6.122031	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	13	1.624212	N
hsa-mir-1292	24	2.998546	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	12	1.499273	N
hsa-mir-1295a	19	2.373849	N
hsa-mir-1295b	5	0.624697	N
hsa-mir-1296	249	31.109912	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	20	2.498788	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	929	116.068707	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.124939	N
hsa-mir-1304	18	2.248909	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	55	6.871667	N
hsa-mir-1307	951	118.817374	N
hsa-mir-130a	844	105.448857	N
hsa-mir-130b	540	67.467278	N
hsa-mir-132	1535	191.781986	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.124939	N
hsa-mir-1323	1	0.124939	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1188	148.428012	Y
hsa-mir-133a-2	1209	151.051740	Y
hsa-mir-133b	24	2.998546	Y
hsa-mir-134	21	2.623727	N
hsa-mir-1343	26	3.248425	N
hsa-mir-135a-1	761	95.078887	N
hsa-mir-135a-2	814	101.700675	N
hsa-mir-135b	2689	335.962058	N
hsa-mir-136	49	6.122031	N
hsa-mir-137	1	0.124939	N
hsa-mir-138-1	451	56.347671	N
hsa-mir-138-2	137	17.116698	N
hsa-mir-139	2783	347.706362	N
