miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	144108	16660.664459	N
hsa-let-7a-2	139785	16160.872272	N
hsa-let-7a-3	140993	16300.531990	N
hsa-let-7b	83551	9659.527411	N
hsa-let-7c	3318	383.601776	N
hsa-let-7d	25511	2949.386648	N
hsa-let-7e	17043	1970.381272	N
hsa-let-7f-1	116953	13521.211109	N
hsa-let-7f-2	122879	14206.329892	N
hsa-let-7g	166446	19243.213122	N
hsa-let-7i	108084	12495.845181	N
hsa-mir-1-1	240	27.746964	N
hsa-mir-1-2	273	31.562171	N
hsa-mir-100	32177	3720.058569	Y
hsa-mir-101-1	9819	1135.197660	N
hsa-mir-101-2	10497	1213.582832	N
hsa-mir-103a-1	62689	7247.622577	Y
hsa-mir-103a-2	65692	7594.806462	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	267	30.868497	N
hsa-mir-105-2	296	34.221255	N
hsa-mir-106a	570	65.899039	Y
hsa-mir-106b	12655	1463.074283	N
hsa-mir-107	7238	836.802186	Y
hsa-mir-10a	96107	11111.156071	N
hsa-mir-10b	30478	3523.633187	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.040511	N
hsa-mir-1180	674	77.922724	N
hsa-mir-1181	8	0.924899	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	21	2.427859	N
hsa-mir-1185-2	6	0.693674	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.231225	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.462449	N
hsa-mir-1224	5	0.578062	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	24	2.774696	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	20	2.312247	N
hsa-mir-1229	10	1.156123	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	12	1.387348	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.115612	N
hsa-mir-1238	1	0.115612	N
hsa-mir-124-1	10	1.156123	N
hsa-mir-124-2	6	0.693674	N
hsa-mir-124-3	13	1.502961	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.040511	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	223	25.781554	N
hsa-mir-1248	52	6.011842	N
hsa-mir-1249	374	43.239019	N
hsa-mir-1250	30	3.468370	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	3	0.346837	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	75	8.670926	N
hsa-mir-1254-2	76	8.786539	N
hsa-mir-1255a	47	5.433780	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	89373	10332.622510	N
hsa-mir-125b-1	28253	3266.395710	N
hsa-mir-125b-2	27910	3226.740674	N
hsa-mir-126	21072	2436.183428	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	36	4.162045	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	44	5.086943	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.346837	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	123	14.220319	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1378	159.313818	N
hsa-mir-1270	3	0.346837	N
hsa-mir-1271	695	80.350583	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.115612	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.578062	N
hsa-mir-1276	14	1.618573	N
hsa-mir-1277	1	0.115612	N
hsa-mir-1278	26	3.005921	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8846	1022.706843	N
hsa-mir-128-2	7270	840.501781	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	21	2.427859	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	7	0.809286	N
hsa-mir-1287	25	2.890309	N
hsa-mir-1288	2	0.231225	N
hsa-mir-1289-1	5	0.578062	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	1.156123	N
hsa-mir-129-2	11	1.271736	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	40	4.624494	N
hsa-mir-1292	115	13.295420	N
hsa-mir-1293	209	24.162981	N
hsa-mir-1294	12	1.387348	N
hsa-mir-1295a	56	6.474292	N
hsa-mir-1295b	90	10.405111	N
hsa-mir-1296	527	60.927708	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	12	1.387348	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2668	308.453748	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	9	1.040511	N
hsa-mir-1304	98	11.330010	N
hsa-mir-1305	4	0.462449	N
hsa-mir-1306	237	27.400127	N
hsa-mir-1307	3325	384.411062	N
hsa-mir-130a	448	51.794333	N
hsa-mir-130b	2279	263.480544	N
hsa-mir-132	2631	304.176091	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.115612	N
hsa-mir-1323	4	0.462449	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	37	4.277657	Y
hsa-mir-133a-2	31	3.583983	N
hsa-mir-133b	3	0.346837	Y
hsa-mir-134	156	18.035527	N
hsa-mir-1343	57	6.589904	N
hsa-mir-135a-1	17	1.965410	N
hsa-mir-135a-2	18	2.081022	N
hsa-mir-135b	7035	813.332879	N
hsa-mir-136	237	27.400127	N
hsa-mir-137	59	6.821129	N
hsa-mir-138-1	74	8.555314	N
hsa-mir-138-2	36	4.162045	N
hsa-mir-139	415	47.979125	N
hsa-mir-140	15504	1792.453866	N
hsa-mir-141	939	108.559996	N
hsa-mir-142	7327	847.091685	N
hsa-mir-143	119259	13787.813187	N
hsa-mir-144	970	112.143979	N
hsa-mir-145	18000	2081.022291	N
hsa-mir-1468	31	3.583983	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	21599	2497.111136	N
hsa-mir-146b	138990	16068.960454	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	47	5.433780	N
hsa-mir-148a	142026	16419.959547	N
hsa-mir-148b	3551	410.539453	N
hsa-mir-149	4794	554.245603	N
hsa-mir-150	6117	707.200742	N
hsa-mir-151a	34151	3948.277347	N
hsa-mir-151b	35	4.046432	N
hsa-mir-152	2378	274.926167	N
hsa-mir-153-1	5	0.578062	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	2	0.231225	N
hsa-mir-1538	2	0.231225	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	165	19.076038	N
hsa-mir-155	10627	1228.612438	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1537	177.696181	N
hsa-mir-15b	15676	1812.339190	N
hsa-mir-16-1	20153	2329.935679	N
hsa-mir-16-2	23825	2754.464226	N
hsa-mir-17	4092	473.085734	Y
hsa-mir-181a-1	18382	2125.186208	N
hsa-mir-181a-2	18555	2145.187145	N
hsa-mir-181b-1	4864	562.338468	N
hsa-mir-181b-2	6166	712.865747	N
hsa-mir-181c	357	41.273609	N
hsa-mir-181d	147	16.995015	N
hsa-mir-182	50494	5837.729975	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	29665	3429.640347	N
hsa-mir-184	34	3.930820	N
hsa-mir-185	10395	1201.790373	N
hsa-mir-186	11559	1336.363148	N
hsa-mir-187	645	74.569965	N
hsa-mir-188	24	2.774696	N
hsa-mir-18a	906	104.744789	N
hsa-mir-18b	10	1.156123	N
hsa-mir-1908	33	3.815208	N
hsa-mir-1909	1	0.115612	N
hsa-mir-190a	164	18.960425	N
hsa-mir-190b	46	5.318168	N
