miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	227265	25736.289578	N
hsa-let-7a-2	221878	25126.246712	Y
hsa-let-7a-3	222506	25197.363645	N
hsa-let-7b	70609	7996.012016	N
hsa-let-7c	26656	3018.619387	Y
hsa-let-7d	40757	4615.466325	N
hsa-let-7e	11848	1341.709277	N
hsa-let-7f-1	238991	27064.183146	N
hsa-let-7f-2	254841	28859.093008	N
hsa-let-7g	233849	26481.884943	N
hsa-let-7i	63233	7160.727780	N
hsa-mir-1-1	5679	643.109975	N
hsa-mir-1-2	5919	670.288421	N
hsa-mir-100	94254	10673.655151	Y
hsa-mir-101-1	21980	2489.092667	N
hsa-mir-101-2	23599	2672.433933	N
hsa-mir-103a-1	78718	8914.303756	Y
hsa-mir-103a-2	81894	9273.965189	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.113244	N
hsa-mir-106a	436	49.374177	Y
hsa-mir-106b	11154	1263.118271	N
hsa-mir-107	8847	1001.865461	Y
hsa-mir-10a	112264	12713.171026	N
hsa-mir-10b	51802	5866.241052	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.019192	N
hsa-mir-1180	255	28.877099	N
hsa-mir-1181	1	0.113244	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.452974	N
hsa-mir-1185-2	2	0.226487	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	28	3.170819	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	2.378114	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	25	2.831088	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.339731	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.113244	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	15	1.698653	N
hsa-mir-124-2	22	2.491358	N
hsa-mir-124-3	15	1.698653	N
hsa-mir-1243	2	0.226487	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.113244	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.905948	N
hsa-mir-1245b	3	0.339731	N
hsa-mir-1246	0	0.000000	N
