miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	293488	26378.764756	N
hsa-let-7a-2	286417	25743.221751	Y
hsa-let-7a-3	286170	25721.021338	N
hsa-let-7b	65856	5919.151488	N
hsa-let-7c	24850	2233.523361	Y
hsa-let-7d	52896	4754.303892	N
hsa-let-7e	21416	1924.874700	N
hsa-let-7f-1	417183	37496.498042	N
hsa-let-7f-2	445301	40023.749948	N
hsa-let-7g	305389	27448.429204	N
hsa-let-7i	80521	7237.244851	N
hsa-mir-1-1	1441	129.517391	N
hsa-mir-1-2	1460	131.225115	N
hsa-mir-100	341184	30665.691526	Y
hsa-mir-101-1	15842	1423.882378	N
hsa-mir-101-2	16717	1502.527566	N
hsa-mir-103a-1	119228	10716.238362	Y
hsa-mir-103a-2	122103	10974.643982	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	139	12.493350	Y
hsa-mir-106b	10221	918.665685	N
hsa-mir-107	9971	896.195631	Y
hsa-mir-10a	56284	5058.818063	N
hsa-mir-10b	12772	1147.950115	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.359521	N
hsa-mir-1180	812	72.982735	N
hsa-mir-1181	11	0.988682	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	185	16.627840	N
hsa-mir-1185-2	79	7.100537	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	61	5.482693	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.179760	N
hsa-mir-1224	1	0.089880	N
hsa-mir-1225	2	0.179760	N
hsa-mir-1226	19	1.707724	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	0.898802	N
hsa-mir-1229	6	0.539281	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.449401	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.359521	N
hsa-mir-1245b	1	0.089880	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	84	7.549938	N
hsa-mir-1248	49	4.404131	N
hsa-mir-1249	121	10.875506	N
hsa-mir-1250	4	0.359521	N
hsa-mir-1251	3	0.269641	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.617844	N
hsa-mir-1254-2	19	1.707724	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	126469	11367.061004	N
hsa-mir-125b-1	85497	7684.488805	N
hsa-mir-125b-2	84769	7619.056008	N
hsa-mir-126	16228	1458.576141	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	31	2.786287	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	31	2.786287	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	22	1.977365	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	11896	1069.215046	N
hsa-mir-1270	28	2.516646	N
hsa-mir-1271	303	27.233705	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	14	1.258323	N
hsa-mir-1276	2	0.179760	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	11	0.988682	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3785	340.196617	N
hsa-mir-128-2	2464	221.464852	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.269641	N
hsa-mir-1283-2	2	0.179760	N
hsa-mir-1284	5	0.449401	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	4	0.359521	N
hsa-mir-1287	421	37.839571	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	5	0.449401	N
hsa-mir-1289-2	2	0.179760	N
hsa-mir-129-1	11	0.988682	N
hsa-mir-129-2	6	0.539281	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	17	1.527964	N
hsa-mir-1292	55	4.943412	N
hsa-mir-1293	2	0.179760	N
hsa-mir-1294	43	3.864849	N
hsa-mir-1295a	11	0.988682	N
hsa-mir-1295b	2	0.179760	N
hsa-mir-1296	191	17.167121	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.089880	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	890	79.993392	N
