miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	137898	16996.115487	N
hsa-let-7a-2	131446	16200.897738	Y
hsa-let-7a-3	131769	16240.707926	N
hsa-let-7b	37786	4657.175737	N
hsa-let-7c	8807	1085.474692	Y
hsa-let-7d	40074	4939.174840	N
hsa-let-7e	16329	2012.571392	N
hsa-let-7f-1	153367	18902.690713	N
hsa-let-7f-2	166639	20538.482709	N
hsa-let-7g	172080	21209.093337	N
hsa-let-7i	58495	7209.588068	N
hsa-mir-1-1	446	54.970105	N
hsa-mir-1-2	431	53.121334	N
hsa-mir-100	28498	3512.417143	N
hsa-mir-101-1	3462	426.696194	N
hsa-mir-101-2	3741	461.083323	N
hsa-mir-103a-1	65411	8061.994446	Y
hsa-mir-103a-2	67091	8269.056724	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.123251	N
hsa-mir-106a	236	29.087320	Y
hsa-mir-106b	10382	1279.595578	N
hsa-mir-107	5115	630.430686	Y
hsa-mir-10a	55177	6800.640069	N
hsa-mir-10b	8877	1094.102287	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.493005	N
hsa-mir-1180	420	51.765570	N
hsa-mir-1181	3	0.369754	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	16	1.972022	N
hsa-mir-1185-2	5	0.616257	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.123251	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	3.451038	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.355765	N
hsa-mir-1229	21	2.588278	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.123251	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	4	0.493005	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.246503	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	20	2.465027	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	58	7.148579	N
hsa-mir-1248	171	21.075982	N
hsa-mir-1249	93	11.462376	N
hsa-mir-1250	3	0.369754	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.232514	N
hsa-mir-1254-2	11	1.355765	N
hsa-mir-1255a	16	1.972022	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.123251	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	108920	13424.537693	N
hsa-mir-125b-1	27434	3381.277700	N
hsa-mir-125b-2	27299	3364.638767	N
hsa-mir-126	33675	4150.489413	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	0.986011	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.355765	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.369754	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	15	1.848770	N
hsa-mir-127	1992	245.516701	N
hsa-mir-1270	44	5.423060	N
hsa-mir-1271	430	52.998083	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	6	0.739508	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	2	0.246503	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2684	330.806639	N
hsa-mir-128-2	1713	211.129573	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.616257	N
hsa-mir-1283-2	5	0.616257	N
hsa-mir-1284	14	1.725519	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	66	8.134589	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	7	0.862759	N
hsa-mir-1289-2	1	0.123251	N
hsa-mir-129-1	3	0.369754	N
hsa-mir-129-2	4	0.493005	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	21	2.588278	N
hsa-mir-1292	41	5.053306	N
hsa-mir-1293	9	1.109262	N
hsa-mir-1294	14	1.725519	N
hsa-mir-1295a	22	2.711530	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	149	18.364452	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	8	0.986011	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	796	98.108079	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.246503	N
hsa-mir-1304	31	3.820792	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	113	13.927403	N
hsa-mir-1307	1459	179.823728	N
hsa-mir-130a	224	27.608304	N
hsa-mir-130b	3349	412.768791	N
hsa-mir-132	1506	185.616542	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	7	0.862759	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	132	16.269179	Y
hsa-mir-133a-2	133	16.392430	N
hsa-mir-133b	1	0.123251	Y
hsa-mir-134	200	24.650271	N
hsa-mir-1343	21	2.588278	N
hsa-mir-135a-1	57	7.025327	N
hsa-mir-135a-2	59	7.271830	N
hsa-mir-135b	5353	659.764509	N
hsa-mir-136	125	15.406419	N
hsa-mir-137	58	7.148579	N
hsa-mir-138-1	43	5.299808	N
hsa-mir-138-2	7	0.862759	N
hsa-mir-139	1186	146.176108	N
hsa-mir-140	12186	1501.941024	N
hsa-mir-141	765	94.287287	N
hsa-mir-142	5245	646.453362	N
hsa-mir-143	61717	7606.703937	N
hsa-mir-144	275	33.894123	N
hsa-mir-145	14428	1778.270564	N
hsa-mir-1468	27	3.327787	N
hsa-mir-1469	1	0.123251	N
hsa-mir-146a	12716	1567.264243	N
hsa-mir-146b	129130	15915.447598	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	123	15.159917	N
hsa-mir-148a	34678	4274.110523	N
hsa-mir-148b	2673	329.450875	N
hsa-mir-149	281	34.633631	N
hsa-mir-150	11836	1458.803049	N
hsa-mir-151a	28743	3542.613725	N
hsa-mir-151b	57	7.025327	N
hsa-mir-152	2761	340.296994	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	3	0.369754	N
hsa-mir-1537	1	0.123251	N
hsa-mir-1538	4	0.493005	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	77	9.490354	N
hsa-mir-155	21018	2590.497000	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1141	140.629797	N
hsa-mir-15b	15546	1916.065580	N
hsa-mir-16-1	21194	2612.189239	N
hsa-mir-16-2	23143	2852.406131	N
hsa-mir-17	2113	260.430115	Y
hsa-mir-181a-1	38458	4740.000648	N
hsa-mir-181a-2	38022	4686.263057	N
hsa-mir-181b-1	9071	1118.013050	N
hsa-mir-181b-2	11866	1462.500590	N
hsa-mir-181c	449	55.339859	N
hsa-mir-181d	377	46.465761	N
hsa-mir-182	62347	7684.352291	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	41217	5080.051139	N
hsa-mir-184	40	4.930054	N
hsa-mir-185	3953	487.212610	N
hsa-mir-186	6513	802.736082	N
hsa-mir-187	60	7.395081	N
hsa-mir-188	12	1.479016	N
hsa-mir-18a	197	24.280517	N
hsa-mir-18b	11	1.355765	N
hsa-mir-1908	15	1.848770	N
hsa-mir-1909	2	0.246503	N
hsa-mir-190a	73	8.997349	N
hsa-mir-190b	108	13.311146	N
hsa-mir-191	100568	12395.142368	N
hsa-mir-1910	3	0.369754	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.123251	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	605	74.567070	N
hsa-mir-193a	1643	202.501978	N
hsa-mir-193b	1291	159.117501	N
hsa-mir-194-1	128	15.776174	N
hsa-mir-194-2	401	49.423794	N
hsa-mir-195	4871	600.357355	N
hsa-mir-196a-1	170	20.952731	N
hsa-mir-196a-2	235	28.964069	N
hsa-mir-196b	68	8.381092	N
hsa-mir-197	2949	363.468249	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	16	1.972022	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	34181	4212.854599	Y
hsa-mir-199a-2	59814	7372.156607	Y
hsa-mir-199b	93196	11486.533372	Y
hsa-mir-19a	201	24.773523	N
hsa-mir-19b-1	1395	171.935642	N
hsa-mir-19b-2	1526	188.081569	N
hsa-mir-200a	8440	1040.241444	N
hsa-mir-200b	49816	6139.889550	N
hsa-mir-200c	111748	13773.092528	N
hsa-mir-202	2	0.246503	N
hsa-mir-203a	17061	2102.791384	N
hsa-mir-203b	37	4.560300	N
hsa-mir-204	117	14.420409	N
hsa-mir-205	1703	209.897059	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	5079	625.993637	N
hsa-mir-20b	118	14.543660	N
hsa-mir-21	3357539	413821.234508	N
hsa-mir-210	934	115.116766	N
hsa-mir-211	7	0.862759	N
hsa-mir-2110	292	35.989396	N
hsa-mir-2113	3	0.369754	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	13	1.602268	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	191	23.541009	N
hsa-mir-214	5694	701.793221	N
hsa-mir-215	8	0.986011	N
hsa-mir-216a	4	0.493005	N
hsa-mir-216b	28	3.451038	N
hsa-mir-217	34	4.190546	N
hsa-mir-218-1	1052	129.660426	N
hsa-mir-218-2	891	109.816958	N
hsa-mir-219a-1	6	0.739508	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.246503	N
hsa-mir-22	8955	1103.715893	N
hsa-mir-221	54023	6658.408004	N
hsa-mir-222	29544	3641.338061	N
hsa-mir-223	17444	2149.996654	N
hsa-mir-224	10933	1347.507075	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	39	4.806803	N
hsa-mir-2278	1	0.123251	N
hsa-mir-2355	291	35.866145	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	208262	25668.573899	Y
hsa-mir-23b	142600	17575.643363	Y
