miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	56355	19962.338819	N
hsa-let-7a-2	56294	19940.731106	N
hsa-let-7a-3	56809	20123.156880	N
hsa-let-7b	78920	27955.421517	N
hsa-let-7c	8873	3143.036684	N
hsa-let-7d	3072	1088.178597	N
hsa-let-7e	12945	4585.440085	N
hsa-let-7f-1	34807	12329.502746	N
hsa-let-7f-2	36286	12853.401231	N
hsa-let-7g	5535	1960.634289	N
hsa-let-7i	7202	2551.127037	N
hsa-mir-1-1	14	4.959147	N
hsa-mir-1-2	17	6.021822	N
hsa-mir-100	6346	2247.910605	Y
hsa-mir-101-1	4643	1644.665764	N
hsa-mir-101-2	5037	1784.230337	N
hsa-mir-103a-1	63444	22473.438453	Y
hsa-mir-103a-2	63375	22448.996942	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	33	11.689419	Y
hsa-mir-106b	3405	1206.135457	N
hsa-mir-107	333	117.956860	Y
hsa-mir-10a	31221	11059.252600	N
hsa-mir-10b	16831	5961.957673	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	671	237.684843	N
hsa-mir-1181	9	3.188023	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.708450	N
hsa-mir-1185-2	1	0.354225	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.354225	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.771124	N
hsa-mir-1225	1	0.354225	N
hsa-mir-1226	4	1.416899	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	4.604922	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.354225	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.354225	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.354225	N
hsa-mir-1245b	1	0.354225	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	263	93.161123	N
hsa-mir-1248	401	142.044146	N
hsa-mir-1249	15	5.313372	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.708450	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	1.416899	N
hsa-mir-125a	5811	2058.400335	N
hsa-mir-125b-1	1355	479.974609	N
hsa-mir-125b-2	1465	518.939338	N
hsa-mir-126	5744	2034.667273	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	2.479574	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	97	34.359806	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.354225	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6032	2136.684017	N
hsa-mir-1270	34	12.043643	N
hsa-mir-1271	9	3.188023	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.354225	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	1.062674	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	161	57.030193	N
hsa-mir-128-2	66	23.378837	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	7	2.479574	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.354225	N
