miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	219748	28037.489303	N
hsa-let-7a-2	208777	26637.707302	Y
hsa-let-7a-3	207382	26459.720255	N
hsa-let-7b	84417	10770.704327	N
hsa-let-7c	22910	2923.070426	Y
hsa-let-7d	36313	4633.149558	N
hsa-let-7e	15782	2013.614031	N
hsa-let-7f-1	180211	22992.991904	N
hsa-let-7f-2	192780	24596.661575	N
hsa-let-7g	212752	27144.874694	N
hsa-let-7i	48091	6135.896109	N
hsa-mir-1-1	7831	999.151659	N
hsa-mir-1-2	8033	1024.924694	N
hsa-mir-100	71847	9166.907066	Y
hsa-mir-101-1	23747	3029.862654	N
hsa-mir-101-2	25910	3305.838269	N
hsa-mir-103a-1	67180	8571.447892	Y
hsa-mir-103a-2	69763	8901.011005	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	340	43.380356	Y
hsa-mir-106b	9428	1202.911740	N
hsa-mir-107	7239	923.618805	Y
hsa-mir-10a	110389	14084.453131	N
hsa-mir-10b	9551	1218.605222	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	20	2.551786	N
hsa-mir-1180	415	52.949552	N
hsa-mir-1181	1	0.127589	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.255179	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.382768	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	26	3.317321	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.510357	N
hsa-mir-1229	9	1.148304	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.510357	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.255179	N
hsa-mir-124-2	1	0.127589	N
hsa-mir-124-3	2	0.255179	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.127589	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	389	49.632230	N
hsa-mir-1248	12	1.531071	N
hsa-mir-1249	97	12.376160	N
hsa-mir-1250	11	1.403482	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.275893	N
hsa-mir-1254-2	12	1.531071	N
hsa-mir-1255a	18	2.296607	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.637946	N
hsa-mir-125a	197089	25146.443787	N
hsa-mir-125b-1	44528	5681.295501	N
hsa-mir-125b-2	44559	5685.250768	N
hsa-mir-126	139814	17838.767722	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	1.148304	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	2.041428	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.893125	N
hsa-mir-1267	1	0.127589	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	636	81.146783	N
hsa-mir-1270	21	2.679375	N
hsa-mir-1271	505	64.432587	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.127589	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.127589	N
hsa-mir-1275	1	0.127589	N
hsa-mir-1276	5	0.637946	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	4	0.510357	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2286	291.669096	N
hsa-mir-128-2	1694	216.136242	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	7	0.893125	N
hsa-mir-1283-2	5	0.637946	N
