miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	121871	12122.122996	N
hsa-let-7a-2	119295	11865.896422	Y
hsa-let-7a-3	120016	11937.612012	N
hsa-let-7b	31842	3167.223051	N
hsa-let-7c	10777	1071.954112	Y
hsa-let-7d	17848	1775.284122	N
hsa-let-7e	10229	1017.446284	N
hsa-let-7f-1	143918	14315.068371	N
hsa-let-7f-2	151278	15047.144297	N
hsa-let-7g	156706	15587.050293	N
hsa-let-7i	82403	8196.365840	N
hsa-mir-1-1	1468	146.017318	N
hsa-mir-1-2	1582	157.356537	N
hsa-mir-100	46049	4580.348416	Y
hsa-mir-101-1	24590	2445.889543	N
hsa-mir-101-2	26086	2594.691932	N
hsa-mir-103a-1	50469	5019.991840	Y
hsa-mir-103a-2	52056	5177.845711	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	229	22.777906	Y
hsa-mir-106b	12907	1283.818476	N
hsa-mir-107	3886	386.528132	Y
hsa-mir-10a	82977	8253.459805	N
hsa-mir-10b	22196	2207.765933	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.099467	N
hsa-mir-1180	496	49.335552	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.492003	N
hsa-mir-1185-2	3	0.298401	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.596801	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.497334	N
hsa-mir-1224	2	0.198934	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	1.989337	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	1.889870	N
hsa-mir-1229	3	0.298401	N
hsa-mir-1231	1	0.099467	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.099467	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.099467	N
hsa-mir-124-3	2	0.198934	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.094135	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	123	12.234421	N
hsa-mir-1248	42	4.177607	N
hsa-mir-1249	87	8.653615	N
hsa-mir-1250	4	0.397867	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.497334	N
hsa-mir-1254-2	10	0.994668	N
hsa-mir-1255a	22	2.188270	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	76418	7601.056815	N
hsa-mir-125b-1	29134	2897.866854	N
hsa-mir-125b-2	29568	2941.035462	N
hsa-mir-126	52326	5204.701758	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	0.795735	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.298401	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.099467	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	47	4.674941	N
hsa-mir-1269b	1	0.099467	N
hsa-mir-127	1437	142.933846	N
hsa-mir-1270	12	1.193602	N
hsa-mir-1271	455	45.257411	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.099467	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.198934	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	5	0.497334	N
hsa-mir-1277	2	0.198934	N
hsa-mir-1278	13	1.293069	N
hsa-mir-1279	0	0.000000	N
