miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	80034	10105.260925	N
hsa-let-7a-2	77451	9779.125920	Y
hsa-let-7a-3	77879	9833.166099	N
hsa-let-7b	19843	2505.418854	N
hsa-let-7c	4601	580.931923	Y
hsa-let-7d	22127	2793.801490	N
hsa-let-7e	6802	858.834805	N
hsa-let-7f-1	116814	14749.180969	N
hsa-let-7f-2	124828	15761.045440	N
hsa-let-7g	85319	10772.556124	N
hsa-let-7i	52926	6682.547914	N
hsa-mir-1-1	326	41.161445	N
hsa-mir-1-2	331	41.792755	N
hsa-mir-100	21531	2718.549279	Y
hsa-mir-101-1	14477	1827.896424	N
hsa-mir-101-2	14731	1859.966998	N
hsa-mir-103a-1	49450	6243.660853	Y
hsa-mir-103a-2	52877	6676.361071	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1026	129.544915	N
hsa-mir-105-2	1026	129.544915	N
hsa-mir-106a	573	72.348183	Y
hsa-mir-106b	16964	2141.910267	N
hsa-mir-107	11955	1509.463408	Y
hsa-mir-10a	14021	1770.320906	N
hsa-mir-10b	1711	216.034453	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	551	69.570417	N
hsa-mir-1181	2	0.252524	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.252524	N
hsa-mir-1185-2	7	0.883835	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.126262	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.505048	N
hsa-mir-1224	3	0.378786	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	52	6.565629	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	37	4.671698	N
hsa-mir-1229	30	3.787863	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	1.136359	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.126262	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.252524	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	36	4.545436	N
hsa-mir-1248	21	2.651504	N
hsa-mir-1249	39	4.924222	N
hsa-mir-1250	1	0.126262	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	48	6.060581	N
hsa-mir-1254-2	47	5.934319	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	55622	7022.950536	N
hsa-mir-125b-1	12803	1616.533668	N
hsa-mir-125b-2	12937	1633.452790	N
hsa-mir-126	20986	2649.736434	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	13	1.641407	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.252524	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.010097	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	7	0.883835	N
hsa-mir-127	623	78.661288	N
hsa-mir-1270	9	1.136359	N
hsa-mir-1271	132	16.666597	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.252524	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.631311	N
hsa-mir-1276	40	5.050484	N
hsa-mir-1277	5	0.631311	N
hsa-mir-1278	15	1.893932	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5498	694.189027	N
hsa-mir-128-2	4037	509.720098	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	10	1.262621	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	93	11.742375	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.505048	N
hsa-mir-129-2	8	1.010097	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	1.010097	N
hsa-mir-1292	30	3.787863	N
hsa-mir-1293	8	1.010097	N
hsa-mir-1294	8	1.010097	N
hsa-mir-1295a	9	1.136359	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	163	20.580722	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.126262	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1796	226.766732	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	12	1.515145	N
hsa-mir-1304	103	13.004996	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	50	6.313105	N
hsa-mir-1307	4209	531.437180	N
hsa-mir-130a	267	33.711981	N
hsa-mir-130b	737	93.055168	N
hsa-mir-132	1167	147.347871	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	4	0.505048	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	64	8.080774	N
hsa-mir-133a-2	51	6.439367	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	26	3.282815	N
hsa-mir-1343	24	3.030290	N
hsa-mir-135a-1	19	2.398980	N
hsa-mir-135a-2	18	2.272718	N
hsa-mir-135b	9424	1189.894032	N
hsa-mir-136	43	5.429270	N
hsa-mir-137	10	1.262621	N
hsa-mir-138-1	13	1.641407	N
hsa-mir-138-2	4	0.505048	N
hsa-mir-139	962	121.464140	N
hsa-mir-140	7794	984.086809	N
hsa-mir-141	4951	625.123658	N
hsa-mir-142	1138	143.686270	N
hsa-mir-143	76011	9597.308496	N
hsa-mir-144	209	26.388779	N
hsa-mir-145	6761	853.658059	N
hsa-mir-1468	35	4.419174	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1018	128.534818	N
hsa-mir-146b	45985	5806.162676	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	93	11.742375	N
hsa-mir-148a	18981	2396.580923	N
hsa-mir-148b	6151	776.638178	N
hsa-mir-149	1337	168.812428	N
hsa-mir-150	1589	200.630477	N
hsa-mir-151a	23862	3012.866234	N
hsa-mir-151b	88	11.111065	N
hsa-mir-152	937	118.307588	N
hsa-mir-153-1	7	0.883835	N
hsa-mir-153-2	1	0.126262	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	10	1.262621	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	29	3.661601	N
hsa-mir-155	3788	478.280835	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	733	92.550119	N
hsa-mir-15b	11275	1423.605179	N
hsa-mir-16-1	14774	1865.396268	N
hsa-mir-16-2	16423	2073.602471	N
hsa-mir-17	5165	652.143747	Y
hsa-mir-181a-1	32467	4099.351606	N
hsa-mir-181a-2	32263	4073.594138	N
hsa-mir-181b-1	12973	1637.998226	N
hsa-mir-181b-2	14704	1856.557921	N
hsa-mir-181c	519	65.530030	N
hsa-mir-181d	306	38.636203	N
hsa-mir-182	33725	4258.189328	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	20193	2549.610589	N
hsa-mir-184	50	6.313105	N
hsa-mir-185	3359	424.114394	N
hsa-mir-186	12184	1538.377428	N
hsa-mir-187	34	4.292911	N
hsa-mir-188	18	2.272718	N
hsa-mir-18a	589	74.368377	Y
hsa-mir-18b	4	0.505048	Y
hsa-mir-1908	9	1.136359	N
hsa-mir-1909	1	0.126262	N
hsa-mir-190a	161	20.328198	N
hsa-mir-190b	107	13.510045	N
hsa-mir-191	93588	11816.617431	N
hsa-mir-1910	31	3.914125	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	5	0.631311	N
hsa-mir-1914	1	0.126262	N
hsa-mir-1915	1	0.126262	N
hsa-mir-192	2676	337.877380	Y
hsa-mir-193a	2227	281.185697	N
hsa-mir-193b	5461	689.517329	N
hsa-mir-194-1	407	51.388675	N
hsa-mir-194-2	1163	146.842822	N
hsa-mir-195	1848	233.332361	N
hsa-mir-196a-1	3	0.378786	N
hsa-mir-196a-2	8	1.010097	N
hsa-mir-196b	262	33.080670	N
hsa-mir-197	2560	323.230976	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	14	1.767669	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	13119	1656.432492	Y
hsa-mir-199a-2	23289	2940.518051	Y
hsa-mir-199b	35027	4422.582583	Y
hsa-mir-19a	710	89.646091	N
hsa-mir-19b-1	2234	282.069532	N
hsa-mir-19b-2	2319	292.801810	N
hsa-mir-200a	7487	945.324344	N
hsa-mir-200b	37874	4782.050782	N
hsa-mir-200c	306780	38734.687090	N
hsa-mir-202	1	0.126262	N
hsa-mir-203a	37820	4775.232628	N
hsa-mir-203b	154	19.444363	N
hsa-mir-204	42	5.303008	N
hsa-mir-205	1083	136.741854	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	14947	1887.239611	N
hsa-mir-20b	141	17.802956	N
hsa-mir-21	4106209	518458.572079	N
hsa-mir-210	1966	248.231289	N
hsa-mir-211	4	0.505048	N
hsa-mir-2110	466	58.838139	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	43	5.429270	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	75	9.469658	N
hsa-mir-214	3258	411.361922	N
hsa-mir-215	19	2.398980	Y
hsa-mir-216a	1	0.126262	N
hsa-mir-216b	6	0.757573	N
hsa-mir-217	11	1.388883	N
hsa-mir-218-1	580	73.232018	N
hsa-mir-218-2	525	66.287603	N
hsa-mir-219a-1	10	1.262621	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	4	0.505048	N
hsa-mir-22	5211	657.951804	N
hsa-mir-221	13224	1669.690013	N
hsa-mir-222	5188	655.047776	N
hsa-mir-223	4916	620.704484	N
hsa-mir-224	16654	2102.769016	N
hsa-mir-2276	5	0.631311	N
hsa-mir-2277	34	4.292911	N
hsa-mir-2278	1	0.126262	N
hsa-mir-2355	212	26.767565	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	130421	16467.229366	Y
hsa-mir-23b	30109	3801.625574	Y
hsa-mir-23c	1	0.126262	N
hsa-mir-24-1	16212	2046.961168	N
hsa-mir-24-2	16583	2093.804407	N
hsa-mir-2467	0	0.000000	N
