miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	145395	13225.211540	N
hsa-let-7a-2	140078	12741.574209	Y
hsa-let-7a-3	140623	12791.147718	N
hsa-let-7b	36381	3309.236363	N
hsa-let-7c	10745	977.371285	Y
hsa-let-7d	32326	2940.391267	N
hsa-let-7e	9902	900.691528	N
hsa-let-7f-1	181714	16528.808348	N
hsa-let-7f-2	192480	17508.089805	N
hsa-let-7g	221083	20109.834884	N
hsa-let-7i	80908	7359.437500	N
hsa-mir-1-1	1858	169.004732	N
hsa-mir-1-2	1980	180.101921	N
hsa-mir-100	33002	3001.880610	Y
hsa-mir-101-1	15407	1401.429445	N
hsa-mir-101-2	16201	1473.652135	N
hsa-mir-103a-1	63991	5820.657599	Y
hsa-mir-103a-2	67036	6097.632524	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.090961	N
hsa-mir-105-2	1	0.090961	N
hsa-mir-106a	630	57.305157	Y
hsa-mir-106b	15164	1379.326028	N
hsa-mir-107	10625	966.456017	Y
hsa-mir-10a	32523	2958.310498	N
hsa-mir-10b	4197	381.761497	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	1.273448	N
hsa-mir-1180	1248	113.518787	N
hsa-mir-1181	2	0.181921	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.363842	N
hsa-mir-1185-2	1	0.090961	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.727685	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	52	4.729949	N
hsa-mir-1227	2	0.181921	N
hsa-mir-1228	14	1.273448	N
hsa-mir-1229	13	1.182487	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.181921	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.181921	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.181921	N
hsa-mir-124-2	3	0.272882	N
hsa-mir-124-3	3	0.272882	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.090961	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	12	1.091527	N
hsa-mir-1247	233	21.193812	N
hsa-mir-1248	201	18.283074	N
hsa-mir-1249	116	10.551426	N
hsa-mir-1250	17	1.546330	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.090961	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	35	3.183620	N
hsa-mir-1254-2	29	2.637856	N
hsa-mir-1255a	2	0.181921	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.181921	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.545763	N
hsa-mir-125a	89328	8125.325468	N
hsa-mir-125b-1	20566	1870.695007	N
hsa-mir-125b-2	20400	1855.595553	N
hsa-mir-126	47068	4281.331936	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	5	0.454803	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.455369	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	1.364408	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	1.000566	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	812	73.859980	N
hsa-mir-1270	3	0.272882	N
hsa-mir-1271	262	23.831668	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.181921	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.272882	N
hsa-mir-1276	14	1.273448	N
hsa-mir-1277	1	0.090961	N
hsa-mir-1278	11	1.000566	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3865	351.562589	N
hsa-mir-128-2	2790	253.779980	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.454803	N
hsa-mir-1283-2	10	0.909606	N
hsa-mir-1284	14	1.273448	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.181921	N
hsa-mir-1287	126	11.461031	N
hsa-mir-1288	3	0.272882	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.272882	N
hsa-mir-129-2	15	1.364408	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	25	2.274014	N
hsa-mir-1292	61	5.548595	N
hsa-mir-1293	2	0.181921	N
hsa-mir-1294	13	1.182487	N
hsa-mir-1295a	14	1.273448	N
hsa-mir-1295b	2	0.181921	N
hsa-mir-1296	150	13.644085	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	12	1.091527	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1404	127.708635	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.363842	N
hsa-mir-1304	53	4.820910	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	98	8.914135	N
hsa-mir-1307	3481	316.633731	N
hsa-mir-130a	496	45.116441	N
hsa-mir-130b	2047	186.196279	N
hsa-mir-132	2397	218.032477	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	351	31.927159	N
hsa-mir-133a-2	368	33.473488	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	62	5.639555	N
hsa-mir-1343	33	3.001699	N
hsa-mir-135a-1	393	35.747503	N
hsa-mir-135a-2	425	38.658241	N
hsa-mir-135b	10741	977.007443	N
hsa-mir-136	101	9.187017	N
hsa-mir-137	18	1.637290	N
hsa-mir-138-1	79	7.185885	N
hsa-mir-138-2	26	2.364975	N
hsa-mir-139	1546	140.625036	N
hsa-mir-140	22961	2088.545563	N
hsa-mir-141	1957	178.009828	N
hsa-mir-142	7600	691.300304	N
hsa-mir-143	186627	16975.697611	N
hsa-mir-144	1551	141.079838	N
hsa-mir-145	19922	1812.116402	N
hsa-mir-1468	23	2.092093	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	18054	1642.202064	N
hsa-mir-146b	315698	28716.068866	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	109	9.914702	N
hsa-mir-148a	43887	3991.986374	N
hsa-mir-148b	5470	497.554298	N
hsa-mir-149	981	89.232316	N
hsa-mir-150	15489	1408.888212	N
hsa-mir-151a	36566	3326.064068	N
hsa-mir-151b	131	11.915834	N
hsa-mir-152	1868	169.914338	N
hsa-mir-153-1	1	0.090961	N
hsa-mir-153-2	5	0.454803	N
hsa-mir-1537	2	0.181921	N
hsa-mir-1538	5	0.454803	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	40	3.638423	N
hsa-mir-155	21011	1911.172459	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1411	128.345359	N
hsa-mir-15b	23812	2165.953005	N
hsa-mir-16-1	33656	3061.368820	N
hsa-mir-16-2	37243	3387.644371	N
hsa-mir-17	6014	547.036846	Y
hsa-mir-181a-1	40296	3665.346980	N
hsa-mir-181a-2	39428	3586.393209	N
hsa-mir-181b-1	10641	967.911386	N
hsa-mir-181b-2	12953	1178.212216	N
hsa-mir-181c	400	36.384227	N
