miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	153630	16781.052648	N
hsa-let-7a-2	149648	16346.097551	Y
hsa-let-7a-3	150859	16478.375457	N
hsa-let-7b	65952	7203.957458	N
hsa-let-7c	41439	4526.394849	Y
hsa-let-7d	36745	4013.667770	N
hsa-let-7e	11459	1251.670131	N
hsa-let-7f-1	114097	12462.850771	N
hsa-let-7f-2	120509	13163.235524	N
hsa-let-7g	146588	16011.852799	N
hsa-let-7i	87619	9570.650602	N
hsa-mir-1-1	227	24.795281	N
hsa-mir-1-2	262	28.618341	N
hsa-mir-100	8869	968.763626	Y
hsa-mir-101-1	15605	1704.539000	N
hsa-mir-101-2	16236	1773.463326	N
hsa-mir-103a-1	91118	9952.847459	Y
hsa-mir-103a-2	96680	10560.386448	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	840	91.753461	N
hsa-mir-105-2	824	90.005776	N
hsa-mir-106a	416	45.439809	Y
hsa-mir-106b	35220	3847.091546	N
hsa-mir-107	20891	2281.930423	Y
hsa-mir-10a	27491	3002.850474	N
hsa-mir-10b	53966	5894.722953	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.218461	N
hsa-mir-1180	1842	201.202232	N
hsa-mir-1181	1	0.109230	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.327691	N
hsa-mir-1185-2	2	0.218461	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.327691	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.327691	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	188	20.535298	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	147	16.056856	N
hsa-mir-1229	22	2.403067	N
hsa-mir-1231	2	0.218461	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.109230	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.327691	N
hsa-mir-1238	2	0.218461	N
hsa-mir-124-1	1	0.109230	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
