miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	345240	19846.044271	N
hsa-let-7a-2	345462	19858.805892	N
hsa-let-7a-3	349592	20096.218019	N
hsa-let-7b	100446	5774.115870	N
hsa-let-7c	18136	1042.543908	N
hsa-let-7d	236498	13595.034695	N
hsa-let-7e	127201	7312.121068	N
hsa-let-7f-1	464422	26697.194915	N
hsa-let-7f-2	482552	27739.393915	N
hsa-let-7g	622501	35784.330915	N
hsa-let-7i	185141	10642.789023	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	216	12.416712	N
hsa-mir-101-1	1063	61.106318	N
hsa-mir-101-2	1271	73.063151	N
hsa-mir-103a-1	507277	29160.705016	Y
hsa-mir-103a-2	525760	30223.196142	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.057485	N
hsa-mir-105-2	3	0.172454	N
hsa-mir-106a	20145	1158.030824	Y
hsa-mir-106b	221717	12745.352212	N
hsa-mir-107	95232	5474.390245	Y
hsa-mir-10a	67	3.851480	N
hsa-mir-10b	4205	241.723486	N
hsa-mir-1178	3	0.172454	N
hsa-mir-1179	5	0.287424	N
hsa-mir-1180	2035	116.981520	N
hsa-mir-1181	24	1.379635	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.057485	N
hsa-mir-1224	43	2.471845	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	320	18.395129	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.287424	N
hsa-mir-1229	123	7.070628	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	14	0.804787	N
hsa-mir-1236	8	0.459878	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	5	0.287424	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.057485	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3	0.172454	N
hsa-mir-1248	514	29.547175	N
hsa-mir-1249	70	4.023934	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.057485	N
hsa-mir-1252	6	0.344909	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	0.632333	N
hsa-mir-1254-2	7	0.402393	N
hsa-mir-1255a	35	2.011967	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	73	4.196389	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.229939	N
hsa-mir-125a	39505	2270.936099	N
hsa-mir-125b-1	1260	72.430819	N
hsa-mir-125b-2	1495	85.939741	N
hsa-mir-126	13304	764.777468	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	20	1.149696	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	28	1.609574	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.114970	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	25	1.437119	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	0	0.000000	N
hsa-mir-1270	124	7.128112	N
hsa-mir-1271	122	7.013143	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	29	1.667059	N
hsa-mir-1277	3	0.172454	N
hsa-mir-1278	3	0.172454	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5107	293.574754	N
hsa-mir-128-2	4020	231.088802	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	26	1.494604	N
hsa-mir-1285-1	1	0.057485	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	15	0.862272	N
hsa-mir-1287	725	41.676463	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.172454	N
hsa-mir-129-2	2	0.114970	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	44	2.529330	N
hsa-mir-1292	71	4.081419	N
hsa-mir-1293	2	0.114970	N
hsa-mir-1294	22	1.264665	N
hsa-mir-1295a	1	0.057485	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	125	7.185597	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	7172	412.280818	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.057485	N
hsa-mir-1304	106	6.093386	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	306	17.590342	N
hsa-mir-1307	4725	271.615569	N
hsa-mir-130a	100504	5777.449987	N
hsa-mir-130b	27443	1577.554724	N
hsa-mir-132	406	23.338819	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	4	0.229939	N
hsa-mir-1323	2	0.114970	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	0	0.000000	N
hsa-mir-1343	27	1.552089	N
hsa-mir-135a-1	105	6.035902	N
hsa-mir-135a-2	101	5.805962	N
hsa-mir-135b	28788	1654.871749	N
hsa-mir-136	0	0.000000	N
hsa-mir-137	343	19.717278	N
hsa-mir-138-1	68	3.908965	N
hsa-mir-138-2	81	4.656267	N
hsa-mir-139	270	15.520890	N
hsa-mir-140	2163	124.339572	N
hsa-mir-141	186650	10729.533551	N
hsa-mir-142	456	26.213058	N
hsa-mir-143	10	0.574848	N
hsa-mir-144	2	0.114970	N
hsa-mir-145	2	0.114970	N
hsa-mir-1468	1	0.057485	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	69185	3977.084269	N
hsa-mir-146b	46795	2690.000121	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1240	71.281123	N
hsa-mir-148a	11935	686.080809	N
hsa-mir-148b	15207	874.170998	N
hsa-mir-149	27212	1564.275741	N
hsa-mir-150	3	0.172454	N
hsa-mir-151a	189674	10903.367516	N
hsa-mir-151b	350	20.119672	N
hsa-mir-152	4178	240.171397	N
hsa-mir-153-1	13	0.747302	N
hsa-mir-153-2	4	0.229939	N
hsa-mir-1537	6	0.344909	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	0	0.000000	N
hsa-mir-155	71	4.081419	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	69803	4012.609861	N
hsa-mir-15b	124005	7128.399722	N
hsa-mir-16-1	1192739	68564.334950	N
hsa-mir-16-2	1191065	68468.105434	N
hsa-mir-17	366941	21093.521408	Y
hsa-mir-181a-1	167878	9650.429325	N
hsa-mir-181a-2	160351	9217.741412	N
