miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	115275	18961.540847	N
hsa-let-7a-2	115324	18969.600838	Y
hsa-let-7a-3	115007	18917.457629	N
hsa-let-7b	56842	9349.918931	N
hsa-let-7c	4599	756.487758	Y
hsa-let-7d	45755	7526.222524	N
hsa-let-7e	6539	1075.597620	N
hsa-let-7f-1	97269	15999.740764	N
hsa-let-7f-2	100143	16472.483930	N
hsa-let-7g	229215	37703.488052	N
hsa-let-7i	66318	10908.622562	N
hsa-mir-1-1	8374	1377.436071	N
hsa-mir-1-2	8201	1348.979367	N
hsa-mir-100	10896	1792.278890	Y
hsa-mir-101-1	1868	307.266609	N
hsa-mir-101-2	2064	339.506574	N
hsa-mir-103a-1	53617	8819.439910	Y
hsa-mir-103a-2	57409	9443.184545	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.164490	N
hsa-mir-105-2	5	0.822448	N
hsa-mir-106a	4947	813.730146	Y
hsa-mir-106b	108338	17820.476359	N
hsa-mir-107	17131	2817.871666	Y
hsa-mir-10a	11	1.809386	N
hsa-mir-10b	183	30.101600	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.973875	N
hsa-mir-1180	692	113.826816	N
hsa-mir-1181	1	0.164490	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	829	136.361894	N
hsa-mir-1185-2	323	53.130147	N
hsa-mir-1193	4	0.657958	N
hsa-mir-1197	158	25.989360	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.657958	N
hsa-mir-1224	4	0.657958	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	65	10.691825	N
hsa-mir-1227	3	0.493469	N
hsa-mir-1228	1	0.164490	N
hsa-mir-1229	10	1.644896	N
hsa-mir-1231	1	0.164490	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.164490	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.328979	N
hsa-mir-124-1	1	0.164490	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.164490	N
hsa-mir-1243	15	2.467344	N
hsa-mir-1244-1	0	0.000000	N
