miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	352048	39753.902691	N
hsa-let-7a-2	342592	38686.113913	Y
hsa-let-7a-3	341818	38598.712420	N
hsa-let-7b	112270	12677.733307	N
hsa-let-7c	47219	5332.055661	Y
hsa-let-7d	60968	6884.617834	N
hsa-let-7e	16470	1859.822460	N
hsa-let-7f-1	267864	30247.691765	N
hsa-let-7f-2	283038	31961.167539	N
hsa-let-7g	266598	30104.732734	N
hsa-let-7i	68305	7713.125265	N
hsa-mir-1-1	4360	492.339158	N
hsa-mir-1-2	4565	515.488132	N
hsa-mir-100	130745	14763.964026	Y
hsa-mir-101-1	15530	1753.675944	N
hsa-mir-101-2	17083	1929.043539	N
hsa-mir-103a-1	81239	9173.656151	Y
hsa-mir-103a-2	84919	9589.208468	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	412	46.523792	Y
hsa-mir-106b	11691	1320.169058	N
hsa-mir-107	9004	1016.748113	Y
hsa-mir-10a	152995	17276.474635	N
hsa-mir-10b	30435	3436.775748	N
hsa-mir-1178	1	0.112922	N
hsa-mir-1179	9	1.016296	N
hsa-mir-1180	462	52.169883	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.129218	N
hsa-mir-1185-2	2	0.225844	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	12	1.355062	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.112922	N
hsa-mir-1226	22	2.484280	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.451687	N
hsa-mir-1229	4	0.451687	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.338765	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.112922	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.112922	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.112922	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	240	27.101238	N
hsa-mir-1248	35	3.952264	N
hsa-mir-1249	91	10.275886	N
hsa-mir-1250	18	2.032593	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.677531	N
hsa-mir-1254-2	4	0.451687	N
hsa-mir-1255a	48	5.420248	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.338765	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	13	1.467984	N
hsa-mir-125a	216795	24480.887078	N
