miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	306094	39538.257469	N
hsa-let-7a-2	293245	37878.548131	Y
hsa-let-7a-3	293185	37870.797912	N
hsa-let-7b	101317	13087.148497	N
hsa-let-7c	37100	4792.218574	Y
hsa-let-7d	59256	7654.116006	N
hsa-let-7e	21067	2721.230962	N
hsa-let-7f-1	222380	28724.893974	N
hsa-let-7f-2	237949	30735.946561	N
hsa-let-7g	223000	28804.979567	N
hsa-let-7i	52394	6767.749325	N
hsa-mir-1-1	7056	911.425721	N
hsa-mir-1-2	7550	975.235855	N
hsa-mir-100	69510	8978.628384	Y
hsa-mir-101-1	12095	1562.314923	N
hsa-mir-101-2	13352	1724.682005	N
hsa-mir-103a-1	79061	10212.334034	Y
hsa-mir-103a-2	81920	10581.631956	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	422	54.509872	Y
hsa-mir-106b	7000	904.192184	N
hsa-mir-107	8841	1141.994728	Y
hsa-mir-10a	91733	11849.180227	N
hsa-mir-10b	13726	1772.991702	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.129170	N
hsa-mir-1180	703	90.806729	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	8	1.033362	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	3.616769	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.516681	N
hsa-mir-1229	17	2.195895	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.516681	N
hsa-mir-124-2	2	0.258341	N
hsa-mir-124-3	5	0.645852	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	126	16.275459	N
hsa-mir-1248	25	3.229258	N
hsa-mir-1249	92	11.883669	N
hsa-mir-1250	8	1.033362	N
hsa-mir-1251	3	0.387511	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.645852	N
hsa-mir-1254-2	2	0.258341	N
hsa-mir-1255a	24	3.100087	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.387511	N
hsa-mir-125a	146781	18959.747560	N
hsa-mir-125b-1	45693	5902.179064	N
hsa-mir-125b-2	45809	5917.162821	N
hsa-mir-126	121709	15721.189498	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	19	2.454236	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.937555	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.033362	N
hsa-mir-1267	2	0.258341	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.129170	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	634	81.893978	N
hsa-mir-1270	20	2.583406	N
hsa-mir-1271	370	47.793015	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.775022	N
hsa-mir-1276	2	0.258341	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	2	0.258341	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2336	301.741849	N
hsa-mir-128-2	1510	195.047171	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.129170	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	108	13.950394	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
