miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	89435	12931.966879	N
hsa-let-7a-2	85203	12320.035490	Y
hsa-let-7a-3	85241	12325.530148	N
hsa-let-7b	27984	4046.381854	N
hsa-let-7c	8478	1225.887127	Y
hsa-let-7d	17887	2586.393376	N
hsa-let-7e	16183	2340.001342	N
hsa-let-7f-1	130738	18904.226375	N
hsa-let-7f-2	139074	20109.580833	N
hsa-let-7g	143324	20724.114955	N
hsa-let-7i	58777	8498.934615	N
hsa-mir-1-1	812	117.412166	N
hsa-mir-1-2	811	117.267570	N
hsa-mir-100	30826	4457.324437	Y
hsa-mir-101-1	8572	1239.479176	N
hsa-mir-101-2	9334	1349.661529	N
hsa-mir-103a-1	56413	8157.109046	Y
hsa-mir-103a-2	58975	8527.564675	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	729	105.410677	Y
hsa-mir-106b	8448	1221.549239	N
hsa-mir-107	5016	725.294861	Y
hsa-mir-10a	105956	15320.841758	N
hsa-mir-10b	31533	4559.553996	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.289193	N
hsa-mir-1180	311	44.969438	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.012174	N
hsa-mir-1185-2	4	0.578385	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.867578	N
hsa-mir-1224	1	0.144596	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	4.482484	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	2.024348	N
hsa-mir-1229	4	0.578385	N
hsa-mir-1231	2	0.289193	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.144596	N
hsa-mir-1236	2	0.289193	N
hsa-mir-1237	1	0.144596	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.433789	N
hsa-mir-124-2	6	0.867578	N
hsa-mir-124-3	5	0.722981	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.156770	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	55	7.952795	N
hsa-mir-1248	90	13.013664	N
hsa-mir-1249	96	13.881241	N
hsa-mir-1250	10	1.445963	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.144596	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.879751	N
hsa-mir-1254-2	28	4.048695	N
hsa-mir-1255a	4	0.578385	N
hsa-mir-1255b-1	0	0.000000	N
