miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	124341	17312.036293	N
hsa-let-7a-2	120287	16747.596606	Y
hsa-let-7a-3	120484	16775.024978	N
hsa-let-7b	42155	5869.253826	N
hsa-let-7c	10665	1484.891283	Y
hsa-let-7d	22524	3136.023560	N
hsa-let-7e	5870	817.281935	N
hsa-let-7f-1	193293	26912.244805	N
hsa-let-7f-2	203956	28396.857628	N
hsa-let-7g	160959	22410.371879	N
hsa-let-7i	84215	11725.280772	N
hsa-mir-1-1	3298	459.181571	N
hsa-mir-1-2	3315	461.548486	N
hsa-mir-100	39154	5451.423658	Y
hsa-mir-101-1	17282	2406.178262	N
hsa-mir-101-2	18554	2583.279219	N
hsa-mir-103a-1	43844	6104.413824	Y
hsa-mir-103a-2	46022	6407.657444	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	303	42.186785	Y
hsa-mir-106b	7646	1064.554970	N
hsa-mir-107	5808	808.649655	Y
hsa-mir-10a	63059	8779.724279	N
hsa-mir-10b	5585	777.601296	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.139230	N
hsa-mir-1180	172	23.947614	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	2	0.278461	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.696152	N
hsa-mir-1185-2	2	0.278461	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.278461	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.278461	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	2.784606	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.974612	N
hsa-mir-1229	12	1.670764	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.278461	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.139230	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.139230	N
hsa-mir-124-2	2	0.278461	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.139230	N
hsa-mir-1244-2	1	0.139230	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.278461	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	75	10.442273	N
hsa-mir-1248	39	5.429982	N
hsa-mir-1249	62	8.632279	N
hsa-mir-1250	43	5.986903	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.835382	N
hsa-mir-1254-2	6	0.835382	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.139230	N
hsa-mir-1258	4	0.556921	N
hsa-mir-125a	83111	11571.570507	N
hsa-mir-125b-1	21808	3036.334656	N
hsa-mir-125b-2	21694	3020.462401	N
hsa-mir-126	22980	3199.512583	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.417691	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.974612	N
hsa-mir-1263	0	0.000000	N
