miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	234963	18370.782010	N
hsa-let-7a-2	223154	17447.485301	N
hsa-let-7a-3	223492	17473.912118	N
hsa-let-7b	68348	5343.846516	N
hsa-let-7c	13949	1090.614430	N
hsa-let-7d	31387	2454.019292	N
hsa-let-7e	18692	1461.449919	N
hsa-let-7f-1	233678	18270.313192	N
hsa-let-7f-2	252896	19772.888869	N
hsa-let-7g	274849	21489.302846	N
hsa-let-7i	82841	6476.994048	N
hsa-mir-1-1	1616	126.348335	N
hsa-mir-1-2	1874	146.520284	N
hsa-mir-100	62900	4917.890002	Y
hsa-mir-101-1	34734	2715.707334	N
hsa-mir-101-2	37804	2955.737895	N
hsa-mir-103a-1	62950	4921.799294	Y
hsa-mir-103a-2	64711	5059.484577	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	391	30.570668	Y
hsa-mir-106b	11383	889.989537	N
hsa-mir-107	5587	436.824347	Y
hsa-mir-10a	120204	9398.251983	N
hsa-mir-10b	20106	1572.004712	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.312743	N
hsa-mir-1180	279	21.813852	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	24	1.876460	N
hsa-mir-1185-2	17	1.329159	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.469115	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	32	2.501947	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	26	2.032832	N
hsa-mir-1227	2	0.156372	N
hsa-mir-1228	13	1.016416	N
hsa-mir-1229	13	1.016416	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.625487	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.156372	N
hsa-mir-124-2	1	0.078186	N
hsa-mir-124-3	2	0.156372	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.234558	N
hsa-mir-1245b	9	0.703673	N
hsa-mir-1246	1	0.078186	N
hsa-mir-1247	549	42.924032	N
hsa-mir-1248	47	3.674735	N
hsa-mir-1249	144	11.258762	N
hsa-mir-1250	23	1.798275	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.156372	N
hsa-mir-1253	0	0.000000	N
