miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	84978	14406.361869	N
hsa-let-7a-2	83177	14101.037459	Y
hsa-let-7a-3	83209	14106.462434	N
hsa-let-7b	30815	5224.082009	N
hsa-let-7c	7320	1240.963177	Y
hsa-let-7d	19412	3290.925847	N
hsa-let-7e	7883	1336.408842	N
hsa-let-7f-1	107516	18227.240023	N
hsa-let-7f-2	113285	19205.261413	N
hsa-let-7g	101789	17256.338915	N
hsa-let-7i	43227	7328.294435	N
hsa-mir-1-1	2170	367.881160	N
hsa-mir-1-2	2431	412.128618	N
hsa-mir-100	31581	5353.942364	N
hsa-mir-101-1	9444	1601.045935	N
hsa-mir-101-2	9957	1688.015076	N
hsa-mir-103a-1	47878	8116.780738	Y
hsa-mir-103a-2	49590	8407.016935	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	38	6.442159	N
hsa-mir-105-2	34	5.764037	N
hsa-mir-106a	179	30.345957	Y
hsa-mir-106b	5975	1012.944670	N
hsa-mir-107	5276	894.442858	Y
hsa-mir-10a	58306	9884.644674	N
hsa-mir-10b	4307	730.167815	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.169530	N
hsa-mir-1180	294	49.841964	N
hsa-mir-1181	2	0.339061	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.186713	N
hsa-mir-1185-2	4	0.678122	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	1.186713	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.339061	N
hsa-mir-1226	20	3.390610	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.847652	N
hsa-mir-1229	17	2.882018	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.169530	N
hsa-mir-1236	2	0.339061	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.169530	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.508591	N
hsa-mir-1245b	2	0.339061	N
hsa-mir-1246	2	0.339061	N
hsa-mir-1247	106	17.970232	N
hsa-mir-1248	110	18.648354	N
hsa-mir-1249	63	10.680421	N
hsa-mir-1250	16	2.712488	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.017183	N
hsa-mir-1254-2	16	2.712488	N
hsa-mir-1255a	9	1.525774	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.339061	N
hsa-mir-125a	76954	13046.049228	N
hsa-mir-125b-1	24529	4158.413357	N
hsa-mir-125b-2	24125	4089.923040	N
hsa-mir-126	45911	7783.314267	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.169530	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	1.356244	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	10	1.695305	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	26	4.407793	N
hsa-mir-1269b	50	8.476524	N
hsa-mir-127	945	160.206312	N
hsa-mir-1270	5	0.847652	N
hsa-mir-1271	207	35.092811	N
hsa-mir-1272	2	0.339061	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.339061	N
hsa-mir-1275	2	0.339061	N
hsa-mir-1276	4	0.678122	N
hsa-mir-1277	2	0.339061	N
hsa-mir-1278	6	1.017183	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1426	241.750477	N
hsa-mir-128-2	1020	172.921098	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.508591	N
hsa-mir-1283-2	10	1.695305	N
hsa-mir-1284	7	1.186713	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.169530	N
hsa-mir-1287	91	15.427274	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.339061	N
hsa-mir-129-2	4	0.678122	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	21	3.560140	N
hsa-mir-1292	30	5.085915	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	23	3.899201	N
hsa-mir-1295a	13	2.203896	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	120	20.343659	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.508591	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	900	152.577440	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.678122	N
hsa-mir-1304	14	2.373427	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	57	9.663238	N
hsa-mir-1307	1010	171.225794	N
hsa-mir-130a	515	87.308202	N
hsa-mir-130b	1043	176.820300	N
hsa-mir-132	1889	320.243093	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	320	54.249756	Y
hsa-mir-133a-2	335	56.792714	Y
hsa-mir-133b	16	2.712488	Y
hsa-mir-134	64	10.849951	N
hsa-mir-1343	10	1.695305	N
hsa-mir-135a-1	198	33.567037	N
hsa-mir-135a-2	196	33.227976	N
hsa-mir-135b	7731	1310.640208	N
hsa-mir-136	136	23.056146	N
hsa-mir-137	110	18.648354	N
hsa-mir-138-1	76	12.884317	N
hsa-mir-138-2	36	6.103098	N
hsa-mir-139	1042	176.650769	N
hsa-mir-140	18140	3075.283065	N
hsa-mir-141	1020	172.921098	N
hsa-mir-142	3961	671.510266	N
hsa-mir-143	162189	27495.980432	N
hsa-mir-144	746	126.469745	N
hsa-mir-145	28613	4850.775873	N
hsa-mir-1468	30	5.085915	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	19118	3241.083883	N
hsa-mir-146b	171170	29018.533751	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	41	6.950750	N
hsa-mir-148a	26347	4466.619786	N
hsa-mir-148b	2505	424.673874	N
hsa-mir-149	699	118.501812	N
hsa-mir-150	7473	1266.901342	N
hsa-mir-151a	14933	2531.598788	N
hsa-mir-151b	70	11.867134	N
hsa-mir-152	1576	267.180050	N
hsa-mir-153-1	2	0.339061	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
