miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	271830	29857.838333	N
hsa-let-7a-2	265324	29143.218548	Y
hsa-let-7a-3	265683	29182.651149	N
hsa-let-7b	86923	9547.632276	N
hsa-let-7c	29050	3190.855327	Y
hsa-let-7d	46144	5068.462245	N
hsa-let-7e	14895	1636.068506	N
hsa-let-7f-1	249110	27362.270931	N
hsa-let-7f-2	265289	29139.374144	N
hsa-let-7g	254581	27963.206198	N
hsa-let-7i	65307	7173.328360	N
hsa-mir-1-1	8007	879.489797	N
hsa-mir-1-2	8486	932.103212	N
hsa-mir-100	118889	13058.781377	Y
hsa-mir-101-1	27896	3064.099835	N
hsa-mir-101-2	30980	3402.846748	N
hsa-mir-103a-1	68782	7555.022758	Y
hsa-mir-103a-2	72529	7966.593667	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	530	58.215261	Y
hsa-mir-106b	13440	1476.251139	N
hsa-mir-107	9061	995.261278	Y
hsa-mir-10a	162690	17869.888233	N
hsa-mir-10b	23121	2539.613288	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.988561	N
hsa-mir-1180	475	52.174054	N
hsa-mir-1181	1	0.109840	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.219680	N
hsa-mir-1185-2	4	0.439360	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.109840	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.329520	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	5	0.549201	N
hsa-mir-1226	21	2.306642	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.878721	N
hsa-mir-1229	4	0.439360	N
