miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	145060	14731.900434	N
hsa-let-7a-2	138314	14046.794959	Y
hsa-let-7a-3	139303	14147.235118	N
hsa-let-7b	53011	5383.653481	N
hsa-let-7c	25080	2547.056824	Y
hsa-let-7d	27724	2815.574298	N
hsa-let-7e	12572	1276.778245	N
hsa-let-7f-1	194848	19788.234771	N
hsa-let-7f-2	209098	21235.426148	N
hsa-let-7g	197794	20087.422546	N
hsa-let-7i	79179	8041.204636	N
hsa-mir-1-1	2172	220.582433	N
hsa-mir-1-2	2270	230.535047	N
hsa-mir-100	26253	2666.183525	N
hsa-mir-101-1	19335	1963.610195	N
hsa-mir-101-2	20838	2116.250801	N
hsa-mir-103a-1	76417	7760.703402	Y
hsa-mir-103a-2	79537	8077.562146	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	580	58.903228	Y
hsa-mir-106b	17052	1731.754903	N
hsa-mir-107	8418	854.909264	Y
hsa-mir-10a	176616	17936.642266	N
hsa-mir-10b	4775	484.936058	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.304672	N
hsa-mir-1180	643	65.301337	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.609344	N
hsa-mir-1185-2	5	0.507786	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.609344	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	0.710901	N
hsa-mir-1224	6	0.609344	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	37	3.757620	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	21	2.132703	N
hsa-mir-1229	11	1.117130	N
hsa-mir-1231	3	0.304672	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.710901	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.101557	N
hsa-mir-124-3	1	0.101557	N
hsa-mir-1243	4	0.406229	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	0.914016	N
hsa-mir-1245b	2	0.203115	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	80	8.124583	N
hsa-mir-1248	115	11.679088	N
hsa-mir-1249	101	10.257286	N
hsa-mir-1250	10	1.015573	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.101557	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	25	2.538932	N
hsa-mir-1254-2	23	2.335818	N
hsa-mir-1255a	16	1.624917	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.203115	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.203115	N
hsa-mir-125a	97429	9894.625172	N
hsa-mir-125b-1	26255	2666.386639	N
hsa-mir-125b-2	26930	2734.937810	N
hsa-mir-126	56537	5741.744484	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	67	6.804338	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.421802	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	19	1.929589	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1385	140.656846	N
hsa-mir-1270	87	8.835484	N
hsa-mir-1271	336	34.123249	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.101557	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.101557	N
hsa-mir-1275	1	0.101557	N
hsa-mir-1276	14	1.421802	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	12	1.218687	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4268	433.446512	N
hsa-mir-128-2	3073	312.085551	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	28	2.843604	N
hsa-mir-1283-2	26	2.640490	N
hsa-mir-1284	11	1.117130	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.101557	N
hsa-mir-1287	211	21.428588	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.304672	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	0.914016	N
hsa-mir-129-2	14	1.421802	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	13	1.320245	N
hsa-mir-1292	101	10.257286	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	10	1.015573	N
hsa-mir-1295a	28	2.843604	N
hsa-mir-1295b	1	0.101557	N
hsa-mir-1296	164	16.655396	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.304672	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1012	102.775977	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	9	0.914016	N
hsa-mir-1304	19	1.929589	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	93	9.444828	N
hsa-mir-1307	1915	194.482210	N
hsa-mir-130a	780	79.214686	N
hsa-mir-130b	2784	282.735494	N
hsa-mir-132	1563	158.734044	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.101557	N
hsa-mir-1323	3	0.304672	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	263	26.709567	Y
hsa-mir-133a-2	243	24.678421	Y
