miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	168081	15885.215071	N
hsa-let-7a-2	163952	15494.986235	N
hsa-let-7a-3	163563	15458.222123	N
hsa-let-7b	39858	3766.951067	N
hsa-let-7c	9838	929.782342	N
hsa-let-7d	44287	4185.532689	N
hsa-let-7e	15909	1503.548209	N
hsa-let-7f-1	223368	21110.349891	N
hsa-let-7f-2	237125	22410.514120	N
hsa-let-7g	204022	19281.973271	N
hsa-let-7i	95173	8994.732147	N
hsa-mir-1-1	2718	256.876236	N
hsa-mir-1-2	2924	276.345148	N
hsa-mir-100	56913	5378.806917	Y
hsa-mir-101-1	15762	1489.655344	N
hsa-mir-101-2	16300	1540.501340	N
hsa-mir-103a-1	78633	7431.548579	Y
hsa-mir-103a-2	83735	7913.734949	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	265	25.044960	Y
hsa-mir-106b	41084	3882.819450	N
hsa-mir-107	14054	1328.233486	Y
hsa-mir-10a	54222	5124.482432	N
hsa-mir-10b	3130	295.814061	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.283528	N
hsa-mir-1180	549	51.885597	N
hsa-mir-1181	1	0.094509	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.850584	N
hsa-mir-1185-2	4	0.378037	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.472546	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
