miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	323592	34812.372167	N
hsa-let-7a-2	315220	33911.703486	Y
hsa-let-7a-3	317073	34111.051200	N
hsa-let-7b	94974	10217.404121	N
hsa-let-7c	37470	4031.062527	Y
hsa-let-7d	56710	6100.922228	N
hsa-let-7e	19418	2089.009131	N
hsa-let-7f-1	314659	33851.350508	N
hsa-let-7f-2	337739	36334.321501	N
hsa-let-7g	270066	29053.988052	N
hsa-let-7i	67673	7280.333450	N
hsa-mir-1-1	3751	403.536577	N
hsa-mir-1-2	3837	412.788549	N
hsa-mir-100	90371	9722.208476	Y
hsa-mir-101-1	27549	2963.750775	N
hsa-mir-101-2	29869	3213.338847	N
hsa-mir-103a-1	92010	9898.533842	Y
hsa-mir-103a-2	95452	10268.827870	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	406	43.677913	Y
hsa-mir-106b	9591	1031.810000	N
hsa-mir-107	8102	871.621793	Y
hsa-mir-10a	174064	18725.990596	N
hsa-mir-10b	25916	2788.070895	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.398554	N
hsa-mir-1180	321	34.533522	N
hsa-mir-1181	5	0.537905	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	19	2.044040	N
hsa-mir-1185-2	3	0.322743	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.645486	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.645486	N
hsa-mir-1224	7	0.753067	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	26	2.797108	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.183392	N
hsa-mir-1229	3	0.322743	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.215162	N
hsa-mir-1236	0	0.000000	N
