miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	211290	29565.488488	N
hsa-let-7a-2	203867	28526.799382	Y
hsa-let-7a-3	203651	28496.574831	N
hsa-let-7b	67627	9462.943300	N
hsa-let-7c	19033	2663.258755	Y
hsa-let-7d	47246	6611.060955	N
hsa-let-7e	13466	1884.276908	N
hsa-let-7f-1	224595	31427.236911	N
hsa-let-7f-2	242978	33999.542154	N
hsa-let-7g	213786	29914.749973	N
hsa-let-7i	63949	8948.286352	N
hsa-mir-1-1	2105	294.549450	N
hsa-mir-1-2	2250	314.839079	N
hsa-mir-100	32748	4582.377855	Y
hsa-mir-101-1	17655	2470.437310	N
hsa-mir-101-2	19363	2709.435154	N
hsa-mir-103a-1	91260	12769.873062	Y
hsa-mir-103a-2	94742	13257.104029	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	484	67.725384	Y
hsa-mir-106b	7195	1006.785412	N
hsa-mir-107	10572	1479.323888	Y
hsa-mir-10a	45840	6414.321512	N
hsa-mir-10b	2891	404.533235	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	405	56.671034	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.279857	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.699642	N
hsa-mir-1224	1	0.139928	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.559714	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	57	7.975923	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.559714	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	21	2.938498	N
hsa-mir-124-2	21	2.938498	N
hsa-mir-124-3	18	2.518713	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	6	0.839571	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	169	23.647913	N
hsa-mir-1248	82	11.474135	N
hsa-mir-1249	205	28.685338	N
hsa-mir-1250	2	0.279857	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.839571	N
hsa-mir-1254-2	9	1.259356	N
hsa-mir-1255a	4	0.559714	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.139928	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	83840	11731.603743	N
hsa-mir-125b-1	20985	2936.399148	N
hsa-mir-125b-2	21380	2991.670897	N
hsa-mir-126	118763	16618.326041	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	13	1.819070	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.958999	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.419785	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	2.098927	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	396	55.411678	N
hsa-mir-1270	6	0.839571	N
hsa-mir-1271	208	29.105124	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	0.699642	N
hsa-mir-1278	1	0.139928	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2364	330.790926	N
hsa-mir-128-2	1590	222.486283	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	8	1.119428	N
hsa-mir-1283-2	8	1.119428	N
hsa-mir-1284	6	0.839571	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	30	4.197854	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.559714	N
hsa-mir-129-2	2	0.279857	N
