miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	200236	20645.960079	N
hsa-let-7a-2	193101	19910.283551	Y
hsa-let-7a-3	194796	20085.051837	N
hsa-let-7b	48572	5008.168226	N
hsa-let-7c	34676	3575.377613	Y
hsa-let-7d	27804	2866.818524	N
hsa-let-7e	18058	1861.926662	N
hsa-let-7f-1	161049	16605.461679	N
hsa-let-7f-2	173002	17837.913190	N
hsa-let-7g	231150	23833.444896	N
hsa-let-7i	68858	7099.819808	N
hsa-mir-1-1	2850	293.858178	N
hsa-mir-1-2	2894	298.394936	N
hsa-mir-100	33968	3502.377055	Y
hsa-mir-101-1	23356	2408.193550	N
hsa-mir-101-2	24798	2556.875477	N
hsa-mir-103a-1	146202	15074.615231	Y
hsa-mir-103a-2	150449	15512.515471	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	115	11.857435	N
hsa-mir-105-2	123	12.682300	N
hsa-mir-106a	990	102.077051	Y
hsa-mir-106b	60845	6273.614340	N
hsa-mir-107	14590	1504.347658	Y
hsa-mir-10a	118361	12203.981706	N
hsa-mir-10b	42851	4418.286599	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.618649	N
hsa-mir-1180	3184	328.296295	N
hsa-mir-1181	1	0.103108	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.721757	N
hsa-mir-1185-2	10	1.031081	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	10	1.031081	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	473	48.770147	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.309324	N
hsa-mir-1226	73	7.526894	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	38	3.918109	N
hsa-mir-1229	5	0.515541	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
