miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	275401	28612.243689	N
hsa-let-7a-2	266515	27689.050246	N
hsa-let-7a-3	268260	27870.343579	N
hsa-let-7b	83658	8691.482902	N
hsa-let-7c	25411	2640.025724	N
hsa-let-7d	51052	5303.946844	N
hsa-let-7e	16693	1734.286309	N
hsa-let-7f-1	277069	28785.537259	N
hsa-let-7f-2	293884	30532.498518	N
hsa-let-7g	254365	26426.749961	N
hsa-let-7i	78199	8124.330864	N
hsa-mir-1-1	4359	452.869707	N
hsa-mir-1-2	4654	483.518150	N
hsa-mir-100	76078	7903.973752	Y
hsa-mir-101-1	13685	1421.776082	N
hsa-mir-101-2	14391	1495.124560	N
hsa-mir-103a-1	81171	8433.100942	Y
hsa-mir-103a-2	84780	8808.050878	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	295	30.648443	Y
hsa-mir-106b	8637	897.324079	N
hsa-mir-107	12720	1321.519311	Y
hsa-mir-10a	79726	8282.975517	N
hsa-mir-10b	6630	688.810773	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.519465	N
hsa-mir-1180	970	100.776237	N
hsa-mir-1181	2	0.207786	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.519465	N
hsa-mir-1185-2	1	0.103893	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	13	1.350609	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.519465	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.103893	N
hsa-mir-1226	15	1.558395	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	68	7.064726	N
hsa-mir-1229	9	0.935037	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.415572	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.311679	N
hsa-mir-124-2	6	0.623358	N
hsa-mir-124-3	6	0.623358	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
