miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	297897	23592.819474	N
hsa-let-7a-2	289274	22909.895905	Y
hsa-let-7a-3	289630	22938.090361	N
hsa-let-7b	132451	10489.842235	N
hsa-let-7c	9602	760.458321	Y
hsa-let-7d	29882	2366.591914	N
hsa-let-7e	13387	1060.222407	N
hsa-let-7f-1	223010	17661.925669	N
hsa-let-7f-2	237918	18842.608095	N
hsa-let-7g	232688	18428.403031	N
hsa-let-7i	147670	11695.155210	N
hsa-mir-1-1	651	51.557839	N
hsa-mir-1-2	752	59.556828	N
hsa-mir-100	67708	5362.332017	Y
hsa-mir-101-1	22909	1814.344895	N
hsa-mir-101-2	24544	1943.833477	N
hsa-mir-103a-1	74363	5889.394101	Y
hsa-mir-103a-2	77314	6123.107130	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.079198	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	283	22.413008	Y
hsa-mir-106b	8871	702.564650	N
hsa-mir-107	8303	657.580238	Y
hsa-mir-10a	56239	4454.011200	N
hsa-mir-10b	42424	3359.892088	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.316792	N
hsa-mir-1180	241	19.086696	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	44	3.484708	N
hsa-mir-1185-2	39	3.088718	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	24	1.900750	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.108771	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	0.871177	N
hsa-mir-1229	9	0.712781	N
hsa-mir-1231	19	1.504760	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.316792	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
