miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	398411	30740.541102	N
hsa-let-7a-2	380198	29335.264955	Y
hsa-let-7a-3	381159	29409.413660	N
hsa-let-7b	168042	12965.761507	N
hsa-let-7c	31721	2447.524552	Y
hsa-let-7d	33906	2616.114481	N
hsa-let-7e	20598	1589.297649	N
hsa-let-7f-1	274510	21180.604797	N
hsa-let-7f-2	297517	22955.775737	N
hsa-let-7g	317013	24460.045421	N
hsa-let-7i	83451	6438.900772	N
hsa-mir-1-1	1891	145.905518	N
hsa-mir-1-2	1963	151.460884	N
hsa-mir-100	54676	4218.683283	N
hsa-mir-101-1	20366	1571.397025	N
hsa-mir-101-2	21814	1683.121610	N
hsa-mir-103a-1	64206	4953.997711	Y
hsa-mir-103a-2	65709	5069.965978	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	524	40.430720	Y
hsa-mir-106b	11845	913.934880	N
hsa-mir-107	5726	441.805920	Y
hsa-mir-10a	119964	9256.165801	N
hsa-mir-10b	7842	605.071957	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.231474	N
hsa-mir-1180	484	37.344405	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	0.848736	N
hsa-mir-1185-2	2	0.154316	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	279	21.527044	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	2.160420	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	22	1.697473	N
hsa-mir-1229	2	0.154316	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.540105	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	6	0.462947	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.077158	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.077158	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.462947	N
hsa-mir-1245b	6	0.462947	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	221	17.051888	N
hsa-mir-1248	54	4.166525	N
hsa-mir-1249	119	9.181786	N
hsa-mir-1250	7	0.540105	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	8	0.617263	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.540105	N
hsa-mir-1254-2	2	0.154316	N
hsa-mir-1255a	50	3.857893	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.540105	N
hsa-mir-125a	170229	13134.505752	N
hsa-mir-125b-1	56029	4323.077870	N
hsa-mir-125b-2	56276	4342.135862	N
hsa-mir-126	44132	3405.130782	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	12	0.925894	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	32	2.469052	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	0.925894	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1621	125.072895	N
hsa-mir-1270	23	1.774631	N
hsa-mir-1271	489	37.730195	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.154316	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.308631	N
hsa-mir-1277	3	0.231474	N
hsa-mir-1278	9	0.694421	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4369	337.102701	N
hsa-mir-128-2	2779	214.421700	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.077158	N
hsa-mir-1283-2	1	0.077158	N
hsa-mir-1284	9	0.694421	N
hsa-mir-1285-1	2	0.154316	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.077158	N
hsa-mir-1287	192	14.814310	N
hsa-mir-1288	1	0.077158	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.077158	N
hsa-mir-129-2	1	0.077158	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	29	2.237578	N
hsa-mir-1292	46	3.549262	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	32	2.469052	N
hsa-mir-1295a	6	0.462947	N
hsa-mir-1295b	8	0.617263	N
hsa-mir-1296	254	19.598097	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.077158	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	951	73.377127	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	8	0.617263	N
hsa-mir-1304	13	1.003052	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	160	12.345258	N
hsa-mir-1307	1139	87.882805	N
hsa-mir-130a	280	21.604201	N
hsa-mir-130b	1462	112.804795	N
hsa-mir-132	1836	141.661835	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.077158	N
hsa-mir-1323	2	0.154316	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	322	24.844832	Y
hsa-mir-133a-2	287	22.144306	Y
