miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	139942	18898.666700	N
hsa-let-7a-2	134051	18103.108215	Y
hsa-let-7a-3	134231	18127.416571	N
hsa-let-7b	41839	5650.207344	N
hsa-let-7c	32817	4431.818504	Y
hsa-let-7d	45275	6114.226857	N
hsa-let-7e	12589	1700.099435	N
hsa-let-7f-1	178361	24087.015273	N
hsa-let-7f-2	188353	25436.399144	N
hsa-let-7g	179520	24243.534078	N
hsa-let-7i	69470	9381.675092	N
hsa-mir-1-1	1133	153.007599	N
hsa-mir-1-2	1195	161.380477	N
hsa-mir-100	46477	6276.552659	Y
hsa-mir-101-1	12337	1666.067736	N
hsa-mir-101-2	13281	1793.551560	N
hsa-mir-103a-1	50109	6767.041272	Y
hsa-mir-103a-2	53134	7175.556705	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.135046	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1172	158.274409	Y
hsa-mir-106b	18544	2504.300891	N
hsa-mir-107	8505	1148.569838	Y
hsa-mir-10a	120623	16289.704830	N
hsa-mir-10b	33522	4527.026233	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.350464	N
hsa-mir-1180	773	104.390886	N
hsa-mir-1181	2	0.270093	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	118	15.935478	N
hsa-mir-1185-2	81	10.938760	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.675232	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	18	2.430836	N
hsa-mir-1224	5	0.675232	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	30	4.051393	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	2.430836	N
hsa-mir-1229	13	1.755604	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.135046	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.945325	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	6	0.810279	N
hsa-mir-1247	83	11.208853	N
hsa-mir-1248	86	11.613992	N
hsa-mir-1249	107	14.449967	N
hsa-mir-1250	22	2.971021	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
