miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	219938	22731.162543	N
hsa-let-7a-2	213664	22082.728376	Y
hsa-let-7a-3	214023	22119.831957	N
hsa-let-7b	79054	8170.435867	N
hsa-let-7c	24882	2571.619213	Y
hsa-let-7d	41241	4262.364277	N
hsa-let-7e	19583	2023.953824	N
hsa-let-7f-1	183584	18973.882386	N
hsa-let-7f-2	192892	19935.888320	N
hsa-let-7g	203583	21040.830889	N
hsa-let-7i	90766	9380.901433	N
hsa-mir-1-1	1025	105.936408	N
hsa-mir-1-2	1046	108.106812	N
hsa-mir-100	54982	5682.532254	Y
hsa-mir-101-1	10482	1083.341877	N
hsa-mir-101-2	11136	1150.934473	N
hsa-mir-103a-1	50243	5192.744317	Y
hsa-mir-103a-2	53885	5569.154460	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	427	44.131557	Y
hsa-mir-106b	12896	1332.835036	N
hsa-mir-107	11015	1138.428809	Y
hsa-mir-10a	73365	7582.462967	N
hsa-mir-10b	13176	1361.773762	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.310058	N
hsa-mir-1180	872	90.123461	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.930173	N
hsa-mir-1185-2	7	0.723468	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.413410	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	2.067052	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	20	2.067052	N
hsa-mir-1229	10	1.033526	N
hsa-mir-1231	17	1.756994	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.620116	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	21	2.170404	N
hsa-mir-124-2	14	1.446936	N
hsa-mir-124-3	22	2.273757	N
hsa-mir-1243	8	0.826821	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	1.756994	N
hsa-mir-1245b	8	0.826821	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	334	34.519766	N
hsa-mir-1248	13	1.343584	N
hsa-mir-1249	207	21.393987	N
hsa-mir-1250	10	1.033526	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.860347	N
hsa-mir-1254-2	27	2.790520	N
hsa-mir-1255a	3	0.310058	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.310058	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	156005	16123.521231	N
hsa-mir-125b-1	56176	5805.935250	N
hsa-mir-125b-2	55528	5738.962770	N
hsa-mir-126	30407	3142.642288	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	13	1.343584	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.343584	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.103353	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8	0.826821	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2691	278.121827	N
hsa-mir-1270	32	3.307283	N
hsa-mir-1271	389	40.204159	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.206705	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.206705	N
hsa-mir-1275	5	0.516763	N
hsa-mir-1276	5	0.516763	N
hsa-mir-1277	3	0.310058	N
hsa-mir-1278	9	0.930173	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3781	390.776153	N
hsa-mir-128-2	2865	296.105178	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.103353	N
hsa-mir-1283-2	1	0.103353	N
hsa-mir-1284	14	1.446936	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.310058	N
hsa-mir-1287	153	15.812947	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	70	7.234681	N
hsa-mir-129-2	92	9.508439	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	17	1.756994	N
hsa-mir-1292	42	4.340809	N
hsa-mir-1293	4	0.413410	N
hsa-mir-1294	15	1.550289	N
hsa-mir-1295a	70	7.234681	N
hsa-mir-1295b	2	0.206705	N
hsa-mir-1296	139	14.366010	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.310058	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1531	158.232819	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.206705	N
hsa-mir-1304	48	4.960924	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	106	10.955375	N
hsa-mir-1307	1984	205.051544	N
hsa-mir-130a	462	47.748898	N
hsa-mir-130b	1476	152.548427	N
hsa-mir-132	1632	168.671431	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	10	1.033526	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	245	25.321385	Y
hsa-mir-133a-2	265	27.388437	Y
hsa-mir-133b	5	0.516763	Y
hsa-mir-134	219	22.634218	N
hsa-mir-1343	25	2.583815	N
hsa-mir-135a-1	579	59.841151	N
hsa-mir-135a-2	587	60.667972	N
hsa-mir-135b	13417	1386.681737	N
hsa-mir-136	174	17.983351	N
hsa-mir-137	41	4.237456	N
hsa-mir-138-1	131	13.539190	N
hsa-mir-138-2	51	5.270982	N
hsa-mir-139	1774	183.347500	N
hsa-mir-140	21449	2216.809762	N
hsa-mir-141	4240	438.214993	N
hsa-mir-142	4876	503.947242	N
hsa-mir-143	151520	15659.984853	N
hsa-mir-144	2904	300.135929	N
hsa-mir-145	21866	2259.907793	N
hsa-mir-1468	42	4.340809	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	9420	973.581424	N
hsa-mir-146b	87552	9048.726200	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	33	3.410636	N
hsa-mir-148a	64209	6636.166628	N
hsa-mir-148b	5989	618.978678	N
hsa-mir-149	560	57.877452	N
hsa-mir-150	15067	1557.213515	N
hsa-mir-151a	22589	2334.631718	N
hsa-mir-151b	163	16.846473	N
hsa-mir-152	4672	482.863313	N
hsa-mir-153-1	4	0.413410	N
hsa-mir-153-2	7	0.723468	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	4	0.413410	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	210	21.704044	N
hsa-mir-155	14938	1543.881030	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1210	125.056637	N
hsa-mir-15b	14662	1515.355715	N
hsa-mir-16-1	29328	3031.124840	N
hsa-mir-16-2	31367	3241.860777	N
hsa-mir-17	2962	306.130380	Y
hsa-mir-181a-1	47583	4917.826421	N
hsa-mir-181a-2	47404	4899.326306	N
hsa-mir-181b-1	14962	1546.361493	N
hsa-mir-181b-2	16936	1750.379511	N
hsa-mir-181c	860	88.883230	N
hsa-mir-181d	616	63.665197	N
hsa-mir-182	31407	3245.994880	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	15875	1640.722410	N
hsa-mir-184	68	7.027976	N
hsa-mir-185	5980	618.048505	N
hsa-mir-186	10567	1092.126848	N
hsa-mir-187	290	29.972252	N
hsa-mir-188	18	1.860347	N
hsa-mir-18a	464	47.955603	N
hsa-mir-18b	7	0.723468	N
hsa-mir-1908	20	2.067052	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	214	22.117455	N
hsa-mir-190b	1424	147.174092	N
hsa-mir-191	78436	8106.563965	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	1	0.103353	N
hsa-mir-1913	4	0.413410	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3216	332.381938	Y
hsa-mir-193a	2331	240.914894	N
hsa-mir-193b	1239	128.053862	N
hsa-mir-194-1	469	48.472366	N
hsa-mir-194-2	1440	148.827734	N
hsa-mir-195	7386	763.362250	N
hsa-mir-196a-1	836	86.402768	N
hsa-mir-196a-2	1401	144.796982	N
hsa-mir-196b	174	17.983351	N
hsa-mir-197	2938	303.649917	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	23	2.377110	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	64130	6628.001773	Y
hsa-mir-199a-2	115472	11934.330589	Y
hsa-mir-199b	173191	17899.738890	Y
hsa-mir-19a	483	49.919302	N
hsa-mir-19b-1	1905	196.886689	N
hsa-mir-19b-2	1926	199.057094	N
hsa-mir-200a	14794	1528.998257	N
hsa-mir-200b	77889	8050.030096	N
hsa-mir-200c	168391	17403.646445	N
hsa-mir-202	11	1.136879	N
hsa-mir-203a	17792	1838.849330	N
hsa-mir-203b	127	13.125779	N
hsa-mir-204	430	44.441615	N
hsa-mir-205	7685	794.264675	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	8477	876.119929	N
hsa-mir-20b	185	19.120230	N
hsa-mir-21	3059501	316207.360854	N
hsa-mir-210	719	74.310514	N
hsa-mir-211	10	1.033526	N
hsa-mir-2110	370	38.240459	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	4	0.413410	N
hsa-mir-2115	3	0.310058	N
hsa-mir-2116	28	2.893873	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	132	13.642542	N
hsa-mir-214	17808	1840.502972	N
hsa-mir-215	19	1.963699	Y
hsa-mir-216a	2	0.206705	N
hsa-mir-216b	19	1.963699	N
hsa-mir-217	18	1.860347	N
hsa-mir-218-1	2780	287.320208	N
hsa-mir-218-2	2570	265.616163	N
hsa-mir-219a-1	1	0.103353	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	3	0.310058	N
hsa-mir-22	16170	1671.211425	N
hsa-mir-221	33219	3433.269778	N
hsa-mir-222	14587	1507.604270	N
hsa-mir-223	20602	2129.270116	N
hsa-mir-224	4803	496.402503	N
hsa-mir-2276	4	0.413410	N
hsa-mir-2277	44	4.547514	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	324	33.486240	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	226064	23364.300526	Y
hsa-mir-23b	98639	10194.596396	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	28113	2905.551440	N
hsa-mir-24-2	28007	2894.596065	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	31498	3255.399966	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	391363	40448.380754	N
hsa-mir-26a-2	399571	41296.698836	N
hsa-mir-26b	201727	20849.008477	N
hsa-mir-27a	32447	3353.481577	Y
hsa-mir-27b	128835	13315.431286	Y
hsa-mir-28	9695	1002.003387	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	77	7.958150	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	122	12.609016	N
hsa-mir-29a	65454	6764.840605	N
hsa-mir-29b-1	1801	186.138020	Y
hsa-mir-29b-2	2453	253.523910	Y
hsa-mir-29c	4133	427.156266	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	29	2.997225	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	28	2.893873	N
hsa-mir-3065	289	29.868899	N
hsa-mir-3074	8	0.826821	N
hsa-mir-30a	39777	4111.056082	N
hsa-mir-30b	16237	1678.136048	Y
hsa-mir-30c-1	14004	1447.349709	Y
hsa-mir-30c-2	13855	1431.950172	N
hsa-mir-30d	141102	14583.257541	N
hsa-mir-30e	12583	1300.485675	N
hsa-mir-31	1897	196.059868	N
hsa-mir-3115	6	0.620116	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	1	0.103353	N
hsa-mir-3117	17	1.756994	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	15	1.550289	N
hsa-mir-3121	6	0.620116	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	2	0.206705	N
hsa-mir-3125	8	0.826821	N
hsa-mir-3126	20	2.067052	N
hsa-mir-3127	18	1.860347	N
hsa-mir-3128	1	0.103353	N
hsa-mir-3129	10	1.033526	N
hsa-mir-3130-1	5	0.516763	N
hsa-mir-3130-2	11	1.136879	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	8	0.826821	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	7	0.723468	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	17	1.756994	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	6	0.620116	N
hsa-mir-3144	6	0.620116	N
hsa-mir-3145	17	1.756994	N
hsa-mir-3146	1	0.103353	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	33	3.410636	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	10	1.033526	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	22	2.273757	N
hsa-mir-3158-1	2	0.206705	N
hsa-mir-3158-2	1	0.103353	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	1	0.103353	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	0	0.000000	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	27	2.790520	N
hsa-mir-3174	29	2.997225	N
hsa-mir-3175	6	0.620116	N
hsa-mir-3176	7	0.723468	N
hsa-mir-3177	27	2.790520	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	1	0.103353	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	1	0.103353	N
hsa-mir-3187	6	0.620116	N
hsa-mir-3188	1	0.103353	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	6	0.620116	N
hsa-mir-3191	4	0.413410	N
hsa-mir-3192	3	0.310058	N
hsa-mir-3193	1	0.103353	N
hsa-mir-3194	2	0.206705	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	3	0.310058	N
hsa-mir-3199-2	2	0.206705	N
hsa-mir-32	350	36.173407	N
hsa-mir-3200	51	5.270982	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	3	0.310058	N
hsa-mir-3202-2	4	0.413410	N
hsa-mir-320a	22638	2339.695995	Y
hsa-mir-320b-1	263	27.181732	Y
hsa-mir-320b-2	377	38.963927	Y
hsa-mir-320c-1	21	2.170404	N
hsa-mir-320c-2	16	1.653641	N
hsa-mir-320d-1	40	4.134104	N
hsa-mir-320d-2	19	1.963699	N
hsa-mir-320e	16	1.653641	N
hsa-mir-323a	250	25.838148	N
hsa-mir-323b	112	11.575490	N
hsa-mir-324	613	63.355139	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	42	4.340809	N
hsa-mir-328	763	78.858028	N
hsa-mir-329-1	108	11.162080	N
hsa-mir-329-2	132	13.642542	N
hsa-mir-330	914	94.464270	N
hsa-mir-331	916	94.670975	N
hsa-mir-335	4668	482.449903	N
hsa-mir-337	151	15.606242	N
hsa-mir-338	613	63.355139	N
hsa-mir-339	2136	220.761138	N
hsa-mir-33a	96	9.921849	N
hsa-mir-33b	10	1.033526	N
hsa-mir-340	6471	668.794628	N
hsa-mir-342	10450	1080.034594	N
hsa-mir-345	362	37.413639	N
hsa-mir-346	17	1.756994	N
hsa-mir-34a	6838	706.725029	N
hsa-mir-34b	383	39.584043	N
hsa-mir-34c	1018	105.212939	N
hsa-mir-3529	3	0.310058	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	107	11.058727	N
hsa-mir-3606	2	0.206705	N
hsa-mir-3607	40	4.134104	N
hsa-mir-3609	17	1.756994	N
hsa-mir-361	14679	1517.112709	N
hsa-mir-3610	3	0.310058	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	840	86.816178	N
hsa-mir-3614	32	3.307283	N
hsa-mir-3615	293	30.282310	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	48	4.960924	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	3	0.310058	N
hsa-mir-362	2358	243.705414	N
