miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	270794	18761.533957	N
hsa-let-7a-2	258761	17927.846585	Y
hsa-let-7a-3	259776	17998.169255	N
hsa-let-7b	98713	6839.174064	N
hsa-let-7c	46934	3251.747951	Y
hsa-let-7d	43001	2979.256267	N
hsa-let-7e	19613	1358.855682	N
hsa-let-7f-1	306917	21264.258874	N
hsa-let-7f-2	331826	22990.039539	N
hsa-let-7g	337473	23381.283001	N
hsa-let-7i	145693	10094.109053	N
hsa-mir-1-1	3759	260.436369	N
hsa-mir-1-2	3768	261.059920	N
hsa-mir-100	42156	2920.711779	Y
hsa-mir-101-1	27626	1914.023712	N
hsa-mir-101-2	29839	2067.347917	N
hsa-mir-103a-1	92209	6388.554712	Y
hsa-mir-103a-2	95997	6651.000300	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	540	37.413046	Y
hsa-mir-106b	21852	1513.981255	N
hsa-mir-107	10944	758.237729	Y
hsa-mir-10a	108557	7521.200033	N
hsa-mir-10b	11916	825.581212	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.484984	N
hsa-mir-1180	507	35.126693	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	29	2.009219	N
hsa-mir-1185-2	35	2.424920	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	15	1.039251	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.346417	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	37	2.563486	N
hsa-mir-1227	1	0.069283	N
hsa-mir-1228	19	1.316385	N
hsa-mir-1229	17	1.177818	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.346417	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.207850	N
hsa-mir-124-1	4	0.277134	N
hsa-mir-124-2	2	0.138567	N
hsa-mir-124-3	2	0.138567	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.415701	N
hsa-mir-1245b	7	0.484984	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	184	12.748149	N
hsa-mir-1248	38	2.632770	N
hsa-mir-1249	204	14.133817	N
hsa-mir-1250	6	0.415701	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.138567	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	32	2.217069	N
hsa-mir-1254-2	34	2.355636	N
hsa-mir-1255a	25	1.732085	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.207850	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	262906	18215.026354	N
hsa-mir-125b-1	74561	5165.840947	N
hsa-mir-125b-2	76697	5313.830328	N
hsa-mir-126	36643	2538.752294	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.415701	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	35	2.424920	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	30	2.078503	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.069283	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6230	431.635696	N
hsa-mir-1270	16	1.108535	N
hsa-mir-1271	595	41.223634	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.069283	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	9	0.623551	N
hsa-mir-1276	7	0.484984	N
hsa-mir-1277	8	0.554267	N
hsa-mir-1278	4	0.277134	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4208	291.544624	N
hsa-mir-128-2	2922	202.446148	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.138567	N
hsa-mir-1283-2	4	0.277134	N
hsa-mir-1284	15	1.039251	N
hsa-mir-1285-1	4	0.277134	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	383	26.535549	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	24	1.662802	N
hsa-mir-129-2	15	1.039251	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	32	2.217069	N
hsa-mir-1292	70	4.849839	N
hsa-mir-1293	1	0.069283	N
hsa-mir-1294	24	1.662802	N
hsa-mir-1295a	88	6.096941	N
