miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	281338	38603.745800	N
hsa-let-7a-2	268411	36829.969695	N
hsa-let-7a-3	268574	36852.335712	N
hsa-let-7b	98973	13580.563355	N
hsa-let-7c	27170	3728.126927	N
hsa-let-7d	54515	7480.266449	N
hsa-let-7e	11958	1640.814935	N
hsa-let-7f-1	211599	29034.520781	N
hsa-let-7f-2	226822	31123.342136	N
hsa-let-7g	300674	41256.931750	N
hsa-let-7i	163412	22422.549775	N
hsa-mir-1-1	3229	443.066686	N
hsa-mir-1-2	3447	472.979518	N
hsa-mir-100	123162	16899.652874	Y
hsa-mir-101-1	2526	346.604660	N
hsa-mir-101-2	2699	370.342826	N
hsa-mir-103a-1	29611	4063.068327	Y
hsa-mir-103a-2	30746	4218.807159	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	393	53.925428	Y
hsa-mir-106b	6430	882.291356	N
hsa-mir-107	3612	495.619965	Y
hsa-mir-10a	88442	12135.553982	N
hsa-mir-10b	18225	2500.740274	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	194	26.619677	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.137215	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.823289	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	33	4.528089	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	27	3.704800	N
hsa-mir-1229	49	6.723527	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.548859	N
hsa-mir-124-2	4	0.548859	N
hsa-mir-124-3	6	0.823289	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	134	18.386787	N
hsa-mir-1248	6	0.823289	N
hsa-mir-1249	122	16.740209	N
hsa-mir-1250	14	1.921008	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.823289	N
hsa-mir-1254-2	9	1.234933	N
hsa-mir-1255a	63	8.644534	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	21	2.881511	N
hsa-mir-125a	65777	9025.579863	N
hsa-mir-125b-1	35149	4822.964054	N
hsa-mir-125b-2	35173	4826.257210	N
hsa-mir-126	54775	7515.942305	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	17	2.332652	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.274430	N
hsa-mir-1269b	1	0.137215	N
hsa-mir-127	2110	289.523291	N
hsa-mir-1270	32	4.390875	N
hsa-mir-1271	129	17.700713	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
