miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	140785	15033.938354	N
hsa-let-7a-2	137355	14667.660635	N
hsa-let-7a-3	137627	14696.706565	N
hsa-let-7b	69590	7431.273005	N
hsa-let-7c	4693	501.149076	N
hsa-let-7d	20631	2203.112421	N
hsa-let-7e	7265	775.803972	N
hsa-let-7f-1	162832	17388.260468	N
hsa-let-7f-2	172799	18452.601581	N
hsa-let-7g	189327	20217.568965	N
hsa-let-7i	107380	11466.735095	N
hsa-mir-1-1	799	85.322419	N
hsa-mir-1-2	843	90.021025	N
hsa-mir-100	27653	2952.967271	N
hsa-mir-101-1	21715	2318.868994	N
hsa-mir-101-2	23276	2485.562731	N
hsa-mir-103a-1	106972	11423.166201	Y
hsa-mir-103a-2	111878	11947.060803	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.106787	N
hsa-mir-105-2	2	0.213573	N
hsa-mir-106a	2888	308.399432	Y
hsa-mir-106b	36807	3930.490954	N
hsa-mir-107	11189	1194.834224	Y
hsa-mir-10a	44844	4788.734109	N
hsa-mir-10b	41256	4405.584123	N
hsa-mir-1178	4	0.427146	N
hsa-mir-1179	6	0.640719	N
hsa-mir-1180	1480	158.044030	N
hsa-mir-1181	1	0.106787	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.067865	N
hsa-mir-1185-2	3	0.320360	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.213573	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	14	1.495011	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.213573	N
hsa-mir-1226	40	4.271460	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	1.388225	N
hsa-mir-1229	9	0.961079	N
hsa-mir-1231	1	0.106787	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.320360	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	73	7.795415	N
hsa-mir-124-2	79	8.436134	N
hsa-mir-124-3	82	8.756494	N
hsa-mir-1243	3	0.320360	N
hsa-mir-1244-1	2	0.213573	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.640719	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	34	3.630741	N
hsa-mir-1248	118	12.600808	N
hsa-mir-1249	65	6.941123	N
hsa-mir-1250	17	1.815371	N
hsa-mir-1251	5	0.533933	N
hsa-mir-1252	1	0.106787	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	20	2.135730	N
hsa-mir-1254-2	14	1.495011	N
hsa-mir-1255a	22	2.349303	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.213573	N
hsa-mir-125a	58057	6199.704223	N
hsa-mir-125b-1	13660	1458.703682	N
hsa-mir-125b-2	13369	1427.628809	N
hsa-mir-126	26366	2815.533037	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.213573	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	0.961079	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1501	160.286547	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	617	65.887275	N
hsa-mir-1270	6	0.640719	N
hsa-mir-1271	218	23.279458	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.106787	N
hsa-mir-1275	5	0.533933	N
hsa-mir-1276	30	3.203595	N
hsa-mir-1277	3	0.320360	N
hsa-mir-1278	8	0.854292	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6928	739.816919	N
hsa-mir-128-2	4743	506.488402	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.640719	N
hsa-mir-1285-1	1	0.106787	N
hsa-mir-1285-2	1	0.106787	N
hsa-mir-1286	12	1.281438	N
hsa-mir-1287	26	2.776449	N
hsa-mir-1288	10	1.067865	N
hsa-mir-1289-1	14	1.495011	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	16	1.708584	N
hsa-mir-129-2	14	1.495011	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	45	4.805393	N
hsa-mir-1292	137	14.629751	N
hsa-mir-1293	0	0.000000	N
