miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	336597	35763.323737	N
hsa-let-7a-2	321335	34141.741111	Y
hsa-let-7a-3	321881	34199.753437	N
hsa-let-7b	101763	10812.286246	N
hsa-let-7c	51188	5438.708650	Y
hsa-let-7d	55207	5865.726116	N
hsa-let-7e	19522	2074.206264	N
hsa-let-7f-1	281593	29919.166306	N
hsa-let-7f-2	303077	32201.834443	N
hsa-let-7g	259104	27529.717239	N
hsa-let-7i	67254	7145.716018	N
hsa-mir-1-1	11850	1259.058715	N
hsa-mir-1-2	12426	1320.258531	N
hsa-mir-100	118226	12561.474737	Y
hsa-mir-101-1	16923	1798.063345	N
hsa-mir-101-2	18853	2003.125228	N
hsa-mir-103a-1	71456	7592.177176	Y
hsa-mir-103a-2	74112	7874.376328	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.106250	N
hsa-mir-106a	329	34.956145	Y
hsa-mir-106b	8952	951.147141	N
hsa-mir-107	6208	659.598017	Y
hsa-mir-10a	173356	18419.019628	N
hsa-mir-10b	36372	3864.513382	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.531248	N
hsa-mir-1180	604	64.174807	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	4	0.424999	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	12	1.274996	N
hsa-mir-1224	1	0.106250	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	2.231243	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	1.487496	N
hsa-mir-1229	5	0.531248	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.106250	N
hsa-mir-124-3	3	0.318749	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.106250	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.381246	N
hsa-mir-1245b	10	1.062497	N
hsa-mir-1246	0	0.000000	N
