miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	292788	33697.134590	N
hsa-let-7a-2	283541	32632.892191	Y
hsa-let-7a-3	283770	32659.247929	N
hsa-let-7b	78283	9009.634231	N
hsa-let-7c	29374	3380.670080	Y
hsa-let-7d	57771	6648.896684	N
hsa-let-7e	16925	1947.907711	N
hsa-let-7f-1	307395	35378.262386	N
hsa-let-7f-2	325009	37405.467492	N
hsa-let-7g	283899	32674.094611	N
hsa-let-7i	77301	8896.615302	N
hsa-mir-1-1	3821	439.761026	N
hsa-mir-1-2	4010	461.513142	N
hsa-mir-100	66403	7642.358390	Y
hsa-mir-101-1	14869	1711.281522	N
hsa-mir-101-2	15507	1784.709299	N
hsa-mir-103a-1	69957	8051.390236	Y
hsa-mir-103a-2	74249	8545.358916	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	546	62.839445	Y
hsa-mir-106b	12303	1415.959147	N
hsa-mir-107	11751	1352.429159	Y
hsa-mir-10a	88705	10209.108037	N
hsa-mir-10b	14182	1632.214308	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.265996	N
hsa-mir-1180	498	57.315098	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.115091	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	30	3.452717	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.150906	N
hsa-mir-1229	1	0.115091	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.230181	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.230181	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.345272	N
hsa-mir-1245b	2	0.230181	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	201	23.133202	N
hsa-mir-1248	34	3.913079	N
hsa-mir-1249	71	8.171430	N
hsa-mir-1250	25	2.877264	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.115091	N
hsa-mir-1254-2	3	0.345272	N
hsa-mir-1255a	28	3.222536	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	149096	17159.541986	N
hsa-mir-125b-1	48411	5571.649052	N
hsa-mir-125b-2	48036	5528.490092	N
hsa-mir-126	103059	11861.117921	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	0.920724	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.381087	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.115091	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	681	78.376671	N
hsa-mir-1270	21	2.416902	N
hsa-mir-1271	346	39.821333	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.115091	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	9	1.035815	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3230	371.742506	N
hsa-mir-128-2	2450	281.971870	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	6	0.690543	N
hsa-mir-1283-2	10	1.150906	N
hsa-mir-1284	13	1.496177	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	62	7.135615	N
hsa-mir-1288	1	0.115091	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	0.920724	N
hsa-mir-129-2	12	1.381087	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	31	3.567807	N
hsa-mir-1292	24	2.762173	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	29	3.337626	N
hsa-mir-1295a	60	6.905434	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	170	19.565395	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	6	0.690543	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	725	83.440655	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
