miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	104063	14465.765597	N
hsa-let-7a-2	101924	14168.423865	Y
hsa-let-7a-3	101932	14169.535943	N
hsa-let-7b	31451	4371.993829	N
hsa-let-7c	6452	896.890534	Y
hsa-let-7d	15928	2214.146377	N
hsa-let-7e	7163	995.726425	N
hsa-let-7f-1	127214	17683.978980	N
hsa-let-7f-2	134181	18652.459505	N
hsa-let-7g	165854	23055.313486	N
hsa-let-7i	109950	15284.115654	N
hsa-mir-1-1	1506	209.348596	N
hsa-mir-1-2	1651	229.505002	N
hsa-mir-100	105599	14679.284484	Y
hsa-mir-101-1	14666	2038.716145	N
hsa-mir-101-2	15601	2168.690208	N
hsa-mir-103a-1	43997	6116.009427	Y
hsa-mir-103a-2	46071	6404.315528	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	242	33.640346	Y
hsa-mir-106b	10758	1495.466268	N
hsa-mir-107	5238	728.132768	Y
hsa-mir-10a	46137	6413.490168	N
hsa-mir-10b	12176	1692.582012	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.695048	N
hsa-mir-1180	346	48.097353	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.112078	N
hsa-mir-1185-2	7	0.973068	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	10	1.390097	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.139010	N
hsa-mir-1226	49	6.811475	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.112078	N
hsa-mir-1229	5	0.695048	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.139010	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.139010	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	3	0.417029	N
hsa-mir-1243	2	0.278019	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.973068	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.278019	N
hsa-mir-1247	111	15.430076	N
hsa-mir-1248	51	7.089494	N
hsa-mir-1249	100	13.900969	N
hsa-mir-1250	12	1.668116	N
hsa-mir-1251	1	0.139010	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	22	3.058213	N
hsa-mir-1254-2	18	2.502174	N
hsa-mir-1255a	9	1.251087	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.278019	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	74278	10325.361915	N
hsa-mir-125b-1	50859	7069.893934	N
hsa-mir-125b-2	50457	7014.012038	N
hsa-mir-126	49042	6817.313324	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.417029	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.417029	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.278019	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.139010	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	731	101.616085	N
hsa-mir-1270	25	3.475242	N
hsa-mir-1271	236	32.806287	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
