miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	215889	23386.136265	N
hsa-let-7a-2	208097	22542.069296	Y
hsa-let-7a-3	209018	22641.836452	N
hsa-let-7b	58931	6383.689749	N
hsa-let-7c	28032	3036.561250	Y
hsa-let-7d	32608	3532.255610	N
hsa-let-7e	15956	1728.430769	N
hsa-let-7f-1	205282	22237.134939	N
hsa-let-7f-2	219872	23817.594008	N
hsa-let-7g	247071	26763.920687	N
hsa-let-7i	88601	9597.687049	N
hsa-mir-1-1	6192	670.747262	N
hsa-mir-1-2	6569	711.585718	N
hsa-mir-100	75666	8196.505550	Y
hsa-mir-101-1	17771	1925.040310	N
hsa-mir-101-2	19010	2059.254758	N
hsa-mir-103a-1	69200	7496.077288	Y
hsa-mir-103a-2	72743	7879.872112	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	337	36.505463	Y
hsa-mir-106b	9394	1017.603324	N
hsa-mir-107	9249	1001.896226	Y
hsa-mir-10a	64006	6933.438192	N
hsa-mir-10b	26822	2905.488223	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.974923	N
hsa-mir-1180	640	69.327882	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.433299	N
hsa-mir-1185-2	4	0.433299	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.866599	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.108325	N
hsa-mir-1226	23	2.491471	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.299898	N
hsa-mir-1229	7	0.758274	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.324974	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.108325	N
hsa-mir-1238	2	0.216650	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.758274	N
hsa-mir-1245b	6	0.649949	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	793	85.901579	N
hsa-mir-1248	28	3.033095	N
hsa-mir-1249	81	8.774310	N
hsa-mir-1250	3	0.324974	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.866599	N
hsa-mir-1254-2	7	0.758274	N
hsa-mir-1255a	20	2.166496	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.108325	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.108325	N
hsa-mir-125a	111245	12050.594189	N
hsa-mir-125b-1	49583	5371.069366	N
hsa-mir-125b-2	48628	5267.619167	N
hsa-mir-126	53921	5840.982419	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	5	0.541624	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.624872	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	5	0.541624	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.541624	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1124	121.757094	N
hsa-mir-1270	30	3.249744	N
hsa-mir-1271	220	23.831460	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
