miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	123504	18287.742308	N
hsa-let-7a-2	121106	17932.660643	Y
hsa-let-7a-3	121034	17921.999308	N
hsa-let-7b	61454	9099.745076	N
hsa-let-7c	9020	1335.628284	Y
hsa-let-7d	14920	2209.265410	N
hsa-let-7e	7244	1072.648702	N
hsa-let-7f-1	100437	14872.117294	N
hsa-let-7f-2	105412	15608.785887	N
hsa-let-7g	126864	18785.271248	N
hsa-let-7i	62649	9276.693612	N
hsa-mir-1-1	798	118.163123	N
hsa-mir-1-2	862	127.639865	N
hsa-mir-100	26109	3866.066394	Y
hsa-mir-101-1	8466	1253.595239	N
hsa-mir-101-2	8730	1292.686798	N
hsa-mir-103a-1	35374	5237.972830	Y
hsa-mir-103a-2	38133	5646.509242	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.296148	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	370	54.787413	Y
hsa-mir-106b	7257	1074.573665	N
hsa-mir-107	5307	785.829191	Y
hsa-mir-10a	39189	5802.875480	N
hsa-mir-10b	28224	4179.243093	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	1.036519	N
hsa-mir-1180	509	75.369711	N
hsa-mir-1181	7	1.036519	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	27	3.998000	N
hsa-mir-1185-2	9	1.332667	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	1.036519	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.184593	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	2.665334	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.888445	N
hsa-mir-1229	2	0.296148	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.148074	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.444222	N
hsa-mir-124-2	10	1.480741	N
hsa-mir-124-3	10	1.480741	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.184593	N
hsa-mir-1245b	3	0.444222	N
hsa-mir-1246	5	0.740370	N
hsa-mir-1247	288	42.645338	N
hsa-mir-1248	59	8.736371	N
hsa-mir-1249	126	18.657335	N
hsa-mir-1250	7	1.036519	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	9	1.332667	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.332667	N
hsa-mir-1254-2	10	1.480741	N
hsa-mir-1255a	9	1.332667	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.148074	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.148074	N
hsa-mir-125a	56748	8402.908412	N
hsa-mir-125b-1	35112	5199.177419	N
hsa-mir-125b-2	34758	5146.759191	N
hsa-mir-126	43662	6465.210881	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.444222	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.148074	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	1.332667	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	59	8.736371	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1386	205.230688	N
hsa-mir-1270	10	1.480741	N
hsa-mir-1271	362	53.602820	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.296148	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.888445	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	10	1.480741	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3009	445.554934	N
hsa-mir-128-2	2281	337.756997	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	13	1.924963	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	8	1.184593	N
hsa-mir-1287	97	14.363187	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.148074	N
hsa-mir-129-1	16	2.369185	N
hsa-mir-129-2	8	1.184593	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.740370	N
hsa-mir-1292	39	5.774889	N
hsa-mir-1293	29	4.294149	N
hsa-mir-1294	5	0.740370	N
hsa-mir-1295a	30	4.442223	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	177	26.209114	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	666	98.617343	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	8	1.184593	N
hsa-mir-1304	31	4.590297	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	122	18.065039	N
hsa-mir-1307	1299	192.348242	N
hsa-mir-130a	331	49.012524	N
hsa-mir-130b	1134	167.916017	N
hsa-mir-132	2211	327.391811	N
hsa-mir-1321	0	0.000000	N
