miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	176186	17770.068510	N
hsa-let-7a-2	170954	17242.370518	Y
hsa-let-7a-3	171698	17317.410141	N
hsa-let-7b	65498	6606.109153	N
hsa-let-7c	18933	1909.576851	Y
hsa-let-7d	47695	4810.503772	N
hsa-let-7e	14962	1509.062951	N
hsa-let-7f-1	199375	20108.904278	N
hsa-let-7f-2	213597	21543.331045	N
hsa-let-7g	215872	21772.786881	N
hsa-let-7i	76876	7753.690911	N
hsa-mir-1-1	2178	219.672444	N
hsa-mir-1-2	2327	234.700540	N
hsa-mir-100	62997	6353.859024	Y
hsa-mir-101-1	13485	1360.093162	N
hsa-mir-101-2	14585	1471.038841	N
hsa-mir-103a-1	74803	7544.608736	Y
hsa-mir-103a-2	78585	7926.060152	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	0.605158	N
hsa-mir-105-2	6	0.605158	N
hsa-mir-106a	722	72.820709	Y
hsa-mir-106b	14150	1427.164868	N
hsa-mir-107	10669	1076.072224	Y
hsa-mir-10a	86979	8772.676540	N
hsa-mir-10b	11295	1139.210402	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.109457	N
hsa-mir-1180	442	44.579991	N
hsa-mir-1181	2	0.201719	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.605158	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.100860	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.100860	N
hsa-mir-1224	3	0.302579	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	22	2.218914	N
hsa-mir-1227	1	0.100860	N
hsa-mir-1228	38	3.832669	N
hsa-mir-1229	5	0.504299	N
hsa-mir-1231	6	0.605158	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.201719	N
