miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	297909	33996.606604	N
hsa-let-7a-2	289196	33002.301520	Y
hsa-let-7a-3	289384	33023.755595	N
hsa-let-7b	75473	8612.784072	N
hsa-let-7c	29950	3417.816742	Y
hsa-let-7d	49014	5593.351245	N
hsa-let-7e	16408	1872.438634	N
hsa-let-7f-1	281892	32168.787881	N
hsa-let-7f-2	297932	33999.231305	N
hsa-let-7g	244817	27937.884519	N
hsa-let-7i	64407	7349.960698	N
hsa-mir-1-1	6763	771.776114	N
hsa-mir-1-2	7231	825.183067	N
hsa-mir-100	87554	9991.436629	Y
hsa-mir-101-1	17794	2030.605379	N
hsa-mir-101-2	19123	2182.267431	N
hsa-mir-103a-1	74731	8528.108947	Y
hsa-mir-103a-2	77493	8843.301262	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	330	37.658749	Y
hsa-mir-106b	9057	1033.561477	N
hsa-mir-107	9120	1040.750874	Y
hsa-mir-10a	120751	13779.792635	N
hsa-mir-10b	23649	2698.762876	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.912939	N
hsa-mir-1180	659	75.203380	N
hsa-mir-1181	5	0.570587	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.114117	N
hsa-mir-1185-2	2	0.228235	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.228235	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	20	2.282348	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.114117	N
hsa-mir-1226	24	2.738818	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.255292	N
hsa-mir-1229	8	0.912939	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
