miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	429428	29255.888811	N
hsa-let-7a-2	410666	27977.679226	Y
hsa-let-7a-3	409035	27866.563149	N
hsa-let-7b	128210	8734.636550	N
hsa-let-7c	41783	2846.574518	Y
hsa-let-7d	68685	4679.342574	N
hsa-let-7e	21507	1465.219782	N
hsa-let-7f-1	391047	26641.084308	N
hsa-let-7f-2	419879	28605.338586	N
hsa-let-7g	419129	28554.242904	N
hsa-let-7i	91150	6209.828575	N
hsa-mir-1-1	13982	952.559771	N
hsa-mir-1-2	14904	1015.373396	N
hsa-mir-100	131955	8989.774323	Y
hsa-mir-101-1	65988	4495.602501	N
hsa-mir-101-2	70823	4824.999332	N
hsa-mir-103a-1	105454	7184.325425	Y
hsa-mir-103a-2	109873	7485.381185	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	446	30.384899	Y
hsa-mir-106b	14620	996.025165	N
hsa-mir-107	9893	673.986112	Y
hsa-mir-10a	196025	13354.708133	N
hsa-mir-10b	19665	1339.728787	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	1.021914	N
hsa-mir-1180	1211	82.502495	N
hsa-mir-1181	6	0.408765	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.068128	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.136255	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.068128	N
hsa-mir-1226	54	3.678889	N
hsa-mir-1227	1	0.068128	N
hsa-mir-1228	18	1.226296	N
hsa-mir-1229	1	0.068128	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.545021	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.136255	N
hsa-mir-124-2	1	0.068128	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	0.613148	N
hsa-mir-1245b	1	0.068128	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	440	29.976134	N
hsa-mir-1248	13	0.885658	N
hsa-mir-1249	162	11.036667	N
hsa-mir-1250	9	0.613148	N
hsa-mir-1251	3	0.204383	N
hsa-mir-1252	1	0.068128	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.408765	N
hsa-mir-1254-2	6	0.408765	N
hsa-mir-1255a	18	1.226296	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	0.613148	N
hsa-mir-125a	341582	23271.153749	N
hsa-mir-125b-1	72524	4940.884340	N
hsa-mir-125b-2	72428	4934.344092	N
hsa-mir-126	326986	22276.763646	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.090041	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	21	1.430679	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	4	0.272510	N
