miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	141268	17668.257295	N
hsa-let-7a-2	136772	17105.946759	Y
hsa-let-7a-3	136285	17045.038122	N
hsa-let-7b	44983	5625.981949	N
hsa-let-7c	5273	659.489203	Y
hsa-let-7d	20785	2599.560607	N
hsa-let-7e	11335	1417.657902	N
hsa-let-7f-1	122650	15339.721361	N
hsa-let-7f-2	132128	16525.126001	N
hsa-let-7g	124920	15623.628149	N
hsa-let-7i	70560	8824.873536	N
hsa-mir-1-1	657	82.170379	N
hsa-mir-1-2	672	84.046415	N
hsa-mir-100	99986	12505.155972	Y
hsa-mir-101-1	6493	812.073468	N
hsa-mir-101-2	7014	877.234453	N
hsa-mir-103a-1	40299	5040.158427	Y
hsa-mir-103a-2	41922	5243.145527	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	222	27.765333	Y
hsa-mir-106b	7506	938.768435	N
hsa-mir-107	4278	535.045479	Y
hsa-mir-10a	91463	11439.192294	N
hsa-mir-10b	5072	634.350320	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	165	20.636396	N
hsa-mir-1181	1	0.125069	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.500829	N
hsa-mir-1185-2	10	1.250691	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.750414	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.375207	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.876036	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	17	2.126174	N
hsa-mir-1229	4	0.500276	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.375207	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.125069	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	2.126174	N
hsa-mir-1245b	6	0.750414	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	31	3.877141	N
hsa-mir-1248	86	10.755940	N
hsa-mir-1249	112	14.007736	N
hsa-mir-1250	8	1.000553	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	1.000553	N
hsa-mir-1254-2	12	1.500829	N
hsa-mir-1255a	13	1.625898	N
