miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	107242	16782.909045	N
hsa-let-7a-2	104968	16427.037883	Y
hsa-let-7a-3	105031	16436.897110	N
hsa-let-7b	46092	7213.198595	N
hsa-let-7c	9575	1498.446076	Y
hsa-let-7d	28254	4421.628766	N
hsa-let-7e	5443	851.805952	N
hsa-let-7f-1	151462	23703.147738	N
hsa-let-7f-2	162086	25365.757776	N
hsa-let-7g	135595	21220.030883	N
hsa-let-7i	118709	18577.444936	N
hsa-mir-1-1	4929	771.367176	N
hsa-mir-1-2	5199	813.621008	N
hsa-mir-100	32747	5124.763828	Y
hsa-mir-101-1	14280	2234.758221	N
hsa-mir-101-2	14820	2319.265885	N
hsa-mir-103a-1	57535	9003.978590	Y
hsa-mir-103a-2	61533	9629.648293	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	9	1.408461	N
hsa-mir-105-2	1	0.156496	N
hsa-mir-106a	690	107.982015	Y
hsa-mir-106b	23702	3709.260459	N
hsa-mir-107	9892	1548.055205	Y
hsa-mir-10a	185523	29033.546882	N
hsa-mir-10b	16753	2621.772022	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	2.190939	N
hsa-mir-1180	871	136.307732	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.156496	N
hsa-mir-1185-2	2	0.312991	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.312991	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.156496	N
