miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	308144	36399.911878	N
hsa-let-7a-2	300934	35548.221225	Y
hsa-let-7a-3	300881	35541.960530	N
hsa-let-7b	78705	9297.130771	N
hsa-let-7c	30189	3566.114997	Y
hsa-let-7d	53486	6318.103506	N
hsa-let-7e	18143	2143.165537	N
hsa-let-7f-1	259683	30675.393051	N
hsa-let-7f-2	275714	32569.075833	N
hsa-let-7g	223027	26345.355244	N
hsa-let-7i	59861	7071.158695	N
hsa-mir-1-1	5787	683.596922	N
hsa-mir-1-2	6028	712.065362	N
hsa-mir-100	90175	10652.039480	Y
hsa-mir-101-1	11327	1338.016648	N
hsa-mir-101-2	12128	1432.635817	N
hsa-mir-103a-1	65586	7747.431786	Y
hsa-mir-103a-2	68418	8081.965480	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	272	32.130355	Y
hsa-mir-106b	6990	825.702866	N
hsa-mir-107	9068	1071.169326	Y
hsa-mir-10a	91918	10857.933628	N
hsa-mir-10b	8094	956.114306	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	2.126273	N
hsa-mir-1180	560	66.150730	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.118126	N
hsa-mir-1185-2	3	0.354379	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	15	1.771895	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	2.008147	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	25	2.953158	N
hsa-mir-1229	7	0.826884	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.118126	N
hsa-mir-1236	3	0.354379	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.236253	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.118126	N
hsa-mir-1245b	1	0.118126	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	302	35.674144	N
hsa-mir-1248	16	1.890021	N
hsa-mir-1249	58	6.851326	N
hsa-mir-1250	6	0.708758	N
hsa-mir-1251	1	0.118126	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.354379	N
hsa-mir-1254-2	1	0.118126	N
hsa-mir-1255a	15	1.771895	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.236253	N
hsa-mir-125a	277824	32818.322335	N
hsa-mir-125b-1	56980	6730.836813	N
hsa-mir-125b-2	57018	6735.325612	N
hsa-mir-126	127338	15041.967323	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	22	2.598779	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.181263	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	2	0.236253	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	696	82.215908	N
hsa-mir-1270	26	3.071284	N
hsa-mir-1271	564	66.623236	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.118126	N
hsa-mir-1276	1	0.118126	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	2	0.236253	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2882	340.440009	N
hsa-mir-128-2	1992	235.307598	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.354379	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	13	1.535642	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	80	9.450104	N
hsa-mir-1288	1	0.118126	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	0.945010	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	17	2.008147	N
hsa-mir-1292	40	4.725052	N
hsa-mir-1293	3	0.354379	N
hsa-mir-1294	11	1.299389	N
hsa-mir-1295a	52	6.142568	N
hsa-mir-1295b	2	0.236253	N
hsa-mir-1296	181	21.380861	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	29	3.425663	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	810	95.682306	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	9	1.063137	N
hsa-mir-1304	13	1.535642	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	93	10.985746	N
hsa-mir-1307	921	108.794326	N
hsa-mir-130a	974	115.055020	N
hsa-mir-130b	609	71.938919	N
hsa-mir-132	1394	164.668068	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	6	0.708758	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1586	187.348318	Y
hsa-mir-133a-2	1577	186.285182	Y
hsa-mir-133b	23	2.716905	Y
hsa-mir-134	81	9.568231	N
hsa-mir-1343	14	1.653768	N
hsa-mir-135a-1	604	71.348288	N
hsa-mir-135a-2	663	78.317740	N
hsa-mir-135b	2706	319.649779	N
hsa-mir-136	88	10.395115	N
hsa-mir-137	1	0.118126	N
hsa-mir-138-1	293	34.611007	N
hsa-mir-138-2	82	9.686357	N
hsa-mir-139	5296	625.596907	N
hsa-mir-140	30991	3660.852293	N
hsa-mir-141	602	71.112035	N
hsa-mir-142	4353	514.203802	N
hsa-mir-143	389322	45989.168999	N
hsa-mir-144	2380	281.140604	N
hsa-mir-145	62165	7343.321700	N
hsa-mir-1468	68	8.032589	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	18334	2165.727661	N
hsa-mir-146b	156942	18538.978432	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.472505	N
hsa-mir-148a	17446	2060.831503	N
hsa-mir-148b	3224	380.839205	N
hsa-mir-149	514	60.716920	N
hsa-mir-150	14538	1717.320210	N
hsa-mir-151a	22629	2673.080137	N
hsa-mir-151b	197	23.270882	N
hsa-mir-152	2188	258.460354	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	4	0.472505	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	67	7.914462	N
hsa-mir-155	14977	1769.177658	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1372	162.069289	N
hsa-mir-15b	18535	2189.471048	N
hsa-mir-16-1	34882	4120.481743	N
hsa-mir-16-2	37471	4426.310744	N
hsa-mir-17	1883	222.431831	Y
hsa-mir-181a-1	40614	4797.581718	Y
hsa-mir-181a-2	41492	4901.296613	N
hsa-mir-181b-1	8702	1027.935099	N
hsa-mir-181b-2	10189	1203.588913	N
hsa-mir-181c	506	59.771910	Y
hsa-mir-181d	295	34.847260	N
hsa-mir-182	5267	622.171244	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2886	340.912514	N
hsa-mir-184	103	12.167009	N
hsa-mir-185	4580	541.018473	N
hsa-mir-186	10442	1233.474868	N
hsa-mir-187	65	7.678210	N
hsa-mir-188	14	1.653768	N
hsa-mir-18a	202	23.861513	N
hsa-mir-18b	3	0.354379	N
hsa-mir-1908	12	1.417516	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	60	7.087578	N
hsa-mir-190b	80	9.450104	N
hsa-mir-191	72009	8506.157038	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	9	1.063137	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	999	118.008178	N
hsa-mir-193a	2563	302.757718	N
hsa-mir-193b	907	107.140558	N
hsa-mir-194-1	145	17.128314	N
hsa-mir-194-2	481	56.818752	N
hsa-mir-195	16409	1938.334525	N
hsa-mir-196a-1	23	2.716905	N
hsa-mir-196a-2	38	4.488800	N
hsa-mir-196b	85	10.040736	N
hsa-mir-197	3850	454.786271	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	33	3.898168	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	29271	3457.675050	Y
hsa-mir-199a-2	52743	6230.335662	Y
hsa-mir-199b	81749	9656.707241	Y
hsa-mir-19a	143	16.892061	N
hsa-mir-19b-1	1005	118.716936	N
hsa-mir-19b-2	996	117.653799	N
hsa-mir-200a	4425	522.708896	N
hsa-mir-200b	30880	3647.740273	N
hsa-mir-200c	71000	8386.967597	N
hsa-mir-202	9	1.063137	N
hsa-mir-203a	11448	1352.309930	N
hsa-mir-203b	43	5.079431	N
hsa-mir-204	625	73.828940	N
hsa-mir-205	4446	525.189548	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	10	1.181263	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	5590	660.326040	N
hsa-mir-20b	154	18.191451	N
hsa-mir-21	700989	82805.239847	N
hsa-mir-210	146	17.246440	N
hsa-mir-211	60	7.087578	N
hsa-mir-2110	468	55.283110	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.118126	N
hsa-mir-2115	1	0.118126	N
hsa-mir-2116	33	3.898168	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	119	14.057030	N
hsa-mir-214	7621	900.240564	N
hsa-mir-215	3	0.354379	N
hsa-mir-216a	3	0.354379	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	39	4.606926	N
hsa-mir-218-1	8587	1014.350574	N
hsa-mir-218-2	7351	868.346462	N
hsa-mir-219a-1	5	0.590632	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	6	0.708758	N
hsa-mir-22	10626	1255.210108	N
hsa-mir-221	48690	5751.569751	N
hsa-mir-222	21474	2536.644256	N
hsa-mir-223	20002	2362.762336	N
hsa-mir-224	6704	791.918743	N
hsa-mir-2276	1	0.118126	N
hsa-mir-2277	27	3.189410	N
hsa-mir-2278	2	0.236253	N
hsa-mir-2355	196	23.152756	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	233947	27635.294486	Y
hsa-mir-23b	95371	11265.823757	Y
hsa-mir-23c	2	0.236253	N
hsa-mir-24-1	26565	3138.025271	N
hsa-mir-24-2	27238	3217.524273	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	21421	2530.383562	N
hsa-mir-2681	16	1.890021	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	606849	71684.829570	N
hsa-mir-26a-2	618372	73045.998973	N
hsa-mir-26b	214865	25381.208349	N
hsa-mir-27a	33259	3928.762751	Y
hsa-mir-27b	125777	14857.572162	Y
hsa-mir-28	8760	1034.786425	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	68	8.032589	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	55	6.496947	N
hsa-mir-29a	61197	7228.975437	N
hsa-mir-29b-1	1179	139.270913	Y
hsa-mir-29b-2	1897	224.085599	Y
hsa-mir-29c	5938	701.433994	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	38	4.488800	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	43	5.079431	N
hsa-mir-3065	795	93.910412	N
hsa-mir-3074	15	1.771895	N
hsa-mir-30a	224068	26468.324727	Y
hsa-mir-30b	37705	4453.952299	Y
hsa-mir-30c-1	27656	3266.901069	N
hsa-mir-30c-2	29198	3449.051830	Y
hsa-mir-30d	431751	51001.149960	N
hsa-mir-30e	13844	1635.340555	Y
hsa-mir-31	233	27.523429	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	3	0.354379	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.118126	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	3	0.354379	N
hsa-mir-3127	3	0.354379	N
hsa-mir-3128	1	0.118126	N
hsa-mir-3129	8	0.945010	N
hsa-mir-3130-1	6	0.708758	N
hsa-mir-3130-2	3	0.354379	N
hsa-mir-3131	2	0.236253	N
hsa-mir-3132	4	0.472505	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	8	0.945010	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	2	0.236253	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	16	1.890021	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	2	0.236253	N
hsa-mir-3144	3	0.354379	N
hsa-mir-3145	2	0.236253	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	1	0.118126	N
hsa-mir-3150a	2	0.236253	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	1	0.118126	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	7	0.826884	N
hsa-mir-3155a	3	0.354379	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	9	1.063137	N
hsa-mir-3158-1	2	0.236253	N
hsa-mir-3158-2	1	0.118126	N
hsa-mir-3159	3	0.354379	N
hsa-mir-3160-1	2	0.236253	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	1	0.118126	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	3	0.354379	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	1	0.118126	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	34	4.016294	N
hsa-mir-3174	15	1.771895	N
hsa-mir-3175	1	0.118126	N
hsa-mir-3176	1	0.118126	N
hsa-mir-3177	4	0.472505	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	1	0.118126	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	6	0.708758	N
hsa-mir-3188	9	1.063137	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	3	0.354379	N
hsa-mir-3191	0	0.000000	N
hsa-mir-3192	2	0.236253	N
hsa-mir-3193	0	0.000000	N
hsa-mir-3194	1	0.118126	N
