miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	277798	34265.493869	N
hsa-let-7a-2	263900	32551.220066	Y
hsa-let-7a-3	263926	32554.427083	N
hsa-let-7b	88377	10901.019992	N
hsa-let-7c	37026	4567.038553	Y
hsa-let-7d	44652	5507.681237	N
hsa-let-7e	14586	1799.136400	N
hsa-let-7f-1	218809	26989.389585	N
hsa-let-7f-2	235456	29042.743736	N
hsa-let-7g	205053	25292.631028	N
hsa-let-7i	46513	5737.229628	N
hsa-mir-1-1	4461	550.250067	N
hsa-mir-1-2	4801	592.187979	N
hsa-mir-100	94864	11701.170672	Y
hsa-mir-101-1	20859	2572.890865	N
hsa-mir-101-2	22466	2771.109170	N
hsa-mir-103a-1	75651	9331.308637	Y
hsa-mir-103a-2	77569	9567.887796	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	256	31.576780	Y
hsa-mir-106b	7001	863.550935	N
hsa-mir-107	5803	715.781470	Y
hsa-mir-10a	141633	17469.977081	N
hsa-mir-10b	38827	4789.186137	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.986774	N
hsa-mir-1180	693	85.479331	N
hsa-mir-1181	4	0.493387	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.493387	N
hsa-mir-1185-2	4	0.493387	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	2	0.246694	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.370040	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.246694	N
hsa-mir-1226	22	2.713630	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	22	2.713630	N
hsa-mir-1229	1	0.123347	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.740081	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.123347	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.123347	N
hsa-mir-124-3	1	0.123347	N
hsa-mir-1243	1	0.123347	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.356815	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	278	34.290410	N
hsa-mir-1248	10	1.233468	N
hsa-mir-1249	72	8.880969	N
hsa-mir-1250	6	0.740081	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.740081	N
hsa-mir-1254-2	5	0.616734	N
