miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	172510	15011.499012	N
hsa-let-7a-2	167308	14558.830657	Y
hsa-let-7a-3	168720	14681.700268	N
hsa-let-7b	65711	5718.048876	N
hsa-let-7c	8378	729.037961	Y
hsa-let-7d	50521	4396.243357	N
hsa-let-7e	27788	2418.060023	N
hsa-let-7f-1	227368	19785.140034	N
hsa-let-7f-2	243547	21193.006491	N
hsa-let-7g	213092	18542.869094	N
hsa-let-7i	169086	14713.548907	N
hsa-mir-1-1	642	55.865645	N
hsa-mir-1-2	704	61.260769	N
hsa-mir-100	24886	2165.533386	Y
hsa-mir-101-1	18756	1632.112199	N
hsa-mir-101-2	19697	1713.996267	N
hsa-mir-103a-1	110064	9577.564357	Y
hsa-mir-103a-2	116136	10105.938492	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.087018	N
hsa-mir-105-2	2	0.174036	N
hsa-mir-106a	321	27.932822	Y
hsa-mir-106b	19773	1720.609646	N
hsa-mir-107	13774	1198.587835	Y
hsa-mir-10a	41979	3652.934421	N
hsa-mir-10b	8533	742.525773	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.261054	N
hsa-mir-1180	1243	108.163546	N
hsa-mir-1181	3	0.261054	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.087018	N
hsa-mir-1185-2	6	0.522109	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	48	4.176871	N
hsa-mir-1224	1	0.087018	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	143	12.443594	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	70	6.091270	N
hsa-mir-1229	76	6.613378	N
hsa-mir-1231	1	0.087018	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.783163	N
hsa-mir-1236	3	0.261054	N
hsa-mir-1237	2	0.174036	N
