miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	264106	24415.926255	N
hsa-let-7a-2	257291	23785.896883	Y
hsa-let-7a-3	257927	23844.693461	N
hsa-let-7b	82328	7611.013671	N
hsa-let-7c	24081	2226.227046	Y
hsa-let-7d	28352	2621.070105	N
hsa-let-7e	11313	1045.858003	N
hsa-let-7f-1	189304	17500.672093	N
hsa-let-7f-2	200472	18533.125216	N
hsa-let-7g	233563	21592.303787	N
hsa-let-7i	69235	6400.599207	N
hsa-mir-1-1	6117	565.501052	N
hsa-mir-1-2	6541	604.698771	N
hsa-mir-100	74771	6912.388291	Y
hsa-mir-101-1	18972	1753.913023	N
hsa-mir-101-2	20580	1902.568523	N
hsa-mir-103a-1	38673	3575.220238	Y
hsa-mir-103a-2	40551	3748.836549	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	376	34.760241	Y
hsa-mir-106b	10582	978.278917	N
hsa-mir-107	6403	591.941023	Y
hsa-mir-10a	90407	8357.896621	N
hsa-mir-10b	14349	1326.528461	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.832027	N
hsa-mir-1180	468	43.265407	N
hsa-mir-1181	1	0.092447	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.832027	N
hsa-mir-1185-2	2	0.184895	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.184895	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.554685	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.201817	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	1.479159	N
hsa-mir-1229	3	0.277342	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.277342	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.092447	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.277342	N
hsa-mir-124-2	3	0.277342	N
hsa-mir-124-3	1	0.092447	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.647132	N
hsa-mir-1245b	1	0.092447	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	343	31.709475	N
hsa-mir-1248	49	4.529925	N
hsa-mir-1249	115	10.631457	N
hsa-mir-1250	16	1.479159	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.369790	N
hsa-mir-1254-2	9	0.832027	N
hsa-mir-1255a	27	2.496081	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.277342	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.277342	N
hsa-mir-125a	196223	18140.316000	N
hsa-mir-125b-1	47571	4397.817649	N
hsa-mir-125b-2	48075	4444.411163	N
hsa-mir-126	63035	5827.425017	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	0.832027	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.016922	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.092447	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	866	80.059492	N
hsa-mir-1270	27	2.496081	N
hsa-mir-1271	548	50.661203	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.092447	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.092447	N
hsa-mir-1275	6	0.554685	N
hsa-mir-1276	2	0.184895	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	10	0.924475	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2653	245.263085	N
hsa-mir-128-2	1857	171.674915	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.647132	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	73	6.748664	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.092447	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	0.832027	N
hsa-mir-129-2	19	1.756502	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	20	1.848949	N
hsa-mir-1292	16	1.479159	N
hsa-mir-1293	1	0.092447	N
hsa-mir-1294	23	2.126291	N
hsa-mir-1295a	12	1.109369	N
hsa-mir-1295b	3	0.277342	N
hsa-mir-1296	218	20.153544	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	6	0.554685	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	432	39.937298	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.369790	N
