miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	241241	31558.846723	N
hsa-let-7a-2	234545	30682.884355	Y
hsa-let-7a-3	235127	30759.020869	N
hsa-let-7b	85976	11247.273083	N
hsa-let-7c	31105	4069.117303	Y
hsa-let-7d	35943	4702.018429	N
hsa-let-7e	9108	1191.497200	N
hsa-let-7f-1	224464	29364.100509	N
hsa-let-7f-2	236680	30962.182392	N
hsa-let-7g	209756	27440.018294	N
hsa-let-7i	50576	6616.289237	N
hsa-mir-1-1	4589	600.327256	N
hsa-mir-1-2	4819	630.415569	N
hsa-mir-100	84262	11023.049741	Y
hsa-mir-101-1	28549	3734.744571	N
hsa-mir-101-2	30768	4025.031383	N
hsa-mir-103a-1	49494	6474.743347	Y
hsa-mir-103a-2	52562	6876.095280	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	307	40.161357	Y
hsa-mir-106b	9559	1250.496457	N
hsa-mir-107	6447	843.388499	Y
hsa-mir-10a	152628	19966.604589	N
hsa-mir-10b	11635	1522.076188	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.654094	N
hsa-mir-1180	306	40.030538	N
hsa-mir-1181	2	0.261638	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.130819	N
hsa-mir-1185-2	5	0.654094	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	58	7.587488	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.261638	N
hsa-mir-1226	15	1.962281	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.439006	N
hsa-mir-1229	4	0.523275	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.523275	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.130819	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.130819	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.130819	N
hsa-mir-1245b	5	0.654094	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	198	25.902113	N
hsa-mir-1248	32	4.186200	N
hsa-mir-1249	66	8.634038	N
hsa-mir-1250	12	1.569825	N
hsa-mir-1251	2	0.261638	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.392456	N
hsa-mir-1254-2	4	0.523275	N
