miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	163466	16974.091422	N
hsa-let-7a-2	158762	16485.634336	Y
hsa-let-7a-3	158262	16433.715003	N
hsa-let-7b	43603	4527.677366	N
hsa-let-7c	4302	446.713942	Y
hsa-let-7d	26957	2799.178927	N
hsa-let-7e	12044	1250.632897	N
hsa-let-7f-1	205895	21379.862194	N
hsa-let-7f-2	221300	22979.496848	N
hsa-let-7g	218602	22699.340126	N
hsa-let-7i	86466	8978.514119	N
hsa-mir-1-1	321	33.332212	N
hsa-mir-1-2	342	35.512824	N
hsa-mir-100	31928	3315.360937	Y
hsa-mir-101-1	10576	1098.197735	N
hsa-mir-101-2	11088	1151.363132	N
hsa-mir-103a-1	61127	6347.346154	Y
hsa-mir-103a-2	64182	6664.573279	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	338	35.097469	Y
hsa-mir-106b	13490	1400.783608	N
hsa-mir-107	8713	904.746299	Y
hsa-mir-10a	41731	4333.291383	N
hsa-mir-10b	9539	990.517038	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.103839	N
hsa-mir-1180	335	34.785953	N
hsa-mir-1181	1	0.103839	N
hsa-mir-1182	6	0.623032	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.349903	N
hsa-mir-1185-2	1	0.103839	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.726871	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	47	4.880417	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	36	3.738192	N
hsa-mir-1229	22	2.284451	N
hsa-mir-1231	82	8.514771	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.519193	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.311516	N
hsa-mir-124-2	4	0.415355	N
hsa-mir-124-3	3	0.311516	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.830709	N
hsa-mir-1245b	1	0.103839	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	64	6.645675	N
hsa-mir-1248	48	4.984256	N
hsa-mir-1249	172	17.860251	N
hsa-mir-1250	40	4.153547	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.207677	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	15	1.557580	N
hsa-mir-1254-2	10	1.038387	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	86956	9029.395065	N
hsa-mir-125b-1	18162	1885.917857	N
hsa-mir-125b-2	17920	1860.788900	N
hsa-mir-126	23115	2400.230771	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.415355	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.103839	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	0.934548	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	70	7.268707	N
hsa-mir-1269b	1	0.103839	N
hsa-mir-127	1247	129.486817	N
hsa-mir-1270	31	3.218999	N
hsa-mir-1271	458	47.558109	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.311516	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.103839	N
hsa-mir-1277	1	0.103839	N
hsa-mir-1278	12	1.246064	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3541	367.692717	N
hsa-mir-128-2	2388	247.966735	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.519193	N
hsa-mir-1283-2	7	0.726871	N
hsa-mir-1284	10	1.038387	N
hsa-mir-1285-1	1	0.103839	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.311516	N
hsa-mir-1287	44	4.568901	N
hsa-mir-1288	3	0.311516	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.103839	N
hsa-mir-129-2	4	0.415355	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	25	2.595967	N
hsa-mir-1292	26	2.699805	N
hsa-mir-1293	3	0.311516	N
hsa-mir-1294	18	1.869096	N
hsa-mir-1295a	24	2.492128	N
hsa-mir-1295b	4	0.415355	N
hsa-mir-1296	122	12.668317	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.207677	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1142	118.583757	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
